group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Murkwolf,6333,0.10176109522126169,2.851,2.964,-0.576,-0.689,-0.647,0.0586,0.1601,0.1991,0.5034,0.8464,1.574,-32.24,0.0,True
pepite,Krug,6991,0.11233409390365395,2.914,3.009,-0.531,-0.625,-0.583,0.0596,0.1431,0.2066,0.4986,0.8294,1.672,-28.98,0.0,True
populaire,Kennen,19372,0.31127679403541475,3.002,3.034,-0.505,-0.537,-0.507,0.1572,0.1012,0.259,0.4843,0.7875,1.838,-34.71,0.0,True
pepite,Lux Base,8050,0.12935051579522447,2.966,3.043,-0.496,-0.573,-0.528,0.0642,0.0951,0.2953,0.5108,0.7814,1.928,-24.96,0.0,True
pepite,Brambleback,7373,0.11847221775878138,3.048,3.119,-0.421,-0.492,-0.449,0.0498,0.1184,0.1868,0.4668,0.8047,1.724,-22.72,0.0,True
pepite,Gnar Small,6664,0.10707973133656844,3.094,3.164,-0.375,-0.446,-0.397,0.0402,0.0819,0.2511,0.4712,0.7682,1.901,-18.08,0.0,True
pepite,Kha Zix,8441,0.13563325513384966,3.134,3.186,-0.353,-0.405,-0.359,0.0479,0.0542,0.2958,0.4807,0.7404,2.052,-17.07,0.0,True
,Alune,6340,0.10187357393064884,3.13,3.197,-0.342,-0.41,-0.36,0.0349,0.0724,0.2517,0.4639,0.7587,1.921,-16.1,0.0,True
populaire,Warwick,25721,0.41329498344956134,3.23,3.244,-0.295,-0.309,-0.28,0.1219,0.0547,0.2332,0.4474,0.741,1.966,-21.07,0.0,True
,Ivern,9075,0.14582061252691456,3.229,3.266,-0.273,-0.311,-0.267,0.0398,0.0553,0.2389,0.4386,0.7416,1.948,-14.12,0.0,True
populaire,Rek Sai,31338,0.5035511135392229,3.271,3.281,-0.258,-0.269,-0.242,0.1301,0.0498,0.2252,0.4373,0.7361,1.969,-19.54,0.0,True
,Rengar,1544,0.024809589613394606,3.172,3.336,-0.203,-0.367,-0.272,0.005,0.0734,0.2293,0.443,0.7597,1.873,-7.59,0.0,True
populaire,Sett,16262,0.2613041102934087,3.322,3.337,-0.202,-0.217,-0.182,0.0527,0.0288,0.2471,0.4352,0.7151,2.054,-12.06,0.0,True
,Yunara,8575,0.13778641899926086,3.317,3.345,-0.194,-0.222,-0.176,0.0267,0.0292,0.2454,0.4351,0.7155,2.055,-9.41,0.0,True
,Taric,7020,0.11280007712825786,3.324,3.357,-0.183,-0.215,-0.167,0.0206,0.0378,0.2127,0.4215,0.7241,1.954,-8.71,0.0,True
populaire,Veigar,26017,0.4180512260179323,3.35,3.358,-0.181,-0.19,-0.16,0.0757,0.0272,0.2322,0.4245,0.7135,2.024,-12.71,0.0,True
,Ahri,12870,0.20680014140180608,3.395,3.408,-0.131,-0.144,-0.105,0.0271,0.0158,0.2364,0.4203,0.7021,2.075,-7.2,0.0,True
,Diana,7441,0.11956486807854227,3.387,3.408,-0.131,-0.153,-0.106,0.0156,0.0379,0.1761,0.4095,0.7242,1.934,-6.41,0.0,True
populaire,Azir,52347,0.8411318571841758,3.423,3.426,-0.113,-0.116,-0.093,0.0953,0.0232,0.2013,0.3979,0.7094,1.986,-9.78,0.0,True
,Teemo,1191,0.0191374489828711,3.323,3.434,-0.106,-0.216,-0.111,0.002,0.0543,0.1763,0.3963,0.7406,1.823,-4.04,5e-05,True
,Kobuko,3885,0.0624256837098692,3.437,3.462,-0.078,-0.102,-0.041,0.0048,0.0298,0.1691,0.3817,0.7161,1.889,-3.27,0.00108,True
,Maokai,9580,0.15393514798984478,3.494,3.499,-0.04,-0.046,-0.003,0.0062,0.0089,0.1897,0.3814,0.6952,1.988,-2.09,0.03677,True
,Ezreal,6894,0.11077546035928913,3.499,3.505,-0.034,-0.04,0.0,0.0038,0.0149,0.1849,0.3734,0.7012,1.979,-1.6,0.11067,False
,Ashe,2685,0.04314361924350034,3.498,3.511,-0.028,-0.041,0.0,0.0012,0.0061,0.1981,0.3698,0.6924,1.996,-1.04,0.2982,False
populaire,Zyra,30310,0.4870328116463669,3.512,3.513,-0.026,-0.027,0.0,0.0126,0.0081,0.187,0.3738,0.6944,1.986,-1.93,0.05393,True
,Rammus,6079,0.09767972490921362,3.545,3.544,0.005,0.006,0.0,-0.0005,0.0128,0.1604,0.3565,0.6991,1.921,0.24,0.81057,False
populaire,Soraka,27832,0.44721534852331524,3.565,3.564,0.025,0.026,0.0,-0.0112,0.0007,0.1754,0.359,0.687,1.977,1.82,0.06931,True
,Le Blanc,1583,0.025436256708551597,3.698,3.628,0.089,0.159,0.056,-0.0023,-0.0287,0.1788,0.3424,0.6576,2.052,3.04,0.00236,True
populaire,Fiddlesticks,22750,0.36555580550824307,3.645,3.639,0.1,0.106,0.075,-0.0366,-0.0145,0.1659,0.3451,0.6717,1.996,6.81,0.0,True
,Karma,2645,0.04250088376128804,3.689,3.641,0.102,0.15,0.069,-0.0043,-0.0349,0.1917,0.349,0.6514,2.083,3.62,0.00029,True
,Kayle,200,0.0032136774110614777,4.3,3.645,0.105,0.761,0.493,-0.0003,-0.1263,0.06,0.225,0.56,1.931,5.56,0.0,True
,Cinderling,483,0.007761030947713469,3.998,3.667,0.128,0.459,0.298,-0.001,-0.0362,0.0311,0.2381,0.6501,1.794,5.59,0.0,True
,Gromp A P,535,0.008596587074589452,4.004,3.679,0.14,0.464,0.313,-0.0012,-0.062,0.0355,0.2355,0.6243,1.772,6.03,0.0,True
,Crimson Raptor,2818,0.04528071472185622,3.743,3.68,0.141,0.203,0.128,-0.0064,-0.0383,0.1469,0.3314,0.648,1.987,5.31,0.0,True
,Yorick,10470,0.16823601246906836,3.704,3.687,0.148,0.165,0.123,-0.0248,-0.0259,0.1593,0.3348,0.6604,2.017,7.76,0.0,True
populaire,Amumu,19112,0.3070990134010348,3.698,3.688,0.149,0.158,0.126,-0.0457,-0.0273,0.1631,0.3344,0.659,2.009,9.53,0.0,True
,Sentry,675,0.010846161262332487,3.978,3.693,0.154,0.439,0.293,-0.0017,-0.067,0.0711,0.2756,0.6193,1.914,5.92,0.0,True
,Leona,264,0.004242054182601151,4.432,3.695,0.156,0.893,0.664,-0.0007,-0.1598,0.053,0.1818,0.5265,1.89,7.66,0.0,True
,Tristana,1410,0.02265642574798342,3.846,3.702,0.163,0.307,0.206,-0.0037,-0.0522,0.1191,0.2894,0.634,1.916,5.94,0.0,True
,Akali A D,3823,0.06142944371244014,3.776,3.718,0.179,0.237,0.174,-0.011,-0.019,0.1125,0.2998,0.6673,1.905,7.43,0.0,True
,Elder Dragon,1290,0.02072821930134653,3.891,3.719,0.179,0.352,0.237,-0.0037,-0.0917,0.1659,0.3217,0.5946,2.098,5.97,0.0,True
,Scuttlecrab,940,0.015104283831988944,3.96,3.72,0.181,0.42,0.297,-0.0027,-0.0576,0.0851,0.2628,0.6287,1.916,6.67,0.0,True
,Sejuani,365,0.005864961275187197,4.353,3.724,0.185,0.814,0.616,-0.0011,-0.152,0.0767,0.2,0.5342,1.93,8.03,0.0,True
,Alistar,2124,0.03412925410547289,3.878,3.753,0.214,0.339,0.25,-0.0073,-0.0714,0.1469,0.3136,0.6149,2.055,7.48,0.0,True
,Kog Maw A D,1636,0.02628788122248289,3.933,3.763,0.224,0.394,0.298,-0.0059,-0.053,0.1057,0.2763,0.6333,1.95,8.06,0.0,True
,Xayah,473,0.007600347077160395,4.368,3.767,0.228,0.829,0.654,-0.0017,-0.1704,0.0825,0.186,0.5159,1.931,9.29,0.0,True
,Aphelios,2197,0.03530224636051033,3.899,3.769,0.23,0.36,0.274,-0.0081,-0.0727,0.1397,0.305,0.6136,2.028,8.18,0.0,True
,Lillia,4022,0.06462705273644631,3.849,3.775,0.236,0.309,0.245,-0.0153,-0.054,0.1437,0.3006,0.6323,2.015,9.44,0.0,True
,Shen,3352,0.05386123340939036,3.869,3.78,0.24,0.33,0.259,-0.013,-0.0607,0.1384,0.3067,0.6256,2.032,9.16,0.0,True
,Ornn,871,0.013995565125172735,4.129,3.782,0.243,0.589,0.453,-0.0034,-0.1122,0.116,0.2549,0.5741,2.036,8.49,0.0,True
,Master Yi A D,1319,0.021194202525950445,4.02,3.786,0.247,0.48,0.373,-0.0052,-0.0889,0.1077,0.2638,0.5974,1.969,8.77,0.0,True
,Draven,2592,0.04164925924735675,3.981,3.838,0.298,0.441,0.359,-0.0124,-0.0987,0.1559,0.2975,0.5876,2.103,10.49,0.0,True
,Varus,564,0.009062570299193367,4.564,3.859,0.319,1.025,0.856,-0.0029,-0.2146,0.0833,0.1915,0.4716,2.028,11.94,0.0,True
,Sivir,1800,0.0289230966995533,4.096,3.868,0.329,0.557,0.465,-0.0095,-0.1068,0.1,0.2461,0.5794,1.959,11.88,0.0,True
,Camille,1324,0.021274544461226983,4.262,3.912,0.373,0.723,0.607,-0.0079,-0.1447,0.1057,0.2613,0.5415,2.123,12.27,0.0,True
,Nidalee A P,4070,0.06539833531510107,4.027,3.913,0.373,0.488,0.426,-0.0244,-0.0708,0.0934,0.245,0.6155,1.925,15.61,0.0,True
,Rakan,1437,0.023090272198476716,4.291,3.942,0.403,0.752,0.644,-0.0093,-0.1581,0.1044,0.2359,0.5282,2.05,13.74,0.0,True
,Sentinel,5324,0.08554809268245654,4.042,3.947,0.408,0.503,0.446,-0.0349,-0.0969,0.1238,0.2705,0.5894,2.037,17.3,0.0,True
,Vi,4955,0.07961885785904811,4.059,3.954,0.415,0.519,0.463,-0.033,-0.0845,0.0965,0.2428,0.6018,1.94,18.08,0.0,True
,Hecarim,1725,0.027717967670405245,4.26,3.958,0.418,0.72,0.622,-0.0116,-0.1431,0.1032,0.2377,0.5432,2.052,14.39,0.0,True
,Cassiopeia,1750,0.02811967734678793,4.379,4.03,0.491,0.84,0.739,-0.0138,-0.1743,0.1177,0.2331,0.512,2.125,16.33,0.0,True
,Morgana,3030,0.04868721277758139,4.242,4.037,0.498,0.703,0.626,-0.0242,-0.1444,0.1257,0.2515,0.5419,2.108,17.95,0.0,True
,Caitlyn,771,0.012388726419641996,4.974,4.088,0.549,1.435,1.289,-0.0068,-0.3037,0.0791,0.1427,0.3826,2.049,19.33,0.0,True
,Elise,1244,0.01998907349680239,4.875,4.207,0.668,1.336,1.218,-0.0134,-0.2852,0.0796,0.1728,0.4011,2.099,22.25,0.0,True
