group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Crownguard + Spirit Visage + Warmogs Armor,269,0.004543074766512979,2.81,3.264,-0.103,-0.557,-0.322,0.0005,0.0981,0.368,0.5613,0.7918,1.96,-4.65,0.0,True
populaire,Gargoyle Stoneplate + Spirit Visage + Warmogs Armor,3444,0.05816486801438922,3.235,3.269,-0.098,-0.132,-0.06,0.0057,0.0162,0.297,0.473,0.7099,2.109,-3.57,0.00035,True
pepite,Bramble Vest + Spirit Visage + Warmogs Armor,379,0.006400837682187431,3.029,3.285,-0.082,-0.338,-0.132,0.0005,0.045,0.3351,0.5172,0.7388,2.045,-3.21,0.00133,True
pepite,Gargoyle Stoneplate + Spirit Visage + Steadfast Heart,711,0.012007903936768505,3.156,3.288,-0.079,-0.211,-0.056,0.001,0.0376,0.3122,0.4838,0.7314,2.097,-2.67,0.00759,True
pepite,Bramble Vest + Protectors Vow + Warmogs Armor,220,0.0037155258313489046,2.868,3.289,-0.078,-0.499,-0.243,0.0003,0.0744,0.3318,0.5455,0.7682,1.937,-3.81,0.00014,True
pepite,Evenshroud + Spirit Visage + Warmogs Armor,186,0.0031413082028677103,2.839,3.296,-0.072,-0.529,-0.242,0.0002,0.0912,0.3763,0.543,0.7849,1.993,-3.61,0.00031,True
pepite,Evenshroud + Gargoyle Stoneplate + Warmogs Armor,620,0.010471027342892368,3.16,3.296,-0.071,-0.208,-0.037,0.0007,0.0256,0.3435,0.4806,0.7194,2.152,-2.39,0.01681,False
,Crownguard + Gargoyle Stoneplate + Protectors Vow,251,0.004239077198493523,2.984,3.3,-0.067,-0.383,-0.115,0.0003,0.0433,0.3546,0.5777,0.7371,2.161,-2.8,0.00504,True
,Gargoyle Stoneplate + Warmogs Armor + Warmogs Armor,635,0.010724358649575248,3.181,3.302,-0.065,-0.186,-0.02,0.0007,0.037,0.3071,0.485,0.7307,2.124,-2.2,0.02794,False
populaire,Gargoyle Stoneplate + Protectors Vow + Warmogs Armor,1493,0.025214909391835977,3.253,3.304,-0.064,-0.114,-0.005,0.0016,0.0162,0.3034,0.4682,0.71,2.132,-2.04,0.04102,False
,Gargoyle Stoneplate + Protectors Vow + Steadfast Heart,191,0.0032257519717620036,2.937,3.308,-0.06,-0.43,-0.149,0.0002,0.0968,0.3037,0.534,0.7906,1.978,-3.0,0.0027,True
,Emblem Vanguard + Gargoyle Stoneplate + Warmogs Armor,150,0.0025333130668287987,2.833,3.307,-0.06,-0.534,-0.195,0.0002,0.0796,0.4133,0.58,0.7733,2.118,-3.08,0.00204,True
populaire,Gargoyle Stoneplate + Steadfast Heart + Warmogs Armor,928,0.015672763506780835,3.233,3.308,-0.059,-0.135,0.0,0.0009,0.0218,0.3093,0.4537,0.7155,2.107,-1.93,0.05358,False
,Dragons Claw + Gargoyle Stoneplate + Steadfast Heart,166,0.002803533127290537,2.898,3.31,-0.058,-0.47,-0.172,0.0002,0.0954,0.3494,0.494,0.7892,1.956,-3.09,0.00201,True
,Spirit Visage + Steadfast Heart + Warmogs Armor,305,0.00515106990255189,3.089,3.31,-0.057,-0.279,-0.046,0.0003,0.0472,0.3016,0.5148,0.741,2.067,-2.35,0.01877,False
,Spirit Visage + Warmogs Armor + Warmogs Armor,145,0.0024488692979345054,2.876,3.314,-0.054,-0.492,-0.17,0.0001,0.0994,0.3517,0.5379,0.7931,1.975,-2.99,0.00277,True
,Bramble Vest + Protectors Vow + Spirit Visage,139,0.0023475367752613533,2.863,3.314,-0.053,-0.504,-0.171,0.0001,0.0976,0.3525,0.5612,0.7914,2.001,-2.97,0.00301,True
,Evenshroud + Sunfire Cape + Warmogs Armor,135,0.002279981760145919,2.874,3.317,-0.05,-0.493,-0.166,0.0001,0.1063,0.3259,0.5333,0.8,1.938,-2.95,0.00314,True
