group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Steadfast Heart,6471,0.10928712570299437,3.166,3.197,-0.171,-0.202,-0.149,0.0186,0.0414,0.2924,0.4727,0.7351,2.052,-7.47,0.0,True
populaire,Evenshroud,5605,0.09466146493050277,3.164,3.2,-0.167,-0.203,-0.145,0.0159,0.0383,0.3062,0.4874,0.732,2.103,-6.89,0.0,True
populaire,Crownguard,5964,0.10072452753711304,3.173,3.206,-0.162,-0.194,-0.138,0.0163,0.033,0.3011,0.4846,0.7267,2.095,-6.8,0.0,True
pepite,Emblem Brawler,1123,0.018966070493658272,3.056,3.216,-0.152,-0.311,-0.19,0.0029,0.0471,0.3224,0.504,0.7409,2.044,-5.05,0.0,True
populaire,Protectors Vow,10448,0.17645369948151526,3.223,3.238,-0.129,-0.144,-0.1,0.0228,0.0258,0.2942,0.4739,0.7196,2.116,-6.39,0.0,True
populaire,Bramble Vest,7836,0.13234027461113645,3.243,3.259,-0.108,-0.124,-0.074,0.0143,0.0215,0.2962,0.4703,0.7153,2.13,-4.85,0.0,True
pepite,Emblem Vanguard,965,0.016297647396598607,3.14,3.265,-0.102,-0.227,-0.095,0.0017,0.0379,0.3119,0.4839,0.7316,2.077,-3.37,0.00074,True
pepite,Adaptive Helm,3360,0.056746212696965094,3.244,3.276,-0.091,-0.123,-0.05,0.0052,0.031,0.2786,0.4664,0.7247,2.108,-3.3,0.00098,True
populaire,Warmogs Armor,24177,0.4083194001114658,3.277,3.282,-0.086,-0.09,-0.058,0.035,0.0123,0.2953,0.4634,0.7061,2.142,-5.49,0.0,True
pepite,Moguls Mail,933,0.015757207275675127,3.223,3.304,-0.064,-0.144,-0.003,0.001,0.0169,0.3258,0.4877,0.7106,2.185,-2.0,0.0451,True
pepite,Ionic Spark,2112,0.035669047980949484,3.279,3.311,-0.056,-0.088,0.0,0.002,0.0151,0.268,0.4489,0.7088,2.071,-1.92,0.05525,True
populaire,Spirit Visage,19522,0.3297022512708787,3.312,3.315,-0.052,-0.056,-0.021,0.0173,0.008,0.283,0.4528,0.7017,2.131,-3.15,0.00164,True
populaire,Dragons Claw,8488,0.1433517420749523,3.326,3.331,-0.037,-0.042,0.0,0.0053,0.0113,0.2745,0.45,0.705,2.128,-1.69,0.09058,False
pepite,Void Gauntlet,143,0.002415091790376788,3.224,3.352,-0.015,-0.144,0.0,0.0,0.0685,0.2238,0.4336,0.7622,1.908,-0.9,0.36895,False
,Steraks Gage,553,0.009339480839708838,3.331,3.356,-0.012,-0.036,0.0,0.0001,0.0043,0.2929,0.4629,0.698,2.193,-0.39,0.69706,False
,Emblem Sprykin,43,0.0007262164124909223,3.279,3.364,-0.003,-0.088,0.0,0.0,0.0504,0.2093,0.4186,0.7442,2.004,-0.29,0.77267,False
,Warmogs Armor Radiant,67,0.00113154650318353,3.463,3.372,0.005,0.095,0.0,-0.0,0.0227,0.209,0.3582,0.7164,2.017,0.39,0.69916,False
populaire,Gargoyle Stoneplate,32002,0.5404738984310348,3.376,3.376,0.009,0.009,0.0,-0.0047,-0.0054,0.281,0.4425,0.6884,2.169,0.6,0.54726,False
,The Indomitable,517,0.008731485703669927,3.404,3.379,0.011,0.037,0.0,-0.0001,-0.0264,0.3037,0.4449,0.6673,2.236,0.37,0.70879,False
,Lightshield Crest,319,0.005387512455455912,3.426,3.38,0.013,0.059,0.0,-0.0001,-0.0166,0.279,0.4389,0.6771,2.224,0.47,0.63678,False
,Gargoyle Stoneplate Radiant,67,0.00113154650318353,3.821,3.392,0.024,0.454,0.0,-0.0,-0.1266,0.209,0.3582,0.5672,2.164,1.71,0.08649,False
,Hullcrusher,88,0.0014862103325395618,3.727,3.392,0.025,0.36,0.0,-0.0,-0.0687,0.2159,0.3864,0.625,2.24,1.51,0.13199,False
populaire,Sunfire Cape,8516,0.14382462718076033,3.405,3.4,0.033,0.037,0.0,-0.0047,-0.0029,0.2527,0.4241,0.6908,2.107,1.52,0.12924,False
,Emblem Defender,270,0.004559963520291838,3.559,3.403,0.036,0.192,0.0,-0.0002,-0.0308,0.237,0.4,0.663,2.162,1.45,0.14574,False
,Aegis Of Dusk,132,0.0022293154988093427,3.811,3.412,0.044,0.443,0.065,-0.0001,-0.0801,0.2045,0.3712,0.6136,2.216,2.3,0.02171,True
,Emblem Blossom,793,0.013392781746634917,3.501,3.421,0.053,0.133,0.0,-0.0007,-0.0229,0.2749,0.4073,0.6709,2.194,1.7,0.08929,False
,Titans Resolve,105,0.0017733191467801592,4.048,3.423,0.055,0.68,0.284,-0.0001,-0.1223,0.1619,0.2762,0.5714,2.067,3.37,0.00076,True
,Aegis Of Dawn,319,0.005387512455455912,3.652,3.428,0.06,0.285,0.043,-0.0003,-0.0605,0.2351,0.3981,0.6332,2.197,2.31,0.02102,True
,Emblem Elderwood,341,0.005759065038590802,3.733,3.449,0.082,0.366,0.139,-0.0005,-0.0456,0.2199,0.3284,0.6481,2.13,3.16,0.00157,True
,Component Negatron Cloak,221,0.0037324145851277634,4.76,3.586,0.219,1.393,1.091,-0.0008,-0.2548,0.1086,0.2262,0.4389,2.287,9.04,0.0,True
,Component Chain Vest,327,0.005522622485686781,4.954,3.711,0.343,1.587,1.341,-0.0019,-0.3084,0.1131,0.1927,0.3853,2.257,12.68,0.0,True
,Component Giants Belt,594,0.010031919744642043,5.013,3.917,0.55,1.646,1.469,-0.0055,-0.2931,0.0808,0.1684,0.4007,2.19,18.23,0.0,True
