group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Void Gauntlet,364,0.0061475063755045516,3.316,3.355,-0.012,-0.051,0.0,0.0001,0.0453,0.2198,0.4148,0.739,1.984,-0.49,0.62203,False
populaire,Moguls Mail,1313,0.022174933711641417,3.347,3.356,-0.011,-0.021,0.0,0.0002,0.0009,0.3001,0.4623,0.6946,2.206,-0.34,0.73471,False
populaire,Lightshield Crest,607,0.010251473543767205,3.399,3.378,0.011,0.031,0.0,-0.0001,-0.0068,0.2702,0.4547,0.687,2.212,0.35,0.72861,False
populaire,The Indomitable,870,0.014693215787607032,3.411,3.386,0.019,0.044,0.0,-0.0003,-0.019,0.2954,0.446,0.6747,2.223,0.58,0.56099,False
populaire,Artifact Talisman Of Ascension,117,0.001975984192126463,3.761,3.403,0.035,0.393,0.0,-0.0001,-0.104,0.2393,0.359,0.5897,2.278,1.87,0.06209,True
populaire,Silvermere Dawn,61,0.001030213980510378,4.23,3.41,0.042,0.862,0.303,-0.0,-0.1691,0.1639,0.2951,0.5246,2.228,3.02,0.00252,True
,Seekers Armguard,56,0.0009457702116160849,4.696,3.427,0.06,1.329,0.685,-0.0001,-0.283,0.1964,0.25,0.4107,2.456,4.05,5e-05,True
populaire,Aegis Of Dawn,583,0.009846143453074597,3.593,3.442,0.075,0.226,0.047,-0.0007,-0.0505,0.2367,0.4048,0.6432,2.195,2.48,0.0133,True
populaire,Hullcrusher,259,0.004374187228724393,3.803,3.446,0.078,0.436,0.154,-0.0003,-0.0798,0.2239,0.39,0.6139,2.309,3.03,0.00244,True
populaire,Forbidden Idol,105,0.0017733191467801592,4.333,3.446,0.079,0.966,0.53,-0.0001,-0.2175,0.1714,0.2857,0.4762,2.275,4.35,1e-05,True
populaire,Aegis Of Dusk,408,0.0068906115417743325,3.99,3.527,0.16,0.623,0.407,-0.0011,-0.1129,0.1691,0.3358,0.5809,2.22,5.65,0.0,True
