group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Steadfast Heart,7672,0.1275965872237098,3.211,3.232,-0.137,-0.158,-0.109,0.0174,0.0349,0.2819,0.4642,0.7284,2.06,-6.3,0.0,True
populaire,Crownguard,7070,0.11758444625542601,3.217,3.239,-0.13,-0.152,-0.1,0.0153,0.0279,0.2935,0.4762,0.7214,2.113,-5.72,0.0,True
populaire,Evenshroud,6700,0.11143080479651404,3.216,3.239,-0.129,-0.153,-0.099,0.0144,0.0304,0.2994,0.4784,0.7239,2.128,-5.56,0.0,True
populaire,Protectors Vow,11965,0.19899545961049112,3.265,3.274,-0.095,-0.104,-0.062,0.0188,0.0194,0.2889,0.4649,0.7129,2.13,-4.88,0.0,True
populaire,Bramble Vest,9092,0.1512132652552098,3.273,3.284,-0.085,-0.096,-0.049,0.0128,0.0189,0.2889,0.4641,0.7124,2.136,-3.98,7e-05,True
pepite,Adaptive Helm,4311,0.07169823872802568,3.273,3.294,-0.075,-0.095,-0.03,0.0053,0.027,0.2677,0.4593,0.7205,2.101,-2.87,0.00407,True
populaire,Warmogs Armor,26314,0.4376403279724583,3.31,3.313,-0.056,-0.059,-0.027,0.0245,0.0077,0.2898,0.4565,0.7011,2.151,-3.68,0.00023,True
pepite,Ionic Spark,2873,0.04778219435528132,3.306,3.325,-0.044,-0.063,0.0,0.0021,0.0138,0.2611,0.4417,0.7073,2.067,-1.59,0.11201,False
populaire,Spirit Visage,21435,0.3564954180318326,3.353,3.354,-0.015,-0.016,0.0,0.0054,0.0011,0.2762,0.4455,0.6946,2.142,-0.94,0.34752,False
populaire,Dragons Claw,9779,0.1626390806127031,3.365,3.365,-0.003,-0.004,0.0,0.0006,0.0055,0.2671,0.4432,0.6989,2.139,-0.17,0.86892,False
,Tacticians Crown,50,0.0008315731701232391,3.4,3.37,0.001,0.031,0.0,-0.0,0.0065,0.24,0.4,0.7,2.0,0.11,0.91226,False
,Hextech Gunblade,51,0.0008482046335257039,3.51,3.375,0.006,0.141,0.0,-0.0,0.0124,0.2157,0.4118,0.7059,2.155,0.47,0.64042,False
,Blue Buff,55,0.0009147304871355631,3.6,3.379,0.01,0.231,0.0,-0.0,-0.0571,0.2364,0.3818,0.6364,2.129,0.81,0.42078,False
,Steraks Gage,1072,0.017828928767442246,3.392,3.38,0.011,0.023,0.0,-0.0002,0.0062,0.2696,0.4468,0.6996,2.178,0.34,0.73209,False
,Edge Of Night,109,0.0018128295108686614,3.532,3.382,0.014,0.163,0.0,-0.0,-0.0237,0.2294,0.422,0.6697,2.153,0.79,0.42882,False
,Strikers Flail,50,0.0008315731701232391,3.82,3.387,0.018,0.451,0.0,-0.0,-0.0735,0.18,0.28,0.62,1.987,1.6,0.10851,False
,Jeweled Gauntlet,86,0.0014303058526119712,3.674,3.389,0.02,0.306,0.0,-0.0,-0.0539,0.2093,0.3488,0.6395,2.088,1.36,0.17499,False
,Spear Of Shojin,65,0.0010810451211602109,3.754,3.389,0.02,0.385,0.0,-0.0,-0.0935,0.2,0.3538,0.6,2.09,1.48,0.1378,False
,Quicksilver,77,0.0012806226819897884,3.857,3.398,0.029,0.488,0.0,-0.0,-0.122,0.2208,0.3636,0.5714,2.208,1.94,0.05245,True
,Nashors Tooth,40,0.0006652585360985914,4.425,3.403,0.034,1.056,0.297,-0.0,-0.2185,0.2,0.3,0.475,2.448,2.73,0.00638,True
populaire,Gargoyle Stoneplate,34353,0.5713406622648727,3.406,3.404,0.036,0.037,0.008,-0.0203,-0.0102,0.2765,0.4374,0.6833,2.178,2.51,0.01201,True
,Void Staff,54,0.0008980990237330982,4.259,3.407,0.038,0.89,0.356,-0.0,-0.1749,0.1296,0.2407,0.5185,2.002,3.27,0.00109,True
,Hand Of Justice,106,0.001762935120661267,3.858,3.408,0.04,0.49,0.084,-0.0001,-0.0708,0.1792,0.3302,0.6226,2.13,2.36,0.01804,True
,Rabadons Deathcap,99,0.0016465148768440136,4.091,3.424,0.055,0.722,0.298,-0.0001,-0.1278,0.1414,0.3131,0.5657,2.151,3.34,0.00085,True
,Morellonomicon,146,0.0024281936567598582,3.911,3.428,0.059,0.542,0.185,-0.0001,-0.0976,0.1712,0.3562,0.5959,2.202,2.97,0.00296,True
,Archangels Staff,140,0.0023284048763450695,3.979,3.432,0.064,0.61,0.238,-0.0001,-0.1006,0.1786,0.3214,0.5929,2.241,3.22,0.0013,True
populaire,Sunfire Cape,10024,0.166713789146307,3.454,3.445,0.076,0.085,0.04,-0.0127,-0.0109,0.2445,0.4147,0.6826,2.118,3.73,0.00019,True
,Component Needlessly Large Rod,58,0.0009646248773429574,5.155,3.451,0.082,1.786,1.227,-0.0001,-0.3486,0.0517,0.1897,0.3448,2.172,6.26,0.0,True
,Component Tear Of The Goddess,123,0.002045669998503168,4.317,3.457,0.088,0.948,0.561,-0.0002,-0.1894,0.1057,0.2927,0.5041,2.188,4.8,0.0,True
,Titans Resolve,549,0.009130673407953167,3.659,3.46,0.091,0.291,0.111,-0.0008,-0.0359,0.1967,0.3825,0.6576,2.133,3.18,0.00149,True
,Bloodthirster,425,0.007068371946047532,3.828,3.489,0.12,0.459,0.239,-0.0008,-0.0817,0.2235,0.3671,0.6118,2.316,4.08,5e-05,True
,Component Negatron Cloak,541,0.008997621700733448,4.288,3.654,0.285,0.92,0.726,-0.0026,-0.1611,0.1423,0.2884,0.5323,2.284,9.33,0.0,True
,Component Chain Vest,735,0.012224125600811615,4.556,3.819,0.451,1.188,1.026,-0.0055,-0.2105,0.1088,0.2327,0.483,2.217,14.44,0.0,True
,Component Giants Belt,1074,0.017862191694247177,4.718,4.005,0.636,1.349,1.214,-0.0114,-0.2419,0.1089,0.2114,0.4516,2.238,19.59,0.0,True
