group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Brawler,1742,0.02942020908277178,3.098,3.207,-0.16,-0.269,-0.172,0.0047,0.0439,0.3054,0.4966,0.7377,2.042,-5.41,0.0,True
populaire,Emblem Vanguard,1512,0.02553579571363429,3.175,3.259,-0.108,-0.193,-0.087,0.0028,0.0391,0.2897,0.4788,0.7328,2.066,-3.58,0.00035,True
,Emblem Lunar,130,0.0021955379912516255,3.654,3.396,0.028,0.286,0.0,-0.0001,-0.0322,0.1538,0.3846,0.6615,2.063,1.58,0.11385,False
populaire,Emblem Sprykin,307,0.005184847410109608,3.515,3.398,0.03,0.147,0.0,-0.0002,0.0131,0.202,0.3746,0.7068,2.062,1.25,0.21194,False
populaire,Emblem Fae,198,0.003343973248214014,3.586,3.399,0.031,0.218,0.0,-0.0001,-0.0069,0.202,0.3838,0.6869,2.146,1.43,0.15272,False
populaire,Emblem Blossom,1361,0.022985593893026634,3.439,3.405,0.038,0.071,0.0,-0.0009,-0.0126,0.2741,0.4262,0.6811,2.179,1.19,0.23279,False
,Emblem Primal,140,0.002364425529040212,3.743,3.407,0.04,0.375,0.036,-0.0001,-0.0223,0.1643,0.3143,0.6714,2.047,2.17,0.03021,True
populaire,Emblem Flora Fatalis,159,0.0026853118508385265,3.748,3.412,0.045,0.381,0.06,-0.0001,-0.0522,0.1698,0.3396,0.6415,2.065,2.32,0.02015,True
,Emblem Invoker,144,0.0024319805441556466,3.847,3.419,0.052,0.48,0.109,-0.0001,-0.0549,0.1944,0.3611,0.6389,2.268,2.54,0.01121,True
,Emblem Slayer,103,0.0017395416392224417,4.029,3.42,0.053,0.662,0.23,-0.0001,-0.0821,0.1359,0.3107,0.6117,2.232,3.01,0.00264,True
populaire,Emblem Spellweaver,153,0.002583979328165375,3.856,3.423,0.056,0.489,0.144,-0.0001,-0.0663,0.183,0.3399,0.6275,2.171,2.78,0.0054,True
populaire,Emblem Blackthorn,194,0.0032764182330985796,3.784,3.426,0.059,0.416,0.102,-0.0002,-0.0855,0.232,0.3557,0.6082,2.23,2.59,0.00946,True
populaire,Emblem Defender,690,0.011653240107412473,3.541,3.431,0.064,0.173,0.013,-0.0007,-0.0271,0.2174,0.4145,0.6667,2.137,2.12,0.03431,True
,Emblem Flora Fatalis Augment,71,0.0011991015182989647,4.62,3.438,0.071,1.252,0.732,-0.0001,-0.2712,0.1268,0.2535,0.4225,2.235,4.72,0.0,True
,Emblem Inferno,151,0.0025502018206076576,4.238,3.466,0.099,0.871,0.519,-0.0003,-0.1772,0.1788,0.2649,0.5166,2.207,4.84,0.0,True
populaire,Emblem Elderwood,872,0.01472699329516475,3.726,3.519,0.152,0.359,0.216,-0.0022,-0.047,0.2018,0.3544,0.6468,2.138,4.92,0.0,True
,Emblem Coven,148,0.0024995355592710815,4.784,3.525,0.157,1.416,1.033,-0.0004,-0.2748,0.1554,0.2297,0.4189,2.375,7.25,0.0,True
