group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Evenshroud + Warmogs Armor,1669,0.0281873300569151,3.07,3.193,-0.174,-0.298,-0.196,0.0049,0.0468,0.3373,0.5075,0.7406,2.098,-5.72,0.0,True
pepite,Bramble Vest + Protectors Vow,901,0.015216767154751652,2.967,3.194,-0.173,-0.401,-0.267,0.0026,0.0754,0.3252,0.5294,0.7691,2.027,-5.88,0.0,True
pepite,Crownguard + Warmogs Armor,2182,0.03685126074546959,3.103,3.196,-0.172,-0.265,-0.177,0.0063,0.0455,0.313,0.4904,0.7392,2.041,-5.94,0.0,True
pepite,Crownguard + Protectors Vow,992,0.01675364374862779,3.04,3.218,-0.149,-0.327,-0.197,0.0025,0.0512,0.3276,0.5181,0.745,2.069,-4.93,0.0,True
populaire,Spirit Visage + Warmogs Armor,6608,0.111600884970698,3.2,3.225,-0.142,-0.168,-0.114,0.0159,0.0243,0.3016,0.4809,0.7181,2.105,-6.13,0.0,True
pepite,Protectors Vow + Steadfast Heart,815,0.013764334329769807,3.022,3.227,-0.141,-0.345,-0.208,0.0019,0.0719,0.2908,0.5104,0.7656,1.978,-4.94,0.0,True
pepite,Spirit Visage + Steadfast Heart,1910,0.03225751971762004,3.156,3.237,-0.13,-0.211,-0.117,0.0042,0.0392,0.3042,0.4848,0.733,2.076,-4.37,1e-05,True
populaire,Protectors Vow + Warmogs Armor,3725,0.06291060782624851,3.204,3.244,-0.124,-0.163,-0.093,0.0078,0.0252,0.3055,0.4757,0.7189,2.111,-4.57,0.0,True
,Crownguard + Spirit Visage,1690,0.02854199388627113,3.164,3.248,-0.119,-0.203,-0.1,0.0034,0.0282,0.3142,0.4911,0.7219,2.122,-3.87,0.00011,True
,Evenshroud + Protectors Vow,1221,0.020621168363986423,3.133,3.248,-0.119,-0.235,-0.116,0.0025,0.0442,0.3014,0.5012,0.7379,2.096,-3.87,0.00011,True
,Evenshroud + Steadfast Heart,528,0.008917261995237371,2.991,3.251,-0.116,-0.377,-0.213,0.001,0.0714,0.2973,0.4962,0.7652,1.91,-4.51,1e-05,True
,Steadfast Heart + Warmogs Armor,2296,0.03877657867625948,3.193,3.253,-0.115,-0.174,-0.087,0.0045,0.0336,0.2979,0.4669,0.7274,2.078,-3.93,8e-05,True
,Bramble Vest + Spirit Visage,2137,0.03609126682542095,3.193,3.255,-0.112,-0.175,-0.082,0.0041,0.0283,0.3121,0.4857,0.722,2.133,-3.72,0.0002,True
,Dragons Claw + Steadfast Heart,740,0.012497677796355407,3.088,3.26,-0.108,-0.28,-0.134,0.0013,0.0725,0.2959,0.477,0.7662,2.009,-3.76,0.00017,True
populaire,Gargoyle Stoneplate + Steadfast Heart,3202,0.054077789599905425,3.22,3.26,-0.107,-0.147,-0.073,0.0058,0.0283,0.2942,0.4619,0.722,2.089,-3.88,0.00011,True
,Emblem Brawler + Gargoyle Stoneplate,639,0.010791913664690683,3.074,3.264,-0.103,-0.294,-0.133,0.0011,0.0402,0.3192,0.5102,0.734,2.068,-3.57,0.00035,True
,Bramble Vest + Steadfast Heart,526,0.008883484487679654,3.032,3.264,-0.103,-0.335,-0.168,0.0009,0.0895,0.2719,0.5019,0.7833,1.948,-3.92,9e-05,True
,Bramble Vest + Crownguard,442,0.007464829170255527,2.991,3.265,-0.102,-0.376,-0.189,0.0008,0.0778,0.3326,0.4955,0.7715,2.002,-3.94,8e-05,True
,Crownguard + Steadfast Heart,536,0.00905237202546824,3.056,3.27,-0.097,-0.311,-0.143,0.0009,0.0488,0.2929,0.4944,0.7425,1.982,-3.62,0.0003,True
populaire,Bramble Vest + Warmogs Armor,3363,0.05679687895830167,3.238,3.272,-0.096,-0.129,-0.055,0.0054,0.0125,0.3051,0.4749,0.7062,2.134,-3.41,0.00064,True
,Emblem Brawler + Warmogs Armor,410,0.00692438904933205,3.01,3.275,-0.092,-0.358,-0.157,0.0006,0.055,0.339,0.522,0.7488,2.064,-3.5,0.00047,True
,Adaptive Helm + Spirit Visage,925,0.015622097245444258,3.161,3.277,-0.09,-0.206,-0.074,0.0014,0.0522,0.2757,0.4692,0.7459,2.028,-3.07,0.00216,True
,Crownguard + Evenshroud,592,0.009998142237084326,3.103,3.279,-0.088,-0.264,-0.099,0.0009,0.0495,0.2956,0.5051,0.7432,2.043,-3.13,0.00174,True
,Evenshroud + Spirit Visage,1454,0.02455624799446049,3.21,3.281,-0.086,-0.157,-0.047,0.0021,0.036,0.2992,0.4759,0.7297,2.116,-2.79,0.00523,True
,Dragons Claw + Protectors Vow,1073,0.01812163280471534,3.187,3.282,-0.086,-0.18,-0.053,0.0016,0.0416,0.2973,0.48,0.7353,2.103,-2.78,0.00547,True
,Emblem Vanguard + Warmogs Armor,379,0.006400837682187431,3.013,3.282,-0.086,-0.354,-0.145,0.0005,0.053,0.3298,0.5356,0.7467,2.067,-3.32,0.00089,True
,Bramble Vest + Evenshroud,649,0.010960801202479269,3.123,3.281,-0.086,-0.244,-0.077,0.0009,0.0536,0.3267,0.4977,0.7473,2.157,-2.87,0.00414,True
,Moguls Mail + Gargoyle Stoneplate,683,0.011535018830960463,3.135,3.282,-0.085,-0.233,-0.07,0.001,0.0237,0.3397,0.5095,0.7174,2.162,-2.8,0.00516,True
