group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Executioner,1805,0.030019791441448933,2.499,2.847,-0.522,-0.87,-0.786,0.0157,0.1514,0.4089,0.6366,0.8449,1.783,-20.28,0.0,True
pepite,Lux Unique Trait,12595,0.20947328155404393,2.807,2.856,-0.513,-0.562,-0.523,0.1074,0.0996,0.3736,0.565,0.7931,1.997,-28.31,0.0,True
pepite,Blossom,938,0.015600312671511966,2.422,2.954,-0.415,-0.947,-0.84,0.0065,0.1818,0.403,0.6258,0.8753,1.639,-17.45,0.0,True
pepite,Executioner,4106,0.0682887887305204,2.844,2.963,-0.406,-0.525,-0.462,0.0277,0.0951,0.3544,0.5507,0.7886,1.963,-16.47,0.0,True
populaire,Inferno,29179,0.4852894706205199,2.954,2.971,-0.398,-0.414,-0.386,0.1931,0.0715,0.3461,0.5229,0.765,2.019,-28.14,0.0,True
populaire,Brawler,20015,0.33287874000033263,2.969,2.991,-0.378,-0.4,-0.368,0.1257,0.073,0.3321,0.5201,0.7664,2.001,-24.04,0.0,True
populaire,Emerald,35153,0.5846458329868445,2.985,2.998,-0.371,-0.384,-0.356,0.2169,0.0645,0.34,0.5178,0.758,2.031,-27.51,0.0,True
populaire,Greenfather,32581,0.5418697091157051,2.994,3.007,-0.362,-0.375,-0.347,0.1961,0.0594,0.3509,0.5213,0.7529,2.065,-26.01,0.0,True
populaire,Riftbeast,15248,0.253596553960783,3.076,3.097,-0.271,-0.293,-0.256,0.0688,0.0467,0.3311,0.4994,0.7402,2.074,-15.44,0.0,True
populaire,Draven Unique Trait,27712,0.4608911138091041,3.09,3.102,-0.267,-0.279,-0.249,0.1232,0.0409,0.3395,0.5014,0.7344,2.107,-18.11,0.0,True
pepite,Riftbeast,293,0.004873018776922182,2.198,3.139,-0.229,-1.171,-1.035,0.0011,0.2588,0.3311,0.6792,0.9522,1.178,-16.88,0.0,True
populaire,Apex Predator,15427,0.2565735859098242,3.123,3.141,-0.228,-0.246,-0.208,0.0585,0.0333,0.3319,0.495,0.7268,2.112,-12.85,0.0,True
pepite,Elderwood,13022,0.2165749164268964,3.13,3.15,-0.218,-0.239,-0.199,0.0473,0.0368,0.3225,0.4928,0.7303,2.101,-11.7,0.0,True
