group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Base,12775,0.2124669449664876,2.805,2.854,-0.515,-0.564,-0.525,0.1094,0.1,0.373,0.5656,0.7935,1.995,-28.58,0.0,True
populaire,Gnar Small,23172,0.38538426996191394,2.96,2.98,-0.388,-0.408,-0.377,0.1497,0.0721,0.337,0.522,0.7655,2.004,-25.81,0.0,True
populaire,Ivern,33311,0.5540106773995044,2.978,2.992,-0.377,-0.391,-0.363,0.2089,0.0612,0.3554,0.5257,0.7547,2.066,-27.27,0.0,True
populaire,Taric,35808,0.5955394415154589,2.991,3.004,-0.365,-0.377,-0.35,0.2174,0.063,0.3393,0.5172,0.7565,2.035,-27.17,0.0,True
populaire,Kennen,36876,0.6133018444292914,2.993,3.005,-0.364,-0.376,-0.349,0.2234,0.0627,0.3404,0.518,0.7562,2.04,-27.28,0.0,True
pepite,Ashe,11206,0.18637217888802035,3.002,3.038,-0.331,-0.366,-0.326,0.0617,0.0725,0.3106,0.5135,0.7659,1.996,-17.62,0.0,True
populaire,Draven,28570,0.4751609094084189,3.081,3.093,-0.276,-0.287,-0.258,0.1311,0.0428,0.3388,0.5046,0.7363,2.104,-18.87,0.0,True
populaire,Elder Dragon,15867,0.2638914298069087,3.087,3.107,-0.262,-0.281,-0.244,0.069,0.0387,0.3396,0.5041,0.7322,2.107,-14.89,0.0,True
populaire,Amumu,40716,0.6771666638947561,3.198,3.203,-0.166,-0.171,-0.144,0.1124,0.0263,0.3095,0.4768,0.7198,2.117,-12.49,0.0,True
pepite,Alune,9719,0.1616411928085552,3.186,3.206,-0.163,-0.183,-0.138,0.0263,0.0405,0.2843,0.4697,0.7339,2.059,-8.07,0.0,True
pepite,Sett,9473,0.1575498528115489,3.222,3.239,-0.13,-0.146,-0.102,0.0205,0.0338,0.2728,0.4645,0.7272,2.055,-6.4,0.0,True
pepite,Ahri,8250,0.13720957307033446,3.247,3.262,-0.106,-0.122,-0.074,0.0146,0.0298,0.268,0.4598,0.7233,2.065,-5.0,0.0,True
populaire,Sentinel,20437,0.33989721755617275,3.265,3.27,-0.098,-0.104,-0.07,0.0335,0.0142,0.3017,0.4656,0.7077,2.15,-5.99,0.0,True
pepite,Karma,5618,0.09343556139504715,3.287,3.301,-0.068,-0.082,-0.025,0.0063,0.0244,0.2627,0.4514,0.7179,2.078,-2.83,0.00468,True
,Rengar,983,0.016348728524622883,3.222,3.303,-0.066,-0.147,-0.019,0.0011,0.042,0.2645,0.4507,0.7355,2.026,-2.26,0.02412,True
populaire,Ezreal,17484,0.2907845061286943,3.301,3.305,-0.063,-0.068,-0.031,0.0184,0.0046,0.3011,0.4623,0.6981,2.168,-3.64,0.00027,True
,Soraka,9259,0.15399071964342143,3.298,3.306,-0.063,-0.071,-0.024,0.0097,0.0128,0.2809,0.4593,0.7062,2.134,-2.98,0.00289,True
,Yorick,8387,0.13948808355647213,3.314,3.321,-0.048,-0.055,-0.008,0.0067,0.0219,0.2521,0.4412,0.7154,2.062,-2.28,0.02285,True
,Kog Maw A D,2791,0.046418414356279206,3.31,3.327,-0.041,-0.059,0.0,0.0019,0.0385,0.2264,0.4353,0.732,2.009,-1.52,0.129,False
,Sivir,4903,0.08154406506228483,3.326,3.335,-0.034,-0.043,0.0,0.0028,0.0212,0.2486,0.4385,0.7147,2.064,-1.39,0.1652,False
,Yunara,5430,0.09030884627538377,3.328,3.336,-0.033,-0.04,0.0,0.003,0.0113,0.263,0.4501,0.7048,2.113,-1.35,0.17726,False
