group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Blue Buff + Morellonomicon + Void Staff,1982,0.02137918388039738,3.19,3.434,-0.261,-0.505,-0.423,0.0056,0.109,0.2079,0.4334,0.7664,1.838,-12.06,0.0,True
populaire,Blighting Jewel + Morellonomicon + Void Staff,695,0.007496737031723602,2.827,3.458,-0.236,-0.867,-0.726,0.0018,0.1411,0.3453,0.5396,0.7986,1.896,-12.01,0.0,True
populaire,Hextech Gunblade + Morellonomicon + Void Staff,2404,0.025931159459372,3.363,3.508,-0.187,-0.332,-0.252,0.0049,0.0601,0.22,0.4027,0.7176,1.97,-8.14,0.0,True
populaire,Adaptive Helm + Morellonomicon + Void Staff,1484,0.016007421230327806,3.319,3.528,-0.167,-0.376,-0.277,0.0027,0.0663,0.2224,0.4117,0.7237,1.936,-7.42,0.0,True
populaire,Morellonomicon + Spear Of Shojin + Void Staff,2447,0.026394986354859935,3.492,3.58,-0.115,-0.202,-0.123,0.003,0.0442,0.1917,0.376,0.7017,1.985,-4.97,0.0,True
pepite,Emblem Vanguard + Morellonomicon + Void Staff,503,0.005425696010010032,3.187,3.586,-0.108,-0.508,-0.345,0.0006,0.098,0.2167,0.4433,0.7555,1.863,-6.09,0.0,True
pepite,Hextech Gunblade + Red Buff + Void Staff,493,0.0053178292901291165,3.201,3.591,-0.104,-0.494,-0.325,0.0006,0.087,0.2373,0.4483,0.7444,1.904,-5.74,0.0,True
pepite,Jeweled Gauntlet + Red Buff + Void Staff,634,0.00683875004045002,3.295,3.593,-0.102,-0.4,-0.249,0.0007,0.0618,0.2334,0.418,0.7192,1.93,-5.2,0.0,True
populaire,Morellonomicon + Rabadons Deathcap + Void Staff,1922,0.02073198356111189,3.498,3.595,-0.1,-0.196,-0.105,0.0021,0.0424,0.1951,0.3788,0.6998,2.011,-4.23,2e-05,True
pepite,Blue Buff + Red Buff + Void Staff,287,0.0030957748605822647,3.101,3.615,-0.08,-0.594,-0.38,0.0002,0.1405,0.1986,0.4774,0.7979,1.848,-5.43,0.0,True
