group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Blighting Jewel,879,0.02906938289569416,2.94,3.193,-0.368,-0.621,-0.498,0.0107,0.112,0.273,0.5085,0.8009,1.826,-9.91,0.0,True
populaire,Red Buff,2118,0.07004431510020503,3.289,3.35,-0.211,-0.271,-0.187,0.0148,0.0524,0.2073,0.4183,0.7413,1.916,-6.28,0.0,True
pepite,Emblem Spellweaver,433,0.014319730140882333,3.115,3.375,-0.186,-0.445,-0.248,0.0027,0.0548,0.2887,0.515,0.7436,2.085,-4.41,1e-05,True
populaire,Hextech Gunblade,3045,0.1007011045704081,3.397,3.424,-0.137,-0.164,-0.092,0.0138,0.0303,0.1947,0.3941,0.7192,1.933,-4.45,1e-05,True
populaire,Void Staff,11887,0.3931146239830677,3.421,3.428,-0.133,-0.139,-0.097,0.0521,0.023,0.2027,0.402,0.7119,2.0,-6.44,0.0,True
populaire,Adaptive Helm,5410,0.1789139493352735,3.426,3.439,-0.121,-0.135,-0.08,0.0217,0.0361,0.1704,0.378,0.725,1.886,-4.8,0.0,True
populaire,Morellonomicon,15795,0.5223559759243336,3.447,3.451,-0.109,-0.114,-0.076,0.0572,0.0253,0.1865,0.3854,0.7142,1.957,-5.88,0.0,True
pepite,Rabadons Deathcap Radiant,241,0.00797010384284675,3.195,3.456,-0.104,-0.366,-0.106,0.0008,0.0622,0.2656,0.4606,0.751,2.051,-2.76,0.00583,True
populaire,Archangels Staff,4615,0.15262252794496992,3.446,3.459,-0.102,-0.115,-0.056,0.0155,0.0349,0.1666,0.3738,0.7237,1.895,-3.81,0.00014,True
populaire,Rabadons Deathcap,6537,0.2161849328659303,3.451,3.461,-0.1,-0.109,-0.056,0.0216,0.0209,0.1914,0.3915,0.7098,1.983,-4.03,5e-05,True
pepite,Emblem Lunar,226,0.007474039288312719,3.239,3.473,-0.088,-0.322,-0.081,0.0007,0.0899,0.1726,0.4204,0.7788,1.84,-2.62,0.00887,True
pepite,Crownguard,164,0.0054236391295720615,3.232,3.49,-0.07,-0.329,-0.064,0.0004,0.0794,0.1829,0.3963,0.7683,1.727,-2.43,0.01509,True
pepite,Strikers Flail,625,0.02066935643891792,3.44,3.499,-0.061,-0.121,0.0,0.0013,0.0119,0.1744,0.3856,0.7008,1.906,-1.57,0.11755,False
populaire,Giant Slayer,2227,0.07364905086315232,3.538,3.543,-0.018,-0.022,0.0,0.0013,0.0098,0.1684,0.3642,0.6987,1.955,-0.52,0.60455,False
,Emblem Flora Fatalis,80,0.0026456776241814933,3.413,3.543,-0.017,-0.148,0.0,0.0,0.0236,0.125,0.375,0.7125,1.759,-0.75,0.45189,False
,Adaptive Helm Radiant,44,0.0014551226932998215,3.364,3.547,-0.013,-0.197,0.0,0.0,0.1066,0.1818,0.4091,0.7955,1.978,-0.66,0.50916,False
,Emblem Vanguard,198,0.006548052119849196,3.515,3.549,-0.011,-0.046,0.0,0.0001,-0.002,0.1667,0.3737,0.6869,1.885,-0.34,0.73503,False
,Emblem Slayer,110,0.0036378067332495535,3.491,3.55,-0.011,-0.07,0.0,0.0,0.0111,0.1909,0.4091,0.7,2.127,-0.34,0.73129,False
,Blue Buff,1624,0.05370725577088432,3.561,3.561,0.0,0.0,0.0,-0.0,0.0063,0.1681,0.3627,0.6952,1.967,0.01,0.99509,False
,Morellonomicon Radiant,66,0.002182684039949732,3.561,3.561,-0.0,-0.0,0.0,0.0,-0.0071,0.1818,0.3939,0.6818,2.104,-0.0,0.99986,False
,Seekers Armguard,186,0.006151200476221972,3.565,3.562,0.001,0.004,0.0,-0.0,0.0101,0.1505,0.3387,0.6989,1.934,0.03,0.97833,False
