group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Blighting Jewel,3275,0.04088639200998752,3.087,3.3,-0.436,-0.65,-0.581,0.0178,0.1079,0.2782,0.4785,0.7557,1.954,-18.62,0.0,True
populaire,Seekers Armguard,1436,0.017927590511860176,3.766,3.75,0.014,0.029,0.0,-0.0002,-0.0099,0.1748,0.3301,0.6379,2.064,0.54,0.59144,False
populaire,Infinity Force,187,0.00233458177278402,3.898,3.753,0.017,0.162,0.0,-0.0,-0.0328,0.139,0.3369,0.615,2.133,1.04,0.29999,False
,Gold Collector,44,0.0005493133583021223,4.568,3.759,0.022,0.832,0.182,-0.0,-0.216,0.1136,0.2273,0.4318,2.199,2.51,0.01215,True
populaire,Eternal Pact,689,0.00860174781523096,3.835,3.766,0.029,0.098,0.0,-0.0003,-0.0295,0.1524,0.3135,0.6183,2.031,1.26,0.20731,False
,Statikk Shiv,78,0.0009737827715355805,4.397,3.767,0.031,0.661,0.201,-0.0,-0.1093,0.0897,0.1923,0.5385,2.071,2.82,0.00485,True
,Deaths Defiance,72,0.0008988764044943821,4.5,3.769,0.033,0.763,0.292,-0.0,-0.1756,0.125,0.2083,0.4722,2.041,3.17,0.00151,True
populaire,Lich Bane,181,0.0022596754057428213,4.105,3.774,0.037,0.368,0.061,-0.0001,-0.0511,0.116,0.2762,0.5967,2.106,2.35,0.01873,True
,Mittens,72,0.0008988764044943821,4.75,3.78,0.044,1.013,0.536,-0.0,-0.2589,0.0833,0.1806,0.3889,2.067,4.16,3e-05,True
,Artifact Talisman Of Ascension,143,0.0017852684144818976,4.371,3.788,0.052,0.634,0.298,-0.0001,-0.1443,0.0979,0.2238,0.5035,2.051,3.69,0.00022,True
populaire,Wits End,247,0.003083645443196005,4.194,3.798,0.061,0.458,0.198,-0.0002,-0.0931,0.1457,0.2429,0.5547,2.084,3.45,0.00057,True
populaire,Zhonyas Paradox,779,0.009725343320848939,3.997,3.822,0.085,0.261,0.113,-0.0008,-0.0599,0.1412,0.2991,0.5879,2.093,3.46,0.00053,True
populaire,Manazane,744,0.009288389513108614,4.117,3.857,0.121,0.38,0.234,-0.0011,-0.0658,0.1156,0.2567,0.582,2.034,5.08,0.0,True
populaire,Ludens Tempest,207,0.002584269662921348,4.913,3.871,0.135,1.177,0.912,-0.0003,-0.2855,0.0628,0.1401,0.3623,1.937,8.73,0.0,True
populaire,Dawncore,742,0.009263420724094881,4.228,3.892,0.156,0.491,0.344,-0.0014,-0.1033,0.1173,0.2318,0.5445,2.04,6.53,0.0,True
