group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Red Buff,13436,0.11739624290083006,3.315,3.353,-0.225,-0.263,-0.229,0.0264,0.0529,0.198,0.4081,0.7372,1.893,-15.14,0.0,True
populaire,Void Staff,45932,0.40132809086937526,3.41,3.418,-0.159,-0.167,-0.146,0.0639,0.0306,0.1992,0.3978,0.7149,1.967,-15.31,0.0,True
populaire,Morellonomicon,58605,0.5120576671035386,3.429,3.434,-0.143,-0.149,-0.129,0.0732,0.0301,0.1914,0.3917,0.7144,1.96,-14.83,0.0,True
populaire,Hextech Gunblade,17346,0.15155963302752293,3.437,3.453,-0.124,-0.14,-0.109,0.0188,0.0292,0.1849,0.3867,0.7135,1.944,-8.84,0.0,True
populaire,Adaptive Helm,17492,0.15283529925731762,3.454,3.468,-0.109,-0.123,-0.093,0.0167,0.0326,0.171,0.3784,0.7169,1.916,-7.88,0.0,True
populaire,Blue Buff,13396,0.11704674530362603,3.538,3.544,-0.034,-0.04,-0.005,0.004,0.0102,0.1679,0.3641,0.6945,1.953,-2.22,0.02665,True
populaire,Rabadons Deathcap,17788,0.15542158147662735,3.548,3.551,-0.027,-0.03,0.0,0.0041,0.0085,0.1755,0.3665,0.6928,1.983,-1.87,0.06145,True
populaire,Archangels Staff,17323,0.15135867190913063,3.57,3.571,-0.007,-0.007,0.0,0.001,0.0077,0.1631,0.3552,0.692,1.955,-0.46,0.6449,False
pepite,Last Whisper,231,0.002018348623853211,3.545,3.575,-0.003,-0.032,0.0,0.0,-0.0176,0.1645,0.355,0.6667,1.867,-0.26,0.79459,False
,Tacticians Cape,80,0.0006989951944080385,3.612,3.579,0.001,0.035,0.0,-0.0,-0.0093,0.2125,0.3875,0.675,2.118,0.15,0.88247,False
,Krakens Fury,62,0.0005417212756662298,4.081,3.591,0.013,0.503,0.031,-0.0,-0.1036,0.1129,0.2581,0.5806,1.895,2.09,0.03659,True
,Crownguard,2153,0.018811708169506336,3.607,3.592,0.014,0.03,0.0,-0.0003,-0.0001,0.15,0.3507,0.6842,1.962,0.69,0.48844,False
,Deathblade,75,0.000655307994757536,4.027,3.592,0.014,0.449,0.0,-0.0,-0.0843,0.1067,0.2667,0.6,2.046,1.9,0.05733,True
,Giant Slayer,12201,0.10660550458715597,3.602,3.598,0.02,0.024,0.0,-0.0022,0.0028,0.1633,0.3497,0.6871,1.97,1.28,0.19919,False
,Tacticians Crown,560,0.004892966360856269,3.693,3.6,0.023,0.115,0.0,-0.0001,-0.0182,0.1696,0.3375,0.6661,2.035,1.34,0.18071,False
,Evenshroud,204,0.001782437745740498,3.868,3.601,0.024,0.29,0.001,-0.0,-0.0372,0.1127,0.3284,0.6471,2.109,1.96,0.04959,True
,Quicksilver,1097,0.009584971603320227,3.666,3.606,0.029,0.089,0.0,-0.0003,-0.0097,0.1595,0.3209,0.6746,1.959,1.5,0.13481,False
,Strikers Flail,4458,0.03895150720838794,3.637,3.617,0.039,0.06,0.0,-0.0015,-0.0048,0.164,0.3457,0.6795,2.001,1.95,0.05111,True
,Infinity Edge,312,0.00272608125819135,3.92,3.619,0.041,0.342,0.125,-0.0001,-0.0561,0.1218,0.2692,0.6282,1.955,3.09,0.00201,True
,Bramble Vest,175,0.0015290519877675841,4.206,3.622,0.045,0.628,0.316,-0.0001,-0.13,0.0971,0.2743,0.5543,2.107,3.94,8e-05,True
,Component Chain Vest,120,0.0010484927916120576,4.517,3.624,0.047,0.939,0.538,-0.0,-0.2093,0.15,0.225,0.475,2.243,4.58,0.0,True
,Protectors Vow,878,0.007671472258628222,3.776,3.632,0.055,0.198,0.064,-0.0004,-0.0374,0.1412,0.3223,0.6469,2.028,2.88,0.00392,True
,Steadfast Heart,279,0.0024377457404980343,4.272,3.653,0.076,0.695,0.455,-0.0002,-0.1144,0.0968,0.2294,0.5699,2.04,5.68,0.0,True
