group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Spellweaver,2689,0.022991748963276475,3.38,3.469,-0.103,-0.193,-0.113,0.0024,0.0218,0.241,0.4262,0.7081,2.075,-4.76,0.0,True
populaire,Emblem Vanguard,2440,0.020862724979693045,3.467,3.518,-0.054,-0.105,-0.026,0.0011,0.0162,0.1836,0.3906,0.7025,1.973,-2.61,0.00898,True
populaire,Emblem Sprykin,438,0.003745030139797358,3.429,3.55,-0.023,-0.143,0.0,0.0001,0.0352,0.1667,0.3721,0.7215,1.882,-1.59,0.11237,False
populaire,Emblem Fae,499,0.004266598264289684,3.467,3.554,-0.019,-0.105,0.0,0.0001,0.0211,0.1964,0.3707,0.7074,1.964,-1.2,0.23175,False
populaire,Emblem Lunar,2027,0.017331452267966313,3.545,3.559,-0.013,-0.028,0.0,0.0002,-0.0104,0.1865,0.3823,0.6759,2.012,-0.61,0.53972,False
pepite,Emblem Juggernaut,258,0.002205976657688855,3.457,3.561,-0.011,-0.115,0.0,0.0,0.0191,0.2093,0.376,0.7054,1.941,-0.95,0.34215,False
pepite,Emblem Elderwood,135,0.0011542901115813775,3.407,3.563,-0.009,-0.165,0.0,0.0,0.0544,0.1852,0.363,0.7407,1.875,-1.02,0.30721,False
populaire,Emblem Executioner,873,0.007464409388226241,3.589,3.577,0.004,0.016,0.0,-0.0,-0.0116,0.2062,0.3757,0.6747,2.091,0.23,0.81642,False
populaire,Emblem Inferno,622,0.005318284810397161,3.603,3.579,0.006,0.031,0.0,-0.0,-0.0143,0.1833,0.3601,0.672,2.032,0.37,0.70793,False
,Emblem Rapidfire,152,0.0012996451626694028,3.842,3.589,0.016,0.27,0.0,-0.0,-0.0679,0.1118,0.3158,0.6184,1.954,1.7,0.08885,False
,Emblem Defender,188,0.0016074558590911034,3.819,3.591,0.018,0.247,0.0,-0.0,-0.0693,0.1383,0.3298,0.617,1.997,1.69,0.09037,False
populaire,Emblem Slayer,1392,0.011902013594972425,3.621,3.591,0.018,0.049,0.0,-0.0002,-0.0096,0.171,0.3563,0.6767,2.016,0.9,0.36617,False
,Emblem Blossom,352,0.0030097045872344063,3.722,3.592,0.02,0.149,0.0,-0.0001,-0.0386,0.1932,0.358,0.6477,2.12,1.32,0.18708,False
populaire,Emblem Flora Fatalis,1107,0.009465178914967296,3.636,3.593,0.02,0.064,0.0,-0.0002,-0.0016,0.1707,0.3586,0.6847,2.032,1.04,0.29947,False
,Emblem Brawler,150,0.0012825445684237528,4.02,3.599,0.027,0.448,0.118,-0.0,-0.0863,0.1267,0.28,0.6,2.061,2.66,0.00783,True
,Emblem Flora Fatalis Augment,393,0.003360266769270232,3.766,3.6,0.028,0.194,0.005,-0.0001,-0.0324,0.1145,0.3155,0.6539,1.907,2.01,0.04448,False
populaire,Emblem Primal,1428,0.012209824291394125,3.672,3.61,0.038,0.1,0.0,-0.0005,-0.0126,0.1415,0.3207,0.6737,1.914,1.96,0.0499,False
,Emblem Blackthorn,341,0.002915651318883331,3.935,3.618,0.046,0.363,0.136,-0.0001,-0.0617,0.1525,0.3079,0.6246,2.139,3.13,0.00174,True
,Emblem Hunter,114,0.000974733872002052,4.605,3.62,0.048,1.033,0.659,-0.0,-0.1688,0.0789,0.1667,0.5175,2.037,5.41,0.0,True
