group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Morellonomicon Radiant,749,0.006543713579297752,3.27,3.502,-0.076,-0.308,-0.168,0.0005,0.0399,0.2403,0.4206,0.7263,1.952,-4.3,2e-05,True
pepite,Red Buff Radiant,148,0.0012930168354286613,3.189,3.554,-0.024,-0.388,-0.071,0.0,0.0636,0.2838,0.3986,0.75,1.967,-2.4,0.01638,True
populaire,Hextech Gunblade Radiant,328,0.0028656048785175737,3.421,3.558,-0.02,-0.157,0.0,0.0001,0.03,0.2043,0.3872,0.7165,1.963,-1.45,0.14845,False
populaire,Void Staff Radiant,473,0.004132411913228087,3.484,3.562,-0.016,-0.093,0.0,0.0001,0.0112,0.1924,0.3721,0.6977,1.95,-1.04,0.2983,False
populaire,Adaptive Helm Radiant,427,0.0037305283022164757,3.492,3.564,-0.013,-0.086,0.0,0.0001,0.0232,0.192,0.37,0.7096,1.964,-0.9,0.36762,False
populaire,Archangels Staff Radiant,301,0.0026297166720542367,3.505,3.569,-0.008,-0.073,0.0,0.0,0.0079,0.2093,0.3588,0.6944,1.979,-0.64,0.52508,False
pepite,Blue Buff Radiant,257,0.0022453062615213916,3.498,3.57,-0.008,-0.08,0.0,0.0,0.014,0.1946,0.3619,0.7004,1.935,-0.66,0.51045,False
pepite,Edge Of Night Radiant,141,0.0012318606337529813,3.454,3.57,-0.007,-0.124,0.0,0.0,-0.0056,0.2553,0.3688,0.6809,2.002,-0.73,0.46339,False
pepite,Spear Of Shojin Radiant,86,0.0007513476205869248,3.477,3.574,-0.004,-0.101,0.0,0.0,0.0461,0.1628,0.3488,0.7326,1.822,-0.51,0.6079,False
populaire,Rabadons Deathcap Radiant,1587,0.013864984579900578,3.576,3.577,-0.001,-0.002,0.0,0.0,-0.0172,0.218,0.373,0.6692,2.091,-0.03,0.97499,False
,Crownguard Radiant,54,0.00047177641292667373,3.611,3.578,0.001,0.034,0.0,-0.0,-0.0012,0.1667,0.3519,0.6852,1.995,0.12,0.90172,False
,Nashors Tooth Radiant,98,0.000856186823459519,3.592,3.578,0.001,0.014,0.0,-0.0,-0.0028,0.2245,0.3673,0.6837,2.108,0.07,0.94667,False
,Strikers Flail Radiant,84,0.0007338744201081591,3.643,3.58,0.002,0.065,0.0,-0.0,-0.0198,0.2381,0.3333,0.6667,2.108,0.28,0.77665,False
populaire,Hand Of Justice Radiant,442,0.0038615773058072182,3.595,3.58,0.003,0.017,0.0,-0.0,-0.0213,0.2081,0.3507,0.6652,1.998,0.18,0.85469,False
populaire,Giant Slayer Radiant,385,0.0033635910921623957,3.719,3.598,0.02,0.142,0.0,-0.0001,-0.0449,0.1844,0.3299,0.6416,2.019,1.38,0.16863,False
,Titans Resolve Radiant,194,0.0016949004464402722,3.912,3.604,0.026,0.335,0.05,-0.0,-0.0937,0.1598,0.2938,0.5928,2.022,2.3,0.02124,True
populaire,Bloodthirster Radiant,269,0.0023501454643939856,3.881,3.609,0.032,0.303,0.046,-0.0001,-0.0693,0.197,0.3048,0.6171,2.152,2.31,0.02088,True
,Ionic Spark Radiant,177,0.0015463782423707638,4.153,3.619,0.041,0.575,0.268,-0.0001,-0.1328,0.1299,0.2599,0.5537,2.084,3.67,0.00024,True
populaire,Jeweled Gauntlet Radiant,1140,0.009959724272896445,3.74,3.632,0.054,0.163,0.038,-0.0005,-0.0628,0.2193,0.35,0.6237,2.145,2.55,0.01075,True
