group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Red Buff + Void Staff,3732,0.04025585985955753,3.193,3.36,-0.335,-0.501,-0.44,0.0135,0.1001,0.2248,0.4354,0.7575,1.871,-15.99,0.0,True
pepite,Blighting Jewel + Morellonomicon,1589,0.017140021789077416,2.979,3.364,-0.331,-0.716,-0.622,0.0057,0.1223,0.2889,0.4997,0.7797,1.9,-14.88,0.0,True
pepite,Blighting Jewel + Void Staff,1055,0.011379938947436547,2.823,3.379,-0.316,-0.872,-0.758,0.0036,0.1492,0.3355,0.5336,0.8066,1.869,-15.06,0.0,True
pepite,Blue Buff + Void Staff,3084,0.03326609641127423,3.285,3.439,-0.256,-0.41,-0.342,0.0085,0.0935,0.1939,0.4167,0.751,1.88,-11.88,0.0,True
populaire,Blue Buff + Morellonomicon,3972,0.04284466113669949,3.334,3.449,-0.246,-0.361,-0.301,0.0105,0.078,0.1843,0.4016,0.7354,1.876,-11.83,0.0,True
populaire,Hextech Gunblade + Morellonomicon,5579,0.06017884302156256,3.376,3.455,-0.239,-0.319,-0.266,0.0144,0.0642,0.2008,0.3974,0.7216,1.943,-11.88,0.0,True
pepite,Adaptive Helm + Morellonomicon,3734,0.04027743320353371,3.354,3.467,-0.228,-0.341,-0.279,0.0092,0.0686,0.1934,0.4012,0.726,1.901,-10.72,0.0,True
populaire,Hextech Gunblade + Void Staff,4294,0.04631796951686496,3.397,3.487,-0.208,-0.298,-0.238,0.0096,0.0577,0.2052,0.3971,0.7152,1.961,-9.72,0.0,True
pepite,Adaptive Helm + Void Staff,2367,0.025532052595812614,3.325,3.488,-0.207,-0.369,-0.292,0.0053,0.0764,0.2095,0.3967,0.7338,1.906,-9.29,0.0,True
populaire,Morellonomicon + Void Staff,21548,0.23243120799939596,3.475,3.492,-0.202,-0.22,-0.19,0.047,0.0422,0.2016,0.3871,0.6996,2.008,-14.42,0.0,True
,Hextech Gunblade + Red Buff,1403,0.015133700799292394,3.23,3.494,-0.2,-0.465,-0.366,0.003,0.0831,0.2145,0.4362,0.7406,1.878,-9.2,0.0,True
,Adaptive Helm + Red Buff,688,0.007421230327806962,3.086,3.53,-0.165,-0.609,-0.48,0.0012,0.1362,0.2093,0.4331,0.7936,1.716,-9.26,0.0,True
,Giant Slayer + Red Buff,763,0.008230230726913826,3.18,3.545,-0.15,-0.515,-0.38,0.0012,0.1053,0.2228,0.4482,0.7628,1.899,-7.46,0.0,True
,Emblem Vanguard + Morellonomicon,951,0.010258125060675029,3.27,3.551,-0.144,-0.425,-0.305,0.0015,0.087,0.2019,0.4269,0.7445,1.875,-6.94,0.0,True
,Jeweled Gauntlet + Red Buff,2040,0.02200481085570669,3.434,3.558,-0.136,-0.26,-0.174,0.003,0.0568,0.1956,0.3848,0.7142,1.961,-5.93,0.0,True
,Emblem Vanguard + Void Staff,716,0.007723257143473524,3.209,3.56,-0.135,-0.485,-0.348,0.001,0.094,0.2123,0.4358,0.7514,1.869,-6.92,0.0,True
,Rabadons Deathcap + Red Buff,1193,0.012868499681793176,3.352,3.561,-0.134,-0.343,-0.236,0.0017,0.0827,0.1819,0.3965,0.7402,1.869,-6.29,0.0,True
,Archangels Staff + Red Buff,980,0.010570938548329684,3.31,3.562,-0.133,-0.385,-0.268,0.0014,0.0966,0.1918,0.3959,0.7541,1.854,-6.45,0.0,True
,Blighting Jewel + Hextech Gunblade,397,0.004282308779272331,2.955,3.564,-0.131,-0.74,-0.554,0.0006,0.1259,0.2922,0.5038,0.7834,1.888,-7.79,0.0,True
,Emblem Spellweaver + Morellonomicon,661,0.007129990184128491,3.206,3.566,-0.129,-0.489,-0.332,0.0009,0.0929,0.2693,0.466,0.7504,2.057,-6.09,0.0,True
populaire,Morellonomicon + Rabadons Deathcap,6599,0.0711812484494159,3.555,3.586,-0.109,-0.139,-0.089,0.0077,0.0305,0.1788,0.3708,0.688,2.003,-5.45,0.0,True
,Blighting Jewel + Red Buff,282,0.003041841500641807,2.901,3.59,-0.105,-0.794,-0.585,0.0003,0.1369,0.2837,0.4965,0.7943,1.786,-7.45,0.0,True
,Rabadons Deathcap + Void Staff,3766,0.04062260670715264,3.54,3.591,-0.104,-0.155,-0.09,0.0042,0.0353,0.1843,0.3667,0.6928,1.998,-4.67,0.0,True
populaire,Morellonomicon + Spear Of Shojin,5041,0.05437561349196932,3.561,3.597,-0.098,-0.134,-0.078,0.0053,0.0361,0.1714,0.3598,0.6935,1.973,-4.68,0.0,True
,Giant Slayer + Void Staff,2114,0.02280302458282546,3.512,3.597,-0.097,-0.183,-0.096,0.0022,0.0445,0.1845,0.3827,0.702,2.009,-4.14,4e-05,True
populaire,Spear Of Shojin + Void Staff,4186,0.04515300894215108,3.557,3.599,-0.096,-0.138,-0.077,0.0043,0.0294,0.1799,0.365,0.6868,1.986,-4.4,1e-05,True
,Blue Buff + Red Buff,836,0.009017657782044506,3.395,3.602,-0.093,-0.3,-0.164,0.0008,0.071,0.1938,0.4115,0.7285,1.993,-4.33,1e-05,True
,Giant Slayer + Hextech Gunblade,717,0.007734043815461615,3.378,3.606,-0.088,-0.317,-0.18,0.0007,0.0804,0.166,0.3863,0.7378,1.86,-4.54,1e-05,True
,Emblem Spellweaver + Void Staff,566,0.006105256345259797,3.323,3.608,-0.087,-0.371,-0.2,0.0005,0.0687,0.2527,0.4364,0.7261,2.077,-4.24,2e-05,True
,Adaptive Helm + Hextech Gunblade,668,0.007205496888045132,3.382,3.612,-0.083,-0.313,-0.167,0.0006,0.0761,0.1826,0.3877,0.7335,1.913,-4.21,3e-05,True
,Blighting Jewel + Jeweled Gauntlet,504,0.005436482681998123,3.317,3.614,-0.081,-0.377,-0.201,0.0004,0.0668,0.2202,0.4365,0.7242,2.01,-4.2,3e-05,True
,Giant Slayer + Morellonomicon,3220,0.03473308380165468,3.57,3.615,-0.079,-0.125,-0.055,0.0028,0.0407,0.1717,0.3665,0.6981,2.008,-3.48,0.00051,True
,Archangels Staff + Hextech Gunblade,1125,0.012135005986602953,3.486,3.616,-0.079,-0.209,-0.096,0.001,0.0546,0.1662,0.3636,0.712,1.921,-3.62,0.0003,True
,Red Buff + Spear Of Shojin,1119,0.012070285954674404,3.496,3.62,-0.075,-0.199,-0.086,0.0009,0.0423,0.1752,0.3619,0.6997,1.907,-3.46,0.00053,True
,Emblem Lunar + Void Staff,383,0.00413129537143905,3.258,3.62,-0.075,-0.436,-0.242,0.0003,0.0815,0.235,0.423,0.7389,1.931,-4.41,1e-05,True
,Hextech Gunblade + Rabadons Deathcap,1200,0.012944006385709817,3.507,3.621,-0.074,-0.188,-0.077,0.001,0.0476,0.1642,0.3817,0.705,1.955,-3.31,0.00093,True
,Strikers Flail + Void Staff,469,0.00505894916241492,3.335,3.622,-0.073,-0.36,-0.184,0.0004,0.0888,0.2068,0.4009,0.7463,1.943,-4.0,6e-05,True
,Archangels Staff + Blighting Jewel,283,0.0030526281726298986,3.166,3.625,-0.07,-0.529,-0.299,0.0002,0.0846,0.2403,0.4806,0.742,1.967,-4.51,1e-05,True
,Emblem Lunar + Morellonomicon,560,0.006040536313331248,3.425,3.632,-0.063,-0.27,-0.105,0.0004,0.0479,0.2161,0.3893,0.7054,1.981,-3.21,0.00131,True
,Adaptive Helm + Rabadons Deathcap,744,0.008025283959140086,3.473,3.631,-0.063,-0.222,-0.086,0.0005,0.0603,0.1478,0.3737,0.7177,1.875,-3.21,0.00133,True
,Morellonomicon + Rabadons Deathcap Radiant,466,0.005026589146450646,3.382,3.632,-0.063,-0.313,-0.124,0.0003,0.0529,0.2532,0.4142,0.7103,2.076,-3.24,0.00118,True
,Adaptive Helm + Archangels Staff,731,0.007885057223294897,3.488,3.636,-0.058,-0.206,-0.07,0.0005,0.0662,0.145,0.357,0.7237,1.878,-2.96,0.0031,True
,Morellonomicon + Strikers Flail,753,0.00812236400703291,3.507,3.641,-0.054,-0.187,-0.047,0.0004,0.0597,0.1753,0.3533,0.7171,1.952,-2.62,0.00869,True
,Blighting Jewel + Rabadons Deathcap,230,0.0024809345572610482,3.213,3.642,-0.053,-0.482,-0.229,0.0001,0.0947,0.2261,0.4261,0.7522,1.95,-3.74,0.00018,True
,Blighting Jewel + Blue Buff,130,0.0014022673584518969,2.885,3.642,-0.053,-0.81,-0.497,0.0001,0.1349,0.2923,0.5231,0.7923,1.817,-5.08,0.0,True
,Emblem Slayer + Morellonomicon,293,0.0031604948925108138,3.311,3.642,-0.052,-0.384,-0.171,0.0002,0.0729,0.1945,0.4027,0.7304,1.855,-3.54,0.0004,True
,Adaptive Helm + Blighting Jewel,125,0.0013483339985114393,2.864,3.642,-0.052,-0.831,-0.537,0.0001,0.1666,0.248,0.488,0.824,1.675,-5.54,0.0,True
,Blighting Jewel + Spear Of Shojin,202,0.002178907741594486,3.178,3.644,-0.051,-0.517,-0.251,0.0001,0.0851,0.2673,0.4455,0.7426,1.921,-3.82,0.00014,True
,Crownguard + Morellonomicon,412,0.004444108859093704,3.427,3.646,-0.049,-0.268,-0.077,0.0002,0.0683,0.1893,0.3908,0.7257,1.971,-2.75,0.00598,True
,Archangels Staff + Blue Buff,575,0.006202336393152621,3.499,3.648,-0.046,-0.196,-0.036,0.0003,0.0452,0.1739,0.3722,0.7026,1.941,-2.41,0.016,True
,Edge Of Night + Morellonomicon,785,0.00846753751065184,3.553,3.653,-0.042,-0.142,-0.004,0.0004,0.0457,0.1783,0.358,0.7032,1.965,-2.01,0.04397,True
