group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Apex Predator,102,0.05067064083457526,2.284,2.523,-0.604,-0.842,-0.543,0.0306,0.11,0.402,0.6765,0.8725,1.484,-5.51,0.0,True
pepite,Brawler,207,0.10283159463487332,2.449,2.56,-0.567,-0.677,-0.441,0.0583,0.1022,0.3671,0.6425,0.8647,1.623,-5.62,0.0,True
pepite,Invoker,304,0.15101838052657726,2.513,2.585,-0.542,-0.614,-0.413,0.0818,0.096,0.3289,0.6316,0.8586,1.62,-6.01,0.0,True
populaire,Alune Unique Trait,725,0.3601589667163438,2.559,2.589,-0.538,-0.568,-0.422,0.1938,0.105,0.3503,0.5807,0.8676,1.648,-7.64,0.0,True
pepite,Greenfather,350,0.17386984600099353,2.551,2.611,-0.516,-0.575,-0.371,0.0897,0.0832,0.3971,0.5971,0.8457,1.778,-5.53,0.0,True
pepite,Maokai Unique Trait,263,0.13065076999503228,2.582,2.654,-0.473,-0.545,-0.313,0.0617,0.0854,0.3688,0.6084,0.8479,1.789,-4.61,0.0,True
populaire,Emerald,1150,0.5712866368604074,2.637,2.654,-0.473,-0.489,-0.362,0.2701,0.0879,0.3183,0.5748,0.8504,1.675,-7.53,0.0,True
pepite,Lunar,46,0.022851465474416296,2.283,2.677,-0.45,-0.844,-0.407,0.0103,0.1288,0.3696,0.6739,0.8913,1.484,-3.79,0.00015,True
,Lux Unique Trait,314,0.15598609041231992,2.659,2.712,-0.414,-0.467,-0.246,0.0646,0.0559,0.3822,0.5701,0.8185,1.853,-4.14,3e-05,True
,Blossom,128,0.06358668653750621,2.594,2.721,-0.405,-0.533,-0.212,0.0258,0.0656,0.375,0.6094,0.8281,1.787,-3.26,0.00112,True
populaire,Lunar,602,0.29905613512170887,2.704,2.731,-0.396,-0.422,-0.263,0.1184,0.0796,0.3123,0.5498,0.8422,1.703,-5.2,0.0,True
populaire,Riftbeast,764,0.37953303527074017,2.768,2.786,-0.34,-0.358,-0.211,0.1292,0.0712,0.2814,0.5406,0.8338,1.715,-4.77,0.0,True
,Lunar,89,0.044212617983109784,2.652,2.8,-0.327,-0.475,-0.131,0.0145,0.0689,0.3371,0.5393,0.8315,1.608,-2.7,0.00684,True
,Spellweaver,97,0.04818678589170392,2.67,2.804,-0.323,-0.457,-0.097,0.0155,0.0725,0.3196,0.6082,0.8351,1.757,-2.49,0.01276,True
populaire,Vanguard,864,0.42921013412816694,2.803,2.818,-0.309,-0.323,-0.181,0.1326,0.0604,0.287,0.5312,0.8229,1.734,-4.46,1e-05,True
,Juggernaut,429,0.21311475409836064,2.834,2.86,-0.267,-0.292,-0.109,0.0569,0.0696,0.2821,0.5105,0.8322,1.725,-3.13,0.00176,True
,Vanguard,54,0.026825633383010434,2.685,2.874,-0.253,-0.441,0.0,0.0068,0.1078,0.3148,0.537,0.8704,1.709,-1.87,0.06174,False
,Inferno,82,0.04073522106308992,2.78,2.894,-0.232,-0.346,0.0,0.0095,0.0423,0.3537,0.561,0.8049,1.874,-1.64,0.10125,False
populaire,Spellweaver,598,0.29706905116741184,2.895,2.909,-0.217,-0.232,-0.059,0.0646,0.0284,0.3127,0.5217,0.791,1.9,-2.62,0.00869,True
