group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Ivern,5373,0.17769032343408955,2.827,2.901,-0.66,-0.734,-0.68,0.1172,0.1246,0.3143,0.5297,0.8135,1.839,-26.6,0.0,True
populaire,Alune,11091,0.3667901316224618,2.959,2.99,-0.571,-0.602,-0.562,0.2094,0.1148,0.2568,0.4872,0.8037,1.797,-29.28,0.0,True
pepite,Lux Base,4050,0.1339374297241881,2.964,3.042,-0.519,-0.596,-0.531,0.0695,0.0822,0.3193,0.5198,0.7711,1.981,-17.98,0.0,True
populaire,Taric,18658,0.6170381638997288,3.028,3.045,-0.516,-0.532,-0.498,0.3182,0.1056,0.238,0.4689,0.7945,1.803,-30.46,0.0,True
pepite,Elder Dragon,1426,0.04715920365103512,2.874,3.078,-0.482,-0.687,-0.583,0.0227,0.0923,0.3422,0.5351,0.7812,1.952,-12.98,0.0,True
pepite,Gnar Small,1576,0.05211984919637542,2.944,3.115,-0.446,-0.617,-0.522,0.0232,0.11,0.2627,0.5159,0.7989,1.868,-12.74,0.0,True
pepite,Kennen,2099,0.06941596666446194,3.009,3.132,-0.428,-0.552,-0.466,0.0297,0.0825,0.2987,0.4969,0.7713,1.94,-12.57,0.0,True
pepite,Maokai,3850,0.12732323566373438,3.101,3.163,-0.398,-0.46,-0.394,0.0506,0.0729,0.2803,0.4782,0.7618,1.981,-13.56,0.0,True
,Teemo,3078,0.10179244659038296,3.109,3.183,-0.378,-0.452,-0.386,0.0385,0.1009,0.204,0.4418,0.7898,1.77,-13.34,0.0,True
,Rammus,1093,0.036146570540379654,3.106,3.268,-0.293,-0.455,-0.346,0.0106,0.0888,0.2077,0.4547,0.7777,1.797,-8.18,0.0,True
,Kobuko,791,0.026159137509094516,3.081,3.289,-0.272,-0.48,-0.358,0.0071,0.1051,0.1934,0.4475,0.7939,1.717,-7.73,0.0,True
,Ashe,961,0.03178120246048019,3.285,3.392,-0.169,-0.276,-0.145,0.0054,0.0489,0.2529,0.4266,0.7378,2.028,-4.15,3e-05,True
,Veigar,670,0.022157550102520008,3.258,3.402,-0.159,-0.302,-0.16,0.0035,0.0664,0.1821,0.4239,0.7552,1.859,-4.16,3e-05,True
,Amumu,2821,0.09329320722269992,3.389,3.419,-0.141,-0.172,-0.092,0.0132,0.013,0.2407,0.4204,0.7019,2.066,-4.24,2e-05,True
,Scuttlecrab,5582,0.1846021562272637,3.429,3.441,-0.119,-0.132,-0.08,0.022,0.0503,0.1491,0.3572,0.7392,1.801,-4.95,0.0,True
populaire,Sentry,13649,0.45138567365566507,3.44,3.445,-0.116,-0.121,-0.082,0.0522,0.0318,0.1773,0.3805,0.7206,1.922,-6.03,0.0,True
,Rek Sai,411,0.013592168794232423,3.299,3.455,-0.106,-0.261,-0.074,0.0014,0.0459,0.1971,0.4331,0.7348,1.926,-2.73,0.0063,True
,Krug,1156,0.03823004166942258,3.411,3.462,-0.098,-0.15,-0.034,0.0038,0.0352,0.1834,0.3936,0.724,1.963,-2.54,0.01095,True
populaire,Sentinel,28027,0.9268800846616839,3.467,3.469,-0.092,-0.094,-0.062,0.0849,0.0193,0.1834,0.3786,0.7081,1.948,-5.73,0.0,True
,Aphelios,1924,0.06362854686156492,3.441,3.47,-0.091,-0.119,-0.03,0.0058,0.0273,0.1798,0.3935,0.7162,1.947,-2.6,0.0092,True
populaire,Kog Maw A D,19022,0.6290759970897546,3.467,3.47,-0.091,-0.094,-0.059,0.0571,0.0286,0.1679,0.3713,0.7174,1.906,-5.22,0.0,True
,Crimson Raptor,1131,0.037403267411865865,3.431,3.476,-0.084,-0.129,-0.02,0.0031,0.0468,0.1353,0.3802,0.7356,1.829,-2.32,0.02015,True
,Gromp A P,622,0.020570143528011113,3.415,3.487,-0.074,-0.146,-0.008,0.0015,0.0668,0.1238,0.3408,0.7556,1.728,-2.08,0.03779,True
