group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Rabadons Deathcap,7866,0.11473162193698949,3.495,3.521,-0.151,-0.177,-0.133,0.0173,0.0365,0.1471,0.3598,0.7128,1.859,-7.97,0.0,True
pepite,Guinsoos Rageblade Radiant,744,0.010851808634772461,3.34,3.555,-0.117,-0.332,-0.194,0.0013,0.0736,0.1868,0.4073,0.75,1.909,-4.72,0.0,True
populaire,Strikers Flail,24790,0.3615810968494749,3.586,3.59,-0.082,-0.086,-0.059,0.0296,0.0193,0.1406,0.342,0.6956,1.893,-6.13,0.0,True
pepite,Navori Flickerblade,1281,0.018684364060676778,3.511,3.594,-0.078,-0.161,-0.06,0.0014,0.034,0.1468,0.3396,0.7104,1.824,-3.12,0.00182,True
populaire,Archangels Staff,3500,0.05105017502917153,3.566,3.596,-0.076,-0.106,-0.041,0.0039,0.0288,0.1346,0.3466,0.7051,1.885,-3.23,0.00124,True
populaire,Hextech Gunblade,3156,0.04603267211201867,3.574,3.604,-0.068,-0.098,-0.03,0.0031,0.015,0.1505,0.3542,0.6914,1.916,-2.81,0.00494,True
pepite,Jeweled Gauntlet Radiant,636,0.00927654609101517,3.502,3.618,-0.054,-0.17,-0.019,0.0005,0.0186,0.1698,0.3679,0.695,1.932,-2.21,0.02687,True
pepite,Emblem Lunar,225,0.0032817969661610266,3.413,3.635,-0.036,-0.259,-0.018,0.0001,0.0659,0.1556,0.3733,0.7422,1.839,-2.11,0.03524,True
pepite,Strikers Flail Radiant,221,0.003223453908984831,3.425,3.638,-0.034,-0.247,-0.007,0.0001,0.0883,0.1448,0.3529,0.7647,1.812,-2.02,0.04355,True
pepite,Quicksilver,694,0.010122520420070011,3.576,3.64,-0.032,-0.096,0.0,0.0003,0.0311,0.1542,0.3329,0.7075,1.897,-1.32,0.187,False
populaire,Jeweled Gauntlet,44702,0.6520128354725787,3.644,3.645,-0.027,-0.028,-0.005,0.0176,0.0063,0.1353,0.3309,0.6826,1.906,-2.39,0.01672,True
populaire,Guinsoos Rageblade,51775,0.7551779463243874,3.648,3.649,-0.023,-0.024,-0.002,0.0175,0.0055,0.1364,0.3308,0.6818,1.912,-2.14,0.0327,True
,Giant Slayer Radiant,113,0.001648191365227538,3.381,3.65,-0.022,-0.291,0.0,0.0,0.0847,0.1504,0.3717,0.7611,1.777,-1.74,0.08157,False
populaire,Nashors Tooth,3990,0.05819719953325554,3.649,3.655,-0.017,-0.023,0.0,0.001,0.0058,0.1301,0.3286,0.6822,1.883,-0.73,0.46349,False
,Edge Of Night,707,0.010312135355892649,3.627,3.656,-0.015,-0.045,0.0,0.0002,-0.0031,0.14,0.3239,0.6733,1.844,-0.65,0.51604,False
,Emblem Fae,103,0.0015023337222870479,3.515,3.661,-0.011,-0.157,0.0,0.0,0.0712,0.165,0.3204,0.7476,1.895,-0.84,0.39977,False
populaire,Giant Slayer,7160,0.1044340723453909,3.659,3.661,-0.01,-0.012,0.0,0.0011,0.0031,0.1406,0.3337,0.6795,1.941,-0.51,0.6073,False
,Red Buff,1352,0.01971995332555426,3.651,3.661,-0.01,-0.021,0.0,0.0002,-0.0122,0.1649,0.3528,0.6642,2.014,-0.38,0.70405,False
,Nashors Tooth Radiant,59,0.0008605600933488915,3.424,3.662,-0.01,-0.248,0.0,0.0,0.0525,0.1356,0.3051,0.7288,1.709,-1.11,0.2651,False
,Seekers Armguard,62,0.0009043173862310385,3.645,3.671,-0.001,-0.027,0.0,0.0,-0.0151,0.1613,0.371,0.6613,2.041,-0.1,0.91793,False
,Statikk Shiv,1086,0.015840140023337224,3.671,3.672,-0.0,-0.001,0.0,0.0,-0.0069,0.1225,0.3223,0.6694,1.894,-0.01,0.99163,False
,Ludens Tempest,484,0.00705950991831972,3.676,3.673,0.001,0.004,0.0,-0.0,-0.0152,0.126,0.3285,0.6612,1.875,0.04,0.96512,False
,Rabadons Deathcap Radiant,317,0.0046236872812135356,3.685,3.674,0.002,0.013,0.0,-0.0,0.0019,0.1041,0.3281,0.6782,1.883,0.12,0.90494,False
,Lich Bane,702,0.010239206534422405,3.681,3.675,0.003,0.009,0.0,-0.0,0.0046,0.1325,0.3191,0.6809,1.891,0.13,0.89982,False
,Emblem Blossom,371,0.005411318553092182,3.685,3.675,0.003,0.013,0.0,-0.0,-0.0052,0.1752,0.3261,0.6712,2.015,0.12,0.90317,False
,Archangels Staff Radiant,45,0.0006563593932322054,3.844,3.677,0.005,0.173,0.0,-0.0,-0.0541,0.0889,0.2667,0.6222,1.825,0.63,0.52608,False
,Titans Resolve,479,0.006986581096849475,3.699,3.679,0.007,0.027,0.0,-0.0,-0.0166,0.119,0.3361,0.6597,1.903,0.32,0.7527,False
,Morellonomicon,376,0.005484247374562427,3.71,3.68,0.008,0.038,0.0,-0.0,-0.0354,0.1782,0.3351,0.641,2.042,0.36,0.71722,False
,Eternal Pact,55,0.0008022170361726954,3.964,3.683,0.011,0.292,0.0,-0.0,-0.0945,0.0727,0.2364,0.5818,1.768,1.22,0.22124,False
,Tacticians Crown,214,0.003121353558926488,3.762,3.684,0.012,0.09,0.0,-0.0,-0.0362,0.1869,0.3411,0.6402,2.086,0.63,0.52931,False
,Emblem Invoker,1691,0.024664527421236874,3.698,3.686,0.014,0.026,0.0,-0.0004,-0.0046,0.1307,0.3199,0.6718,1.924,0.55,0.58396,False
,Mittens,53,0.0007730455075845974,4.113,3.688,0.016,0.441,0.0,-0.0,-0.0726,0.0566,0.1698,0.6038,1.777,1.81,0.07069,False
,Emblem Hunter,198,0.0028879813302217037,3.818,3.69,0.018,0.146,0.0,-0.0001,-0.0349,0.101,0.298,0.6414,1.863,1.1,0.26997,False
,Emblem Spellweaver,193,0.0028150525087514587,3.85,3.694,0.022,0.178,0.0,-0.0001,-0.0235,0.1451,0.3057,0.6528,2.009,1.23,0.21922,False
,Krakens Fury,48,0.0007001166861143524,4.312,3.694,0.022,0.641,0.13,-0.0,-0.1555,0.0417,0.1875,0.5208,1.805,2.46,0.01395,True
,Last Whisper,44,0.0006417736289381563,4.455,3.696,0.024,0.783,0.207,-0.0,-0.1764,0.0909,0.2045,0.5,1.948,2.66,0.0077,True
,Emblem Slayer,88,0.0012835472578763127,4.08,3.696,0.025,0.408,0.006,-0.0,-0.1082,0.1364,0.2159,0.5682,1.92,1.99,0.04655,True
,Infinity Force,50,0.0007292882147024504,4.42,3.698,0.026,0.748,0.172,-0.0,-0.1964,0.14,0.2,0.48,2.079,2.54,0.01098,True
,Bloodthirster,718,0.010472578763127188,3.758,3.701,0.029,0.086,0.0,-0.0003,-0.0232,0.1198,0.305,0.6532,1.887,1.21,0.2258,False
,Wits End,333,0.00485705950991832,3.835,3.704,0.032,0.163,0.0,-0.0002,-0.0367,0.1141,0.3243,0.6396,1.998,1.48,0.13763,False
,Deathblade,241,0.003515169194865811,3.888,3.704,0.032,0.216,0.0,-0.0001,-0.0374,0.1162,0.2946,0.639,2.004,1.67,0.09469,False
,Emblem Rapidfire,142,0.002071178529754959,4.021,3.705,0.033,0.349,0.0,-0.0001,-0.0918,0.1408,0.3028,0.5845,2.151,1.93,0.0532,False
,Rapid Fire Cannon,75,0.0010939323220536755,4.333,3.706,0.034,0.661,0.271,-0.0,-0.1564,0.04,0.1733,0.52,1.723,3.32,0.00089,True
,Adaptive Helm,328,0.004784130688448075,3.869,3.71,0.038,0.197,0.0,-0.0002,-0.0361,0.122,0.2835,0.6402,1.983,1.8,0.07255,False
,Component Giants Belt,43,0.0006271878646441074,4.953,3.711,0.039,1.282,0.727,-0.0,-0.3508,0.0233,0.1628,0.3256,1.855,4.53,1e-05,True
,Dawncore,170,0.0024795799299883316,4.035,3.712,0.04,0.363,0.056,-0.0001,-0.0587,0.1176,0.2529,0.6176,2.043,2.32,0.02054,True
,Emblem Inferno,214,0.003121353558926488,3.967,3.712,0.04,0.295,0.043,-0.0001,-0.0595,0.1121,0.2383,0.6168,1.883,2.29,0.02195,True
,Gamblers Blade,213,0.0031067677946324387,3.977,3.713,0.041,0.305,0.027,-0.0001,-0.0707,0.1174,0.2864,0.6056,2.063,2.15,0.03141,True
,Steraks Gage,907,0.01322928821470245,3.777,3.714,0.042,0.105,0.0,-0.0006,-0.0248,0.1202,0.3142,0.6516,1.955,1.61,0.10666,False
,Hand Of Justice,1702,0.02482497082847141,3.757,3.719,0.047,0.085,0.0,-0.0012,-0.0177,0.1187,0.3026,0.6586,1.888,1.83,0.06708,False
,Manazane,86,0.0012543757292882147,4.512,3.721,0.05,0.84,0.41,-0.0001,-0.1996,0.0814,0.2093,0.4767,2.033,3.83,0.00013,True
,Blue Buff,743,0.010837222870478414,3.817,3.723,0.051,0.145,0.005,-0.0006,-0.0088,0.1144,0.2934,0.6676,1.935,2.03,0.04204,True
,Emblem Executioner,290,0.004229871645274212,3.99,3.727,0.055,0.318,0.08,-0.0002,-0.0936,0.1517,0.2862,0.5828,2.059,2.62,0.00869,True
populaire,Spear Of Shojin,6803,0.0992269544924154,3.756,3.742,0.07,0.084,0.035,-0.0069,-0.0174,0.1299,0.3157,0.659,1.963,3.38,0.00074,True
populaire,Void Staff,1971,0.028748541423570594,3.794,3.744,0.072,0.122,0.034,-0.0021,-0.0264,0.1289,0.3095,0.6499,1.969,2.71,0.00681,True
,Infinity Edge,1492,0.02176196032672112,3.876,3.778,0.106,0.204,0.103,-0.0023,-0.0463,0.1173,0.2889,0.63,1.964,3.97,7e-05,True
,Component Recurve Bow,142,0.002071178529754959,5.092,3.805,0.133,1.42,1.088,-0.0003,-0.3031,0.0634,0.0986,0.3732,2.017,8.38,0.0,True
,Component Needlessly Large Rod,209,0.003048424737456243,4.746,3.814,0.142,1.075,0.815,-0.0004,-0.2649,0.0622,0.1483,0.4115,1.914,8.1,0.0,True
,Component Sparring Gloves,239,0.003485997666277713,5.351,3.921,0.249,1.68,1.418,-0.0009,-0.3291,0.0335,0.113,0.3473,2.062,12.57,0.0,True
