group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Navori Flickerblade,2888,0.026118491856058895,3.387,3.46,-0.095,-0.168,-0.099,0.0025,0.0296,0.1648,0.3937,0.7285,1.857,-4.79,0.0,True
populaire,Statikk Shiv,2191,0.01981496387002252,3.504,3.529,-0.025,-0.051,0.0,0.0005,0.0226,0.1479,0.3482,0.7216,1.85,-1.27,0.20333,False
pepite,Seekers Armguard,344,0.003111066896982084,3.474,3.544,-0.011,-0.081,0.0,0.0,0.0278,0.1628,0.3895,0.7267,1.948,-0.77,0.44224,False
,Silvermere Dawn,55,0.0004974089515523681,3.818,3.561,0.006,0.264,0.0,-0.0,-0.0626,0.1636,0.2727,0.6364,1.964,0.99,0.31987,False
,Titanic Hydra,59,0.000533584148028904,3.898,3.564,0.009,0.344,0.0,-0.0,-0.0718,0.1525,0.339,0.6271,2.129,1.24,0.21513,False
populaire,Lich Bane,1539,0.013918406844347173,3.58,3.565,0.01,0.026,0.0,-0.0001,0.0015,0.1378,0.3379,0.7005,1.884,0.53,0.5969,False
,Hellfire Hatchet,70,0.0006330659383393776,3.9,3.565,0.011,0.345,0.0,-0.0,-0.0132,0.0857,0.2143,0.6857,1.853,1.56,0.11903,False
populaire,Wits End,851,0.007696273050383005,3.593,3.565,0.011,0.039,0.0,-0.0001,-0.0115,0.1586,0.349,0.6874,1.935,0.58,0.56052,False
,Artifact Talisman Of Ascension,88,0.0007958543224837889,3.852,3.566,0.011,0.298,0.0,-0.0,-0.108,0.1591,0.3068,0.5909,1.94,1.44,0.15022,False
populaire,Eternal Pact,358,0.00323768008464996,3.707,3.576,0.021,0.152,0.0,-0.0001,-0.0202,0.1564,0.3436,0.6788,2.062,1.39,0.16359,False
populaire,Ludens Tempest,1057,0.009559295668924602,3.626,3.578,0.023,0.072,0.0,-0.0002,-0.0017,0.1457,0.3377,0.6973,1.94,1.19,0.23219,False
,Gold Collector,149,0.0013475260687509608,3.933,3.579,0.024,0.378,0.052,-0.0,-0.0815,0.1544,0.2752,0.6174,2.032,2.27,0.02318,True
,Blighting Jewel,128,0.0011576062872491477,4.078,3.583,0.029,0.523,0.175,-0.0,-0.1365,0.0938,0.2812,0.5625,2.01,2.94,0.00323,True
,Zhonyas Paradox,181,0.0016369276405632479,3.95,3.585,0.03,0.396,0.088,-0.0,-0.0746,0.1326,0.2983,0.6243,2.111,2.52,0.01175,True
,Infinity Force,346,0.003129154495220352,3.827,3.591,0.037,0.272,0.073,-0.0001,-0.066,0.1301,0.2688,0.6329,1.885,2.68,0.00739,True
,Deaths Defiance,104,0.0009405551083899325,4.567,3.6,0.045,1.013,0.619,-0.0,-0.1893,0.0673,0.1827,0.5096,2.046,5.04,0.0,True
,Fishbones,167,0.0015103144528953723,4.305,3.607,0.053,0.751,0.467,-0.0001,-0.1241,0.0719,0.1856,0.5749,1.872,5.18,0.0,True
populaire,Gamblers Blade,656,0.0059327322221518815,3.806,3.612,0.058,0.252,0.097,-0.0003,-0.08,0.1357,0.3323,0.6189,2.021,3.18,0.00146,True
populaire,Manazane,365,0.0033009866784838976,3.984,3.615,0.061,0.429,0.241,-0.0002,-0.0661,0.0685,0.2329,0.6329,1.827,4.48,1e-05,True
populaire,Rapid Fire Cannon,358,0.00323768008464996,4.095,3.63,0.075,0.54,0.33,-0.0002,-0.1263,0.1034,0.2709,0.5726,2.028,5.03,0.0,True
,Mittens,332,0.0030025413075524766,4.196,3.638,0.084,0.641,0.44,-0.0003,-0.1327,0.0723,0.2199,0.5663,1.871,6.23,0.0,True
populaire,Dawncore,573,0.005182096895263762,3.997,3.646,0.091,0.442,0.283,-0.0005,-0.0829,0.0977,0.2513,0.6161,1.939,5.44,0.0,True
