group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Rabadons Deathcap,15442,0.13381282495667243,3.466,3.485,-0.129,-0.148,-0.117,0.0172,0.0296,0.1544,0.3693,0.7162,1.867,-9.23,0.0,True
populaire,Hextech Gunblade,6754,0.05852686308492201,3.487,3.519,-0.095,-0.127,-0.081,0.0056,0.0278,0.1556,0.3647,0.7144,1.885,-5.4,0.0,True
populaire,Strikers Flail,41886,0.3629636048526863,3.534,3.538,-0.076,-0.08,-0.059,0.0277,0.0185,0.1473,0.3533,0.7051,1.887,-7.45,0.0,True
pepite,Quicksilver,2104,0.01823223570190641,3.506,3.562,-0.052,-0.108,-0.027,0.0009,0.034,0.1516,0.3598,0.7205,1.888,-2.61,0.00913,True
pepite,Steraks Gage,1296,0.011230502599653379,3.539,3.587,-0.027,-0.075,0.0,0.0003,0.021,0.1451,0.3465,0.7076,1.867,-1.45,0.14816,False
populaire,Jeweled Gauntlet,78428,0.6796187175043328,3.589,3.59,-0.024,-0.025,-0.008,0.0166,0.0054,0.1419,0.3426,0.6919,1.897,-2.86,0.00428,True
pepite,Edge Of Night,1886,0.01634315424610052,3.576,3.597,-0.017,-0.038,0.0,0.0003,0.0017,0.1336,0.3425,0.6882,1.873,-0.88,0.37982,False
populaire,Archangels Staff,7081,0.061360485268630846,3.595,3.599,-0.015,-0.019,0.0,0.0009,0.0081,0.135,0.3392,0.6947,1.887,-0.84,0.40313,False
pepite,Tacticians Crown,661,0.00572790294627383,3.552,3.6,-0.014,-0.062,0.0,0.0001,0.0124,0.1604,0.3359,0.6989,1.891,-0.84,0.40193,False
populaire,Guinsoos Rageblade,91974,0.7970017331022531,3.606,3.606,-0.008,-0.008,0.0,0.0061,0.0021,0.1425,0.34,0.6887,1.907,-0.93,0.35441,False
pepite,Red Buff,3505,0.03037261698440208,3.606,3.609,-0.005,-0.008,0.0,0.0002,-0.0078,0.1589,0.3589,0.6787,1.98,-0.25,0.80629,False
,Hand Of Justice,3302,0.028613518197573656,3.62,3.617,0.003,0.006,0.0,-0.0001,0.0048,0.1357,0.3256,0.6914,1.873,0.18,0.85826,False
,Morellonomicon,1201,0.010407279029462738,3.627,3.618,0.004,0.013,0.0,-0.0,-0.0121,0.164,0.363,0.6744,2.043,0.22,0.82682,False
,Krakens Fury,463,0.004012131715771231,3.674,3.624,0.01,0.06,0.0,-0.0,0.0089,0.1231,0.3002,0.6955,1.859,0.69,0.48938,False
populaire,Giant Slayer,14295,0.1238734835355286,3.627,3.626,0.012,0.013,0.0,-0.0014,-0.0042,0.1395,0.3374,0.6823,1.917,0.79,0.42791,False
,Crownguard,51,0.0004419410745233969,4.235,3.627,0.013,0.621,0.101,-0.0,-0.1179,0.0588,0.1961,0.5686,1.895,2.34,0.01925,True
,Adaptive Helm,1121,0.009714038128249567,3.68,3.636,0.021,0.066,0.0,-0.0002,-0.0104,0.1427,0.3167,0.6762,1.932,1.13,0.25702,False
populaire,Nashors Tooth,8286,0.07180242634315424,3.653,3.644,0.03,0.039,0.0,-0.0022,-0.0082,0.133,0.3234,0.6784,1.888,1.79,0.07309,False
,Component Tear Of The Goddess,206,0.0017850953206239167,4.019,3.647,0.033,0.405,0.143,-0.0001,-0.0943,0.0874,0.267,0.5922,1.923,3.02,0.0025,True
,Titans Resolve,1456,0.012616984402079723,3.736,3.661,0.047,0.122,0.021,-0.0006,-0.0231,0.1312,0.3173,0.6635,1.939,2.38,0.01742,True
,Component Giants Belt,103,0.0008925476603119584,4.796,3.665,0.051,1.182,0.754,-0.0,-0.2594,0.0874,0.2039,0.4272,2.214,5.42,0.0,True
,Deathblade,1015,0.008795493934142114,3.805,3.672,0.058,0.191,0.071,-0.0005,-0.0432,0.1113,0.3084,0.6433,1.939,3.12,0.00179,True
,Bloodthirster,2054,0.01779896013864818,3.739,3.673,0.059,0.125,0.044,-0.001,-0.0147,0.1164,0.2945,0.6719,1.854,3.03,0.00247,True
,Blue Buff,2017,0.017478336221837087,3.762,3.683,0.069,0.148,0.062,-0.0012,-0.0316,0.1334,0.3104,0.6549,1.948,3.38,0.00071,True
,Component B F Sword,244,0.0021143847487001734,4.422,3.691,0.077,0.808,0.556,-0.0002,-0.1661,0.0779,0.2049,0.5205,2.01,6.27,0.0,True
,Last Whisper,602,0.005216637781629116,4.106,3.716,0.102,0.492,0.334,-0.0005,-0.1002,0.093,0.2525,0.5864,1.972,6.11,0.0,True
populaire,Spear Of Shojin,14070,0.12192374350086656,3.748,3.729,0.115,0.134,0.1,-0.0141,-0.0289,0.1316,0.3186,0.6576,1.958,7.71,0.0,True
populaire,Void Staff,4258,0.03689774696707106,3.829,3.753,0.139,0.215,0.155,-0.0051,-0.0468,0.1165,0.3032,0.6397,1.948,7.07,0.0,True
,Component Recurve Bow,544,0.004714038128249567,4.404,3.765,0.151,0.79,0.615,-0.0007,-0.1664,0.079,0.2335,0.5202,2.08,8.85,0.0,True
,Infinity Edge,2584,0.022391681109185442,3.919,3.775,0.161,0.305,0.229,-0.0036,-0.06,0.1084,0.2771,0.6265,1.955,7.84,0.0,True
,Component Needlessly Large Rod,704,0.00610051993067591,4.604,3.845,0.231,0.99,0.834,-0.0014,-0.2107,0.0881,0.1946,0.4759,2.097,12.49,0.0,True
,Component Sparring Gloves,603,0.005225303292894281,5.025,3.906,0.292,1.411,1.243,-0.0015,-0.2985,0.0564,0.1542,0.3881,2.097,16.48,0.0,True
