group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Brawler,111,0.0031238566965919004,2.847,3.443,-0.093,-0.689,-0.366,0.0003,0.086,0.2793,0.5225,0.7928,1.73,-4.19,3e-05,True
populaire,Emblem Hunter,558,0.015703712042326852,3.366,3.461,-0.075,-0.17,-0.01,0.0012,0.0011,0.1953,0.4158,0.7079,1.913,-2.08,0.03709,True
populaire,Emblem Invoker,762,0.02144485407930656,3.482,3.508,-0.028,-0.054,0.0,0.0006,-0.0126,0.1601,0.3924,0.6942,1.919,-0.77,0.44172,False
populaire,Emblem Fae,189,0.005318999240142966,3.418,3.511,-0.025,-0.118,0.0,0.0001,0.0339,0.164,0.3598,0.7407,1.814,-0.89,0.37393,False
pepite,Emblem Juggernaut,71,0.0019981425716939184,3.268,3.511,-0.024,-0.268,0.0,0.0,0.0397,0.1972,0.3803,0.7465,1.831,-1.23,0.21775,False
pepite,Emblem Defender,49,0.0013789998030000281,3.51,3.534,-0.002,-0.025,0.0,0.0,0.0075,0.1224,0.3265,0.7143,1.667,-0.11,0.91503,False
pepite,Emblem Sprykin,97,0.0027298567528776067,3.526,3.534,-0.001,-0.01,0.0,0.0,-0.0264,0.2268,0.4021,0.6804,2.121,-0.05,0.96348,False
populaire,Emblem Spellweaver,239,0.0067261418962654435,3.569,3.544,0.008,0.033,0.0,-0.0001,0.0087,0.1423,0.3431,0.7155,1.902,0.27,0.78672,False
populaire,Emblem Rapidfire,292,0.00821771311175527,3.568,3.545,0.01,0.033,0.0,-0.0001,-0.0082,0.137,0.3425,0.6986,1.863,0.3,0.76413,False
populaire,Emblem Blossom,490,0.013789998030000281,3.584,3.555,0.02,0.048,0.0,-0.0003,-0.0211,0.1571,0.3265,0.6857,1.901,0.56,0.57849,False
populaire,Emblem Lunar,190,0.005347142093265415,3.637,3.557,0.021,0.101,0.0,-0.0001,-0.0226,0.0947,0.3789,0.6842,1.838,0.76,0.44915,False
,Emblem Flora Fatalis Augment,80,0.0022514282497959645,3.888,3.571,0.036,0.352,0.0,-0.0001,-0.0568,0.125,0.3125,0.65,2.019,1.56,0.11934,False
,Emblem Flora Fatalis,138,0.0038837137308980383,3.79,3.577,0.041,0.254,0.0,-0.0002,-0.0546,0.1159,0.2609,0.6522,1.831,1.63,0.10368,False
,Emblem Blackthorn,78,0.002195142543551065,4.064,3.588,0.052,0.528,0.106,-0.0001,-0.1042,0.1026,0.2051,0.6026,1.904,2.45,0.01432,True
,Emblem Elderwood,41,0.0011538569780204318,4.878,3.609,0.073,1.342,0.74,-0.0001,-0.2434,0.0,0.1707,0.4634,1.965,4.37,1e-05,True
populaire,Emblem Slayer,348,0.009793712886612444,3.77,3.613,0.077,0.234,0.041,-0.0008,-0.0315,0.1006,0.2787,0.6753,1.833,2.37,0.0176,True
populaire,Emblem Executioner,545,0.015337854951735007,3.747,3.627,0.092,0.211,0.044,-0.0014,-0.0499,0.1413,0.3193,0.6569,1.98,2.47,0.01341,True
populaire,Emblem Inferno,418,0.011763712605183914,3.897,3.67,0.134,0.361,0.17,-0.0016,-0.0944,0.1435,0.2943,0.6124,1.992,3.69,0.00022,True
