group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Guinsoos Rageblade Radiant,1738,0.015060658578856153,3.402,3.523,-0.091,-0.212,-0.121,0.0014,0.0378,0.1858,0.3936,0.7244,1.937,-4.54,1e-05,True
populaire,Jeweled Gauntlet Radiant,1416,0.012270363951473138,3.489,3.567,-0.047,-0.125,-0.023,0.0006,0.0168,0.1751,0.3658,0.7034,1.948,-2.39,0.01671,True
populaire,Rabadons Deathcap Radiant,821,0.0071143847487001735,3.488,3.581,-0.033,-0.126,0.0,0.0002,0.0187,0.1644,0.3739,0.7052,1.929,-1.86,0.06303,False
populaire,Strikers Flail Radiant,492,0.004263431542461006,3.506,3.595,-0.019,-0.108,0.0,0.0001,0.0289,0.1484,0.3699,0.7154,1.885,-1.27,0.2052,False
populaire,Giant Slayer Radiant,360,0.003119584055459272,3.536,3.604,-0.011,-0.078,0.0,0.0,0.0134,0.1583,0.3694,0.7,1.93,-0.76,0.44451,False
populaire,Nashors Tooth Radiant,230,0.0019930675909878683,3.67,3.619,0.005,0.056,0.0,-0.0,-0.017,0.1391,0.2826,0.6696,1.875,0.45,0.65363,False
populaire,Void Staff Radiant,58,0.0005025996533795494,3.81,3.619,0.005,0.196,0.0,-0.0,-0.0659,0.1379,0.2931,0.6207,1.87,0.8,0.4242,False
populaire,Spear Of Shojin Radiant,105,0.0009098786828422877,3.752,3.62,0.006,0.138,0.0,-0.0,0.0468,0.0952,0.2952,0.7333,1.916,0.74,0.45958,False
populaire,Archangels Staff Radiant,176,0.0015251299826689775,3.756,3.624,0.01,0.142,0.0,-0.0,-0.0559,0.1705,0.3068,0.6307,1.981,0.95,0.34306,False
,Hand Of Justice Radiant,50,0.0004332755632582322,4.1,3.624,0.01,0.486,0.0,-0.0,-0.0066,0.1,0.24,0.68,2.052,1.67,0.09404,False
populaire,Hextech Gunblade Radiant,146,0.001265164644714038,3.774,3.624,0.01,0.16,0.0,-0.0,-0.0496,0.1301,0.274,0.637,1.857,1.04,0.29834,False
