group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Archangels Staff + Guinsoos Rageblade,96,0.0670391061452514,2.917,3.015,-0.315,-0.414,-0.086,0.0211,0.0646,0.1979,0.4792,0.8125,1.572,-2.47,0.01348,False
populaire,Guinsoos Rageblade + Strikers Flail,244,0.17039106145251395,3.07,3.098,-0.232,-0.261,-0.021,0.0395,0.0431,0.2008,0.4508,0.791,1.762,-2.13,0.03336,False
populaire,Jeweled Gauntlet + Strikers Flail,228,0.15921787709497207,3.075,3.104,-0.226,-0.256,-0.008,0.036,0.0503,0.1886,0.4518,0.7982,1.767,-2.02,0.04298,False
populaire,Guinsoos Rageblade + Rabadons Deathcap,143,0.09986033519553073,3.119,3.156,-0.175,-0.211,0.0,0.0175,0.0143,0.2098,0.4545,0.7622,1.764,-1.36,0.17266,False
populaire,Guinsoos Rageblade + Jeweled Gauntlet,601,0.4196927374301676,3.238,3.242,-0.088,-0.092,0.0,0.0369,0.0191,0.1714,0.406,0.7671,1.762,-1.07,0.28419,False
pepite,Giant Slayer + Jeweled Gauntlet,60,0.04189944134078212,3.233,3.266,-0.065,-0.097,0.0,0.0027,0.0188,0.1667,0.3833,0.7667,1.764,-0.42,0.67686,False
populaire,Giant Slayer + Guinsoos Rageblade,110,0.07681564245810056,3.255,3.271,-0.06,-0.076,0.0,0.0046,-0.0115,0.1818,0.4364,0.7364,1.885,-0.41,0.6837,False
pepite,Jeweled Gauntlet + Rabadons Deathcap,69,0.04818435754189944,3.261,3.282,-0.048,-0.069,0.0,0.0023,0.0057,0.1884,0.3913,0.7536,1.733,-0.32,0.74564,False
populaire,Guinsoos Rageblade + Spear Of Shojin,149,0.10405027932960893,3.47,3.446,0.116,0.139,0.0,-0.0121,-0.0365,0.1409,0.3557,0.7114,1.782,0.91,0.36373,False
populaire,Guinsoos Rageblade + Nashors Tooth,83,0.057960893854748605,3.59,3.521,0.191,0.26,0.0,-0.0111,-0.013,0.1205,0.2651,0.7349,1.672,1.37,0.17028,False
populaire,Jeweled Gauntlet + Spear Of Shojin,97,0.06773743016759777,3.608,3.543,0.212,0.278,0.0,-0.0144,-0.0675,0.1856,0.3299,0.6804,1.864,1.42,0.15449,False
,Guinsoos Rageblade + Hextech Gunblade,66,0.046089385474860335,3.652,3.551,0.221,0.321,0.0,-0.0102,-0.0812,0.1515,0.303,0.6667,1.838,1.39,0.16479,False
populaire,Jeweled Gauntlet + Nashors Tooth,79,0.055167597765363126,3.734,3.623,0.293,0.404,0.01,-0.0161,-0.0137,0.1013,0.2658,0.7342,1.734,2.01,0.04428,False
,Guinsoos Rageblade + Void Staff,57,0.039804469273743016,3.807,3.643,0.312,0.477,0.0,-0.0124,-0.1163,0.1579,0.2982,0.6316,1.977,1.79,0.07335,False
,Rabadons Deathcap + Spear Of Shojin,48,0.0335195530726257,3.979,3.73,0.399,0.649,0.126,-0.0134,-0.1854,0.0833,0.2708,0.5625,1.82,2.43,0.01508,False
