group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Alune Unique Trait,149,0.10405027932960893,2.685,2.793,-0.538,-0.646,-0.396,0.0559,0.1581,0.2483,0.4899,0.906,1.443,-5.07,0.0,True
pepite,Greenfather,158,0.11033519553072625,2.753,2.845,-0.485,-0.577,-0.31,0.0535,0.1002,0.2405,0.5506,0.8481,1.602,-4.24,2e-05,True
pepite,Lux Unique Trait,141,0.09846368715083799,2.766,2.865,-0.465,-0.564,-0.288,0.0458,0.1103,0.234,0.5106,0.8582,1.574,-4.01,6e-05,True
populaire,Blossom,324,0.22625698324022347,2.827,2.87,-0.461,-0.503,-0.305,0.1042,0.0947,0.2346,0.5,0.8426,1.609,-4.97,0.0,True
populaire,Brawler,418,0.2918994413407821,2.883,2.913,-0.418,-0.448,-0.26,0.1219,0.0775,0.244,0.4952,0.8254,1.699,-4.67,0.0,True
pepite,Lunar,136,0.09497206703910614,2.86,2.945,-0.385,-0.47,-0.197,0.0366,0.1124,0.2132,0.4706,0.8603,1.525,-3.38,0.00073,True
pepite,Adaptor,286,0.19972067039106145,2.937,2.974,-0.356,-0.393,-0.188,0.0711,0.0878,0.1853,0.465,0.8357,1.581,-3.75,0.00018,True
populaire,Emerald,394,0.2751396648044693,2.987,3.012,-0.319,-0.343,-0.152,0.0877,0.0414,0.2259,0.4518,0.7893,1.688,-3.52,0.00044,True
pepite,Maokai Unique Trait,236,0.164804469273743,3.0,3.037,-0.293,-0.33,-0.102,0.0483,0.0657,0.1653,0.4619,0.8136,1.636,-2.83,0.00466,True
,Rival,58,0.040502793296089384,2.948,3.079,-0.252,-0.382,-0.047,0.0102,0.1831,0.1379,0.3966,0.931,1.252,-2.23,0.02558,True
populaire,Caustic,955,0.6668994413407822,3.183,3.188,-0.143,-0.147,-0.003,0.0951,0.0238,0.1812,0.4115,0.7717,1.731,-2.0,0.04566,False
,Primal,192,0.1340782122905028,3.167,3.189,-0.142,-0.164,0.0,0.019,0.049,0.1615,0.4219,0.7969,1.721,-1.23,0.21872,False
,Vanguard,200,0.13966480446927373,3.17,3.191,-0.139,-0.16,0.0,0.0195,0.0071,0.195,0.42,0.755,1.741,-1.21,0.22467,False
,Juggernaut,133,0.09287709497206705,3.173,3.202,-0.128,-0.157,0.0,0.0119,0.0265,0.1504,0.4286,0.7744,1.723,-1.0,0.31575,False
populaire,Invoker,300,0.20949720670391062,3.2,3.212,-0.118,-0.13,0.0,0.0248,0.0154,0.2167,0.4033,0.7633,1.809,-1.13,0.25648,False
populaire,Juggernaut,952,0.664804469273743,3.252,3.254,-0.076,-0.078,0.0,0.0504,0.0168,0.1796,0.4034,0.7647,1.777,-1.05,0.29574,False
populaire,Riftbeast,292,0.20391061452513967,3.264,3.27,-0.06,-0.067,0.0,0.0123,0.0021,0.1986,0.4007,0.75,1.846,-0.56,0.57267,False
,Draven Unique Trait,49,0.034217877094972066,3.286,3.303,-0.028,-0.045,0.0,0.0009,0.0684,0.1429,0.3469,0.8163,1.726,-0.18,0.85908,False
,Invoker,204,0.1424581005586592,3.304,3.307,-0.023,-0.026,0.0,0.0033,-0.0028,0.1471,0.3922,0.7451,1.734,-0.2,0.83967,False
populaire,Primal,1113,0.7772346368715084,3.308,3.309,-0.022,-0.022,0.0,0.0167,0.0032,0.1716,0.3863,0.7511,1.793,-0.31,0.75809,False
