group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Alune,4626,0.07899725063611059,2.916,3.04,-0.492,-0.617,-0.566,0.0389,0.1201,0.2129,0.489,0.8262,1.662,-24.06,0.0,True
pepite,Ivern,7885,0.13465052340374664,2.987,3.057,-0.475,-0.546,-0.504,0.064,0.0971,0.2386,0.481,0.8032,1.781,-25.4,0.0,True
populaire,Taric,20774,0.3547533257056985,3.055,3.081,-0.452,-0.477,-0.449,0.1602,0.0969,0.1925,0.4554,0.8029,1.714,-33.64,0.0,True
pepite,Gnar Small,3850,0.065745658225038,2.973,3.103,-0.429,-0.559,-0.502,0.0282,0.0981,0.2306,0.4826,0.8042,1.749,-19.14,0.0,True
pepite,Lux Base,5650,0.09648388804453628,3.057,3.139,-0.394,-0.475,-0.426,0.038,0.0851,0.2078,0.4727,0.7912,1.78,-19.08,0.0,True
pepite,Krug,6154,0.1050905923939958,3.09,3.161,-0.372,-0.442,-0.395,0.039,0.0778,0.2098,0.4566,0.7839,1.774,-18.51,0.0,True
pepite,Ashe,5228,0.08927748083129834,3.123,3.198,-0.335,-0.41,-0.36,0.0299,0.0767,0.2024,0.4361,0.7827,1.761,-16.04,0.0,True
,Sett,9004,0.1537594562748681,3.207,3.244,-0.288,-0.326,-0.285,0.0443,0.0516,0.1979,0.4284,0.7577,1.821,-15.74,0.0,True
populaire,Master Yi A D,20464,0.34945951945900716,3.244,3.259,-0.273,-0.289,-0.26,0.0954,0.0549,0.1749,0.4167,0.761,1.786,-19.66,0.0,True
populaire,Gromp A P,18572,0.31715022455984565,3.298,3.312,-0.221,-0.235,-0.205,0.07,0.0499,0.1567,0.4015,0.7559,1.773,-15.51,0.0,True
,Rengar,981,0.016752335251626563,3.058,3.316,-0.216,-0.474,-0.369,0.0036,0.1064,0.1835,0.4363,0.8124,1.656,-8.88,0.0,True
,Kennen,6906,0.11793234174080841,3.285,3.321,-0.212,-0.247,-0.203,0.025,0.0526,0.1749,0.3921,0.7586,1.781,-10.86,0.0,True
,Scuttlecrab,12027,0.20538260557728102,3.307,3.327,-0.205,-0.225,-0.19,0.0422,0.0476,0.1609,0.4061,0.7536,1.803,-12.41,0.0,True
,Yorick,8577,0.14646766508990933,3.31,3.337,-0.196,-0.222,-0.18,0.0287,0.0352,0.1801,0.4056,0.7413,1.848,-10.39,0.0,True
,Maokai,9469,0.16170016564490514,3.343,3.364,-0.168,-0.189,-0.149,0.0272,0.0324,0.1747,0.3926,0.7384,1.837,-9.28,0.0,True
populaire,Kog Maw A D,41110,0.7020270154886524,3.386,3.391,-0.142,-0.146,-0.123,0.0995,0.0319,0.1554,0.3817,0.738,1.822,-12.31,0.0,True
,Elder Dragon,1980,0.03381205280144811,3.323,3.401,-0.132,-0.21,-0.128,0.0045,0.0313,0.1778,0.401,0.7374,1.828,-5.01,0.0,True
populaire,Sentinel,35479,0.6058675865366553,3.431,3.434,-0.098,-0.101,-0.077,0.0594,0.0235,0.1491,0.3741,0.7295,1.838,-8.14,0.0,True
,Teemo,813,0.013883433801806724,3.349,3.457,-0.075,-0.183,-0.057,0.001,0.0283,0.1562,0.3911,0.7343,1.819,-2.85,0.00441,True
,Draven,1700,0.029030550385081712,3.416,3.464,-0.069,-0.116,-0.023,0.002,0.0163,0.1847,0.3847,0.7224,1.919,-2.45,0.0141,True
,Alistar,1461,0.024949196536826108,3.429,3.475,-0.057,-0.103,-0.003,0.0014,0.0058,0.1841,0.386,0.7118,1.924,-2.03,0.04278,True
,Master Yi,48,0.0008196861285199543,2.333,3.485,-0.047,-1.199,-0.765,0.0,0.1689,0.375,0.7083,0.875,1.532,-5.42,0.0,True
,Kobuko,950,0.016222954626957428,3.456,3.498,-0.034,-0.077,0.0,0.0006,0.0076,0.1674,0.3884,0.7137,1.942,-1.21,0.228,False
,Kog Maw,76,0.0012978363701565943,3.066,3.504,-0.028,-0.467,-0.165,0.0,0.136,0.0132,0.4474,0.8421,1.341,-3.03,0.00245,True
populaire,Vi,51426,0.878191225943066,3.506,3.506,-0.026,-0.027,-0.004,0.0228,0.0058,0.1452,0.3571,0.7119,1.858,-2.36,0.01842,True
populaire,Morgana,15473,0.26422923888727606,3.513,3.514,-0.018,-0.019,0.0,0.0048,0.0048,0.1468,0.3576,0.7109,1.877,-1.15,0.25217,False
,Ahri,2665,0.045509656927201624,3.537,3.536,0.003,0.005,0.0,-0.0002,0.0028,0.1411,0.3415,0.7088,1.848,0.14,0.89061,False
,Sentry,1904,0.032514216431291515,3.538,3.536,0.004,0.006,0.0,-0.0001,0.0046,0.1197,0.3571,0.7106,1.846,0.14,0.88828,False
,Kayle,172,0.002937208627196503,3.663,3.549,0.017,0.13,0.0,-0.0,-0.0491,0.1279,0.3547,0.657,1.93,0.89,0.3758,False
,Rammus,1564,0.026708106354275174,3.576,3.557,0.025,0.044,0.0,-0.0007,-0.0149,0.1426,0.3382,0.6912,1.867,0.92,0.36011,False
populaire,Rakan,15141,0.25855974316501307,3.561,3.559,0.027,0.029,0.0,-0.0069,-0.006,0.1394,0.3448,0.7,1.872,1.68,0.09259,False
,Rek Sai,1041,0.017776942912276508,3.622,3.575,0.042,0.09,0.0,-0.0008,-0.0211,0.1335,0.3573,0.6849,1.954,1.48,0.13965,False
,Yunara,1374,0.02346351542888369,3.629,3.584,0.052,0.097,0.0,-0.0012,-0.0176,0.1295,0.3137,0.6885,1.857,1.9,0.05685,True
,Leona,285,0.004866886388087228,3.856,3.596,0.063,0.324,0.101,-0.0003,-0.071,0.1053,0.2982,0.6351,1.917,2.85,0.00443,True
,Karma,1620,0.027664406837548457,3.641,3.596,0.063,0.109,0.019,-0.0018,-0.027,0.1253,0.3074,0.679,1.821,2.38,0.01748,True
populaire,Diana,15015,0.2564080670776482,3.606,3.6,0.068,0.073,0.04,-0.0174,-0.0124,0.1299,0.335,0.6937,1.874,4.28,2e-05,True
,Tristana,2969,0.050701002407828,3.634,3.605,0.073,0.101,0.03,-0.0037,-0.0395,0.1502,0.3409,0.6666,1.936,2.78,0.00537,True
,Lillia,3573,0.061015386191704095,3.633,3.608,0.076,0.101,0.037,-0.0046,-0.0321,0.1416,0.3345,0.6739,1.897,3.09,0.00204,True
,Sivir,11561,0.1974248194128998,3.632,3.623,0.091,0.1,0.062,-0.0179,-0.0265,0.1387,0.3272,0.6795,1.879,5.23,0.0,True
,Aphelios,1555,0.026554415205177685,3.705,3.631,0.099,0.173,0.078,-0.0026,-0.0353,0.1267,0.3196,0.6707,1.888,3.57,0.00036,True
,Le Blanc,328,0.005601188544886354,3.985,3.631,0.099,0.452,0.24,-0.0006,-0.1146,0.122,0.2652,0.5915,1.956,4.18,3e-05,True
,Cinderling,869,0.014839734285080005,3.764,3.631,0.099,0.232,0.113,-0.0015,-0.0283,0.0679,0.2957,0.6778,1.768,3.83,0.00013,True
,Crimson Raptor,808,0.013798049830085896,3.798,3.641,0.109,0.266,0.14,-0.0015,-0.0563,0.0879,0.2896,0.6498,1.82,4.12,4e-05,True
,Xayah,608,0.010382690961252754,3.88,3.651,0.119,0.348,0.192,-0.0012,-0.0663,0.1217,0.2812,0.6398,1.954,4.37,1e-05,True
,Ezreal,896,0.015300807732372478,3.843,3.667,0.135,0.31,0.183,-0.0021,-0.0643,0.125,0.279,0.6417,1.933,4.77,0.0,True
,Veigar,449,0.0076674806605304055,4.02,3.667,0.135,0.488,0.306,-0.001,-0.1225,0.1114,0.2628,0.5835,1.959,5.26,0.0,True
,Kha Zix,748,0.012773442169435954,3.882,3.669,0.136,0.35,0.219,-0.0017,-0.0697,0.0882,0.2634,0.6364,1.811,5.25,0.0,True
populaire,Amumu,22334,0.381393124882597,3.684,3.677,0.144,0.152,0.123,-0.055,-0.027,0.1217,0.3112,0.6791,1.858,10.38,0.0,True
,Hecarim,6694,0.11431206133984528,3.721,3.693,0.16,0.188,0.141,-0.0183,-0.0319,0.1174,0.3092,0.6742,1.889,7.74,0.0,True
,Murkwolf,1009,0.017230485493263205,3.878,3.692,0.16,0.346,0.24,-0.0028,-0.044,0.0436,0.2389,0.662,1.691,6.43,0.0,True
,Warwick,657,0.011219453884116874,4.005,3.702,0.17,0.472,0.333,-0.0019,-0.0759,0.0639,0.2268,0.6301,1.814,6.64,0.0,True
,Akali A D,14396,0.24583753137860961,3.727,3.712,0.18,0.194,0.161,-0.0442,-0.0289,0.1061,0.2983,0.6772,1.838,11.33,0.0,True
,Brambleback,7529,0.12857118461722367,3.761,3.73,0.198,0.229,0.185,-0.0255,-0.0316,0.0926,0.2898,0.6745,1.827,10.2,0.0,True
,Sejuani,1667,0.028467016171724244,3.872,3.732,0.2,0.34,0.248,-0.0057,-0.0648,0.0966,0.2807,0.6413,1.883,7.27,0.0,True
,Ornn,625,0.01067299646510357,4.166,3.753,0.221,0.634,0.485,-0.0024,-0.1205,0.072,0.208,0.5856,1.889,8.35,0.0,True
