group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Crownguard + Gargoyle Stoneplate + Warmogs Armor,90,0.007624534056252118,3.4,3.827,-0.163,-0.589,-0.154,0.0012,0.1551,0.2,0.4111,0.7556,2.097,-2.66,0.0079,False
pepite,Evenshroud + Spirit Visage + Sunfire Cape,60,0.005083022704168078,3.333,3.856,-0.133,-0.656,-0.143,0.0007,0.1495,0.2167,0.4333,0.75,2.022,-2.51,0.01221,False
pepite,Dragons Claw + Gargoyle Stoneplate + Sunfire Cape,56,0.004744154523890207,3.554,3.906,-0.084,-0.436,0.0,0.0004,0.0602,0.2321,0.375,0.6607,2.112,-1.54,0.12349,False
populaire,Crownguard + Gargoyle Stoneplate + Spirit Visage,110,0.009318874957641478,3.745,3.912,-0.078,-0.244,0.0,0.0007,0.045,0.1636,0.3636,0.6455,2.1,-1.21,0.22525,False
pepite,Gargoyle Stoneplate + Warmogs Armor + Warmogs Armor,46,0.003896984073195527,3.543,3.917,-0.073,-0.446,0.0,0.0003,0.0517,0.1957,0.3696,0.6522,2.092,-1.44,0.1492,False
pepite,Protectors Vow + Sunfire Cape + Warmogs Armor,47,0.003981701118264995,3.574,3.921,-0.069,-0.415,0.0,0.0003,0.1017,0.2128,0.383,0.7021,2.219,-1.28,0.20076,False
pepite,Evenshroud + Gargoyle Stoneplate + Sunfire Cape,58,0.004913588614029143,3.724,3.937,-0.052,-0.265,0.0,0.0003,0.0375,0.1724,0.3966,0.6379,2.164,-0.93,0.35169,False
,Evenshroud + Gargoyle Stoneplate + Warmogs Armor,63,0.005337173839376482,3.762,3.941,-0.048,-0.228,0.0,0.0003,0.0027,0.2381,0.3651,0.6032,2.23,-0.81,0.41934,False
,Gargoyle Stoneplate + Protectors Vow + Sunfire Cape,75,0.006353778380210099,3.8,3.944,-0.046,-0.189,0.0,0.0003,0.0262,0.16,0.3733,0.6267,2.135,-0.77,0.44388,False
,Protectors Vow + Spirit Visage + Sunfire Cape,60,0.005083022704168078,3.783,3.948,-0.042,-0.206,0.0,0.0002,0.0329,0.1667,0.2833,0.6333,1.942,-0.82,0.41247,False
,Dragons Claw + Spirit Visage + Sunfire Cape,51,0.0043205692985428664,3.784,3.953,-0.036,-0.205,0.0,0.0002,0.0858,0.1176,0.3137,0.6863,2.042,-0.72,0.47424,False
populaire,Gargoyle Stoneplate + Spirit Visage + Steadfast Heart,106,0.008980006777363606,3.877,3.955,-0.035,-0.112,0.0,0.0003,0.0127,0.1132,0.2925,0.6132,1.994,-0.58,0.56492,False
,Evenshroud + Gargoyle Stoneplate + Protectors Vow,47,0.003981701118264995,3.851,3.966,-0.023,-0.138,0.0,0.0001,-0.026,0.1702,0.4043,0.5745,2.25,-0.42,0.67394,False
,Dragons Claw + Protectors Vow + Warmogs Armor,42,0.003558115892917655,3.905,3.977,-0.013,-0.085,0.0,0.0,-0.0052,0.1429,0.3333,0.5952,2.147,-0.26,0.79869,False
populaire,Gargoyle Stoneplate + Gargoyle Stoneplate + Spirit Visage,130,0.011013215859030838,3.985,3.988,-0.002,-0.005,0.0,0.0,-0.0159,0.1308,0.3,0.5846,2.109,-0.03,0.97943,False
