group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Crownguard,955,0.08776766841282971,3.614,3.682,-0.302,-0.37,-0.235,0.0265,0.0879,0.177,0.3518,0.689,2.032,-5.37,0.0,True
pepite,Forbidden Idol,174,0.015991177281499864,3.316,3.687,-0.297,-0.668,-0.361,0.0047,0.1173,0.2414,0.431,0.7184,2.048,-4.27,2e-05,True
populaire,Evenshroud,1188,0.10918114143920596,3.652,3.704,-0.28,-0.332,-0.206,0.0306,0.0638,0.1776,0.3712,0.665,2.09,-5.18,0.0,True
pepite,Lightshield Crest,129,0.011855527984560243,3.403,3.768,-0.216,-0.581,-0.218,0.0026,0.081,0.2093,0.4264,0.6822,2.093,-3.13,0.00173,True
pepite,Adaptive Helm,878,0.08069111294917747,3.748,3.795,-0.189,-0.236,-0.088,0.0152,0.0549,0.1811,0.344,0.656,2.142,-3.14,0.00171,True
populaire,Steadfast Heart,1026,0.09429280397022333,3.802,3.834,-0.15,-0.182,-0.049,0.0142,0.0451,0.1384,0.3324,0.6462,2.074,-2.68,0.00745,True
populaire,Protectors Vow,1971,0.18114143920595532,3.819,3.836,-0.148,-0.165,-0.062,0.0269,0.027,0.1684,0.3338,0.6281,2.131,-3.15,0.00163,True
pepite,The Indomitable,86,0.007903685323040161,3.581,3.87,-0.114,-0.403,-0.015,0.0009,0.0965,0.1395,0.3488,0.6977,1.827,-2.03,0.04202,True
pepite,Ionic Spark,320,0.029409061667126184,3.837,3.897,-0.087,-0.147,0.0,0.0026,0.0332,0.1531,0.3219,0.6344,2.066,-1.25,0.21146,False
pepite,Archangels Staff,54,0.004962779156327543,3.611,3.91,-0.074,-0.373,0.0,0.0004,-0.0085,0.2593,0.3519,0.5926,2.05,-1.33,0.18232,False
,Hullcrusher,42,0.0038599393438103115,3.643,3.929,-0.055,-0.341,0.0,0.0002,0.0893,0.1905,0.3571,0.6905,2.114,-1.04,0.2964,False
populaire,Sunfire Cape,1986,0.18251998897160188,3.926,3.932,-0.052,-0.058,0.0,0.0096,0.0071,0.1551,0.3243,0.6083,2.146,-1.11,0.26746,False
populaire,Bramble Vest,970,0.08914621817847625,3.944,3.952,-0.032,-0.04,0.0,0.0029,0.0009,0.1464,0.3268,0.6021,2.163,-0.55,0.58311,False
,Emblem Elderwood,214,0.019667309989890636,3.939,3.962,-0.022,-0.045,0.0,0.0004,0.0063,0.1308,0.2897,0.6075,2.04,-0.32,0.75035,False
,Emblem Brawler,61,0.005606102380295928,4.0,3.988,0.003,0.016,0.0,-0.0,-0.0438,0.1311,0.3115,0.5574,2.135,0.06,0.95375,False
,Aegis Of Dawn,112,0.010293171583494165,4.0,3.99,0.005,0.016,0.0,-0.0001,0.006,0.1607,0.3304,0.6071,2.256,0.07,0.94082,False
,Emblem Defender,217,0.019943019943019943,4.005,3.994,0.01,0.021,0.0,-0.0002,-0.0205,0.1475,0.3088,0.5806,2.141,0.14,0.88892,False
,Aegis Of Dusk,40,0.003676132708390773,4.15,4.01,0.026,0.166,0.0,-0.0001,0.0239,0.075,0.175,0.625,1.891,0.55,0.57998,False
populaire,Warmogs Armor,2969,0.2728609502803051,4.033,4.03,0.046,0.049,0.0,-0.0125,-0.0158,0.1458,0.2917,0.5854,2.142,1.11,0.26778,False
populaire,Spirit Visage,3559,0.32708390772906903,4.056,4.052,0.068,0.072,0.0,-0.0222,-0.0128,0.1326,0.2872,0.5884,2.119,1.75,0.0795,False
populaire,Dragons Claw,1212,0.11138682106424042,4.103,4.085,0.101,0.119,0.0,-0.0112,-0.0335,0.1328,0.2913,0.5677,2.163,1.82,0.06917,False
populaire,Gargoyle Stoneplate,4415,0.4057531476886316,4.095,4.089,0.105,0.111,0.035,-0.0428,-0.0245,0.1409,0.2854,0.5767,2.171,2.86,0.00426,True
,Moguls Mail,128,0.011763624666850473,4.336,4.114,0.13,0.352,0.0,-0.0015,-0.0386,0.1172,0.25,0.5625,2.205,1.79,0.07268,False
,Component Chain Vest,112,0.010293171583494165,4.955,4.314,0.33,0.971,0.553,-0.0034,-0.1458,0.0714,0.1786,0.4554,2.246,4.56,1e-05,True
,Component Negatron Cloak,89,0.00817939527616947,5.225,4.344,0.36,1.241,0.778,-0.0029,-0.2416,0.0674,0.1461,0.3596,2.217,5.26,0.0,True
,Component Giants Belt,171,0.015715467328370553,5.48,4.642,0.658,1.495,1.153,-0.0103,-0.2795,0.0643,0.1462,0.3216,2.267,8.57,0.0,True
