group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Forbidden Idol,271,0.024905799099347488,3.432,3.678,-0.306,-0.552,-0.295,0.0076,0.1037,0.2288,0.428,0.7048,2.133,-4.21,3e-05,True
populaire,Lightshield Crest,226,0.020770149802407867,3.571,3.774,-0.211,-0.413,-0.129,0.0044,0.0582,0.2124,0.3982,0.6593,2.161,-2.85,0.00443,True
populaire,The Indomitable,167,0.015347854057531477,3.599,3.817,-0.167,-0.385,-0.084,0.0026,0.0695,0.1617,0.3832,0.6707,1.97,-2.5,0.01226,True
populaire,Void Gauntlet,101,0.009282235088686702,3.545,3.845,-0.139,-0.44,-0.019,0.0013,0.0919,0.2079,0.3861,0.6931,2.146,-2.05,0.04046,True
populaire,Artifact Talisman Of Ascension,62,0.005698005698005698,3.484,3.873,-0.111,-0.5,-0.007,0.0006,0.1569,0.1774,0.371,0.7581,1.974,-1.99,0.0467,True
populaire,Aegis Of Dawn,189,0.017369727047146403,3.899,3.945,-0.039,-0.085,0.0,0.0007,0.0179,0.164,0.3122,0.619,2.122,-0.54,0.58685,False
pepite,Seekers Armguard,40,0.003676132708390773,3.775,3.952,-0.032,-0.209,0.0,0.0001,0.0739,0.125,0.225,0.675,1.725,-0.76,0.4445,False
populaire,Hullcrusher,110,0.010109364948074625,3.9,3.956,-0.028,-0.084,0.0,0.0003,-0.0011,0.1455,0.3455,0.6,2.145,-0.41,0.68239,False
populaire,Silvermere Dawn,42,0.0038599393438103115,4.024,3.991,0.006,0.04,0.0,-0.0,-0.0059,0.119,0.2857,0.5952,2.064,0.12,0.901,False
populaire,Aegis Of Dusk,115,0.010568881536623472,4.017,3.996,0.012,0.033,0.0,-0.0001,0.0163,0.1391,0.2696,0.6174,2.098,0.17,0.8656,False
populaire,Moguls Mail,207,0.01902398676592225,4.42,4.197,0.213,0.436,0.123,-0.004,-0.0697,0.1111,0.2657,0.5314,2.276,2.73,0.00626,True
