group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Crownguard,1244,0.11629428811816397,3.598,3.655,-0.332,-0.389,-0.269,0.0386,0.086,0.1793,0.3577,0.6865,2.027,-6.36,0.0,True
populaire,Evenshroud,1492,0.1394783584182481,3.658,3.699,-0.288,-0.329,-0.216,0.0402,0.065,0.1776,0.368,0.6655,2.091,-5.68,0.0,True
pepite,Adaptive Helm,1161,0.10853510329999065,3.661,3.712,-0.275,-0.326,-0.198,0.0298,0.0678,0.186,0.3609,0.6684,2.106,-4.99,0.0,True
populaire,Protectors Vow,2318,0.216696269982238,3.814,3.829,-0.158,-0.173,-0.077,0.0342,0.031,0.167,0.333,0.6316,2.119,-3.54,0.0004,True
populaire,Steadfast Heart,1314,0.12283817892867159,3.812,3.837,-0.15,-0.175,-0.054,0.0185,0.0418,0.1446,0.3364,0.6423,2.101,-2.84,0.00451,True
pepite,Titans Resolve,132,0.012339908385528653,3.674,3.868,-0.119,-0.313,0.0,0.0015,0.0661,0.1818,0.3561,0.6667,2.094,-1.7,0.08827,False
pepite,Archangels Staff,151,0.014116107319809293,3.715,3.875,-0.112,-0.272,0.0,0.0016,0.0286,0.2119,0.3907,0.6291,2.212,-1.5,0.13367,False
pepite,Spear Of Shojin,41,0.0038328503318687483,3.537,3.915,-0.072,-0.45,0.0,0.0003,0.1068,0.1951,0.3659,0.7073,2.025,-1.42,0.15536,False
pepite,Component Needlessly Large Rod,41,0.0038328503318687483,3.561,3.918,-0.069,-0.426,0.0,0.0003,0.0336,0.1463,0.3171,0.6341,1.808,-1.5,0.13251,False
populaire,Sunfire Cape,2400,0.22436197064597552,3.914,3.92,-0.067,-0.073,0.0,0.0151,0.0153,0.1546,0.3192,0.6158,2.13,-1.52,0.12897,False
pepite,Steraks Gage,211,0.01972515658595868,3.853,3.921,-0.066,-0.134,0.0,0.0013,0.0487,0.1374,0.3365,0.6493,2.134,-0.9,0.36668,False
,Hand Of Justice,41,0.0038328503318687483,3.683,3.938,-0.049,-0.304,0.0,0.0002,0.0092,0.1951,0.3415,0.6098,2.1,-0.93,0.3549,False
,Rabadons Deathcap,45,0.004206786949612041,3.756,3.947,-0.04,-0.231,0.0,0.0002,0.0883,0.1556,0.2889,0.6889,2.067,-0.75,0.45366,False
populaire,Bramble Vest,1191,0.11133962793306534,3.945,3.952,-0.035,-0.042,0.0,0.0039,0.0074,0.1402,0.3216,0.6079,2.157,-0.63,0.5281,False
,Ionic Spark,525,0.04907918107880714,3.947,3.958,-0.029,-0.04,0.0,0.0014,0.0033,0.1619,0.3086,0.6038,2.111,-0.43,0.66932,False
,Bloodthirster,126,0.011779003458913714,4.0,3.992,0.005,0.013,0.0,-0.0001,-0.0053,0.1508,0.2857,0.5952,2.07,0.07,0.94419,False
,Morellonomicon,49,0.004580723567355333,4.204,4.027,0.04,0.217,0.0,-0.0002,-0.0087,0.0408,0.2245,0.5918,2.03,0.75,0.45534,False
populaire,Spirit Visage,3952,0.369449378330373,4.047,4.044,0.057,0.06,0.0,-0.021,-0.0112,0.1371,0.2915,0.5893,2.134,1.51,0.13188,False
populaire,Warmogs Armor,3315,0.30989997195475366,4.05,4.047,0.06,0.063,0.0,-0.0184,-0.018,0.1469,0.2935,0.5825,2.159,1.48,0.13997,False
populaire,Dragons Claw,1474,0.1377956436384033,4.093,4.08,0.093,0.106,0.0,-0.0127,-0.0307,0.1418,0.2972,0.5699,2.194,1.74,0.08171,False
,Component Tear Of The Goddess,87,0.008133121435916612,4.402,4.107,0.12,0.415,0.0,-0.001,-0.0833,0.092,0.2299,0.5172,2.141,1.8,0.07162,False
populaire,Gargoyle Stoneplate,4810,0.4496587828363092,4.135,4.128,0.141,0.148,0.074,-0.0636,-0.0299,0.1383,0.2796,0.5707,2.183,3.91,9e-05,True
,Component Chain Vest,230,0.02150135552023932,4.73,4.372,0.385,0.743,0.457,-0.0083,-0.1179,0.0957,0.187,0.4826,2.19,5.09,0.0,True
,Component Negatron Cloak,203,0.018977283350472093,4.901,4.432,0.445,0.914,0.62,-0.0084,-0.1769,0.0739,0.1478,0.4236,2.122,6.08,0.0,True
,Component Giants Belt,342,0.03197158081705151,5.094,4.668,0.681,1.107,0.853,-0.0218,-0.2058,0.0994,0.1842,0.3947,2.361,8.55,0.0,True
