group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Rapidfire,149,0.012622839715350729,3.819,3.923,-0.066,-0.171,0.0,0.0008,0.0438,0.1812,0.3087,0.6443,2.165,-0.96,0.339,False
populaire,Emblem Elderwood,429,0.03634361233480176,4.061,4.035,0.046,0.071,0.0,-0.0017,-0.0154,0.1259,0.3054,0.5851,2.151,0.67,0.50073,False
populaire,Emblem Lunar,64,0.005421890884445951,4.234,4.042,0.052,0.245,0.0,-0.0003,-0.1005,0.1562,0.3281,0.5,2.33,0.84,0.40143,False
populaire,Emblem Defender,418,0.035411724839037616,4.103,4.062,0.073,0.113,0.0,-0.0026,-0.0311,0.1388,0.299,0.5694,2.191,1.04,0.29792,False
populaire,Emblem Brawler,188,0.01592680447305998,4.197,4.081,0.092,0.207,0.0,-0.0015,-0.0526,0.1277,0.2872,0.5479,2.219,1.27,0.20341,False
,Emblem Slayer,40,0.003388681802778719,4.85,4.114,0.125,0.861,0.141,-0.0004,-0.2005,0.125,0.225,0.4,2.319,2.34,0.0191,True
,Emblem Flora Fatalis,64,0.005421890884445951,4.609,4.122,0.132,0.62,0.066,-0.0007,-0.1005,0.1094,0.2188,0.5,2.254,2.19,0.02819,True
,Emblem Invoker,60,0.005083022704168078,4.767,4.147,0.158,0.777,0.184,-0.0008,-0.1338,0.1333,0.2,0.4667,2.341,2.57,0.01027,True
populaire,Emblem Sprykin,130,0.011013215859030838,4.485,4.165,0.176,0.495,0.091,-0.0019,-0.0851,0.1385,0.2615,0.5154,2.338,2.4,0.01622,True
,Emblem Blackthorn,60,0.005083022704168078,4.867,4.167,0.178,0.877,0.269,-0.0009,-0.1505,0.1167,0.2167,0.45,2.398,2.83,0.00468,True
populaire,Emblem Coven,72,0.006099627245001694,4.792,4.177,0.187,0.802,0.258,-0.0011,-0.1144,0.125,0.1806,0.4861,2.351,2.89,0.00387,True
populaire,Emblem Spellweaver,82,0.006946797695696374,4.744,4.184,0.195,0.754,0.221,-0.0014,-0.1615,0.1098,0.2805,0.439,2.458,2.77,0.00558,True
populaire,Emblem Primal,65,0.005506607929515419,5.031,4.214,0.225,1.041,0.47,-0.0012,-0.1697,0.0769,0.2,0.4308,2.347,3.57,0.00036,True
populaire,Emblem Blossom,130,0.011013215859030838,4.769,4.266,0.277,0.78,0.394,-0.003,-0.162,0.0846,0.2,0.4385,2.231,3.96,7e-05,True
