group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Evenshroud + Sunfire Cape,341,0.02888851236868858,3.469,3.682,-0.307,-0.52,-0.3,0.0089,0.0975,0.2053,0.4047,0.6979,2.04,-4.63,0.0,True
pepite,Evenshroud + Steadfast Heart,160,0.013554727211114876,3.325,3.721,-0.268,-0.664,-0.388,0.0036,0.1683,0.1688,0.3812,0.7688,1.766,-4.71,0.0,True
pepite,Crownguard + Warmogs Armor,242,0.02050152490681125,3.504,3.744,-0.246,-0.485,-0.217,0.005,0.1144,0.2025,0.3926,0.7149,2.103,-3.55,0.00038,True
pepite,Crownguard + Protectors Vow,232,0.01965435445611657,3.513,3.753,-0.236,-0.476,-0.203,0.0046,0.1064,0.2155,0.3879,0.7069,2.105,-3.41,0.00064,True
pepite,Crownguard + Sunfire Cape,152,0.012876990850559133,3.388,3.754,-0.235,-0.601,-0.274,0.003,0.1166,0.2105,0.4276,0.7171,2.042,-3.6,0.00031,True
pepite,Bramble Vest + Evenshroud,126,0.010674347678752964,3.373,3.775,-0.214,-0.616,-0.276,0.0023,0.1456,0.1746,0.4206,0.746,1.938,-3.55,0.00039,True
,Crownguard + Steadfast Heart,77,0.0065232124703490345,3.182,3.791,-0.199,-0.808,-0.391,0.0013,0.1268,0.2078,0.4286,0.7273,1.857,-3.8,0.00014,True
,Adaptive Helm + Protectors Vow,259,0.021941714672992205,3.625,3.799,-0.19,-0.364,-0.106,0.0042,0.0636,0.1892,0.3629,0.6641,2.097,-2.76,0.00576,True
,Evenshroud + Warmogs Armor,227,0.019230769230769232,3.608,3.802,-0.187,-0.381,-0.106,0.0036,0.0735,0.2026,0.3612,0.674,2.099,-2.71,0.00671,True
,Steadfast Heart + Sunfire Cape,239,0.020247373771602847,3.64,3.814,-0.176,-0.349,-0.08,0.0036,0.0732,0.1757,0.3766,0.6736,2.105,-2.54,0.01115,True
,Forbidden Idol + Warmogs Armor,41,0.003473398847848187,2.805,3.814,-0.175,-1.185,-0.718,0.0006,0.2532,0.2683,0.439,0.8537,1.518,-4.98,0.0,True
,Evenshroud + Protectors Vow,273,0.023127753303964757,3.674,3.82,-0.169,-0.315,-0.065,0.0039,0.0332,0.1722,0.381,0.6337,2.086,-2.47,0.0136,True
,Crownguard + Gargoyle Stoneplate,414,0.03507285665875974,3.729,3.824,-0.166,-0.26,-0.053,0.0058,0.0686,0.1739,0.3502,0.6691,2.111,-2.46,0.01389,True
,Adaptive Helm + Crownguard,139,0.01177566926465605,3.561,3.831,-0.159,-0.428,-0.132,0.0019,0.1405,0.1367,0.2878,0.741,1.767,-2.83,0.00463,True
,Crownguard + Evenshroud,120,0.010166045408336157,3.525,3.833,-0.157,-0.464,-0.116,0.0016,0.1329,0.15,0.3583,0.7333,1.936,-2.61,0.00903,True
