group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Eclipse,212,0.017960013554727212,2.5,3.285,-0.705,-1.489,-1.252,0.0127,0.225,0.4292,0.6085,0.8255,1.736,-12.32,0.0,True
pepite,Emerald,1463,0.12394103693663165,3.176,3.289,-0.7,-0.813,-0.704,0.0868,0.1418,0.2536,0.4675,0.7423,1.981,-14.65,0.0,True
pepite,Lux Unique Trait,993,0.0841240257539817,3.161,3.32,-0.669,-0.828,-0.696,0.0563,0.1347,0.2638,0.4834,0.7351,2.031,-12.28,0.0,True
populaire,Solar,2639,0.22356828193832598,3.272,3.331,-0.659,-0.718,-0.628,0.1473,0.1282,0.2671,0.4653,0.7287,2.114,-15.7,0.0,True
pepite,Rapidfire,1554,0.13165028803795323,3.261,3.357,-0.632,-0.728,-0.623,0.0832,0.135,0.2252,0.4337,0.7355,1.97,-13.54,0.0,True
pepite,Rapidfire,278,0.0235513385293121,2.964,3.435,-0.554,-1.025,-0.796,0.0131,0.1909,0.2914,0.5072,0.7914,1.925,-8.75,0.0,True
populaire,Fae,5549,0.4700948830904778,3.442,3.465,-0.525,-0.547,-0.483,0.2466,0.1132,0.1815,0.3741,0.7136,1.919,-16.79,0.0,True
populaire,Defender,7160,0.6065740426973907,3.472,3.489,-0.501,-0.517,-0.456,0.3038,0.1036,0.1992,0.3902,0.7041,2.025,-16.61,0.0,True
populaire,Elderwood,5101,0.43214164689935614,3.47,3.493,-0.497,-0.52,-0.453,0.2147,0.11,0.1878,0.3868,0.7104,1.996,-15.15,0.0,True
pepite,Alune Unique Trait,756,0.06404608607251779,3.365,3.514,-0.476,-0.624,-0.47,0.0305,0.0913,0.25,0.4339,0.6918,2.093,-7.93,0.0,True
,Greenfather,1019,0.08632666892578787,3.422,3.529,-0.461,-0.567,-0.432,0.0398,0.0973,0.2326,0.4308,0.6977,2.11,-8.22,0.0,True
,Lunar,373,0.03159945781091156,3.255,3.539,-0.45,-0.735,-0.531,0.0142,0.1073,0.2735,0.4075,0.7078,1.967,-7.08,0.0,True
populaire,Inferno,2821,0.23898678414096916,3.537,3.572,-0.417,-0.452,-0.371,0.0998,0.1135,0.1542,0.3495,0.7139,1.933,-10.9,0.0,True
,Hunter,401,0.033971535072856655,3.374,3.602,-0.387,-0.615,-0.412,0.0132,0.1127,0.2319,0.4015,0.7132,2.037,-5.94,0.0,True
,Brawler,971,0.0822602507624534,3.526,3.617,-0.373,-0.463,-0.325,0.0306,0.0792,0.2111,0.3996,0.6797,2.114,-6.55,0.0,True
,Rapidfire,95,0.008048119281599458,2.695,3.618,-0.371,-1.295,-0.956,0.003,0.2416,0.3368,0.5263,0.8421,1.674,-7.49,0.0,True
,Inferno,702,0.05947136563876652,3.538,3.652,-0.337,-0.451,-0.295,0.0201,0.0947,0.1638,0.3889,0.6952,2.038,-5.67,0.0,True
,Elderwood,54,0.004574720433751271,2.222,3.66,-0.329,-1.767,-1.4,0.0015,0.3255,0.3704,0.7037,0.9259,1.37,-9.43,0.0,True
,Defender,258,0.021856997627922738,3.403,3.683,-0.306,-0.586,-0.344,0.0067,0.1166,0.1899,0.407,0.7171,1.957,-4.75,0.0,True
,Maokai Unique Trait,1071,0.0907319552694002,3.639,3.702,-0.287,-0.351,-0.224,0.0261,0.0531,0.169,0.3539,0.6536,2.017,-5.41,0.0,True
populaire,Juggernaut,8384,0.7102677058624195,3.696,3.704,-0.285,-0.293,-0.233,0.2024,0.0595,0.1815,0.3618,0.6599,2.131,-9.56,0.0,True
populaire,Vanguard,7753,0.6568112504235852,3.697,3.706,-0.284,-0.292,-0.232,0.1864,0.0603,0.1737,0.3506,0.6608,2.088,-9.44,0.0,True
,Elderwood,655,0.055489664520501525,3.65,3.74,-0.249,-0.339,-0.178,0.0138,0.082,0.1634,0.3481,0.6824,2.043,-4.12,4e-05,True
,Elderwood,242,0.02050152490681125,3.5,3.742,-0.248,-0.489,-0.24,0.0051,0.0772,0.1818,0.3802,0.6777,1.955,-3.85,0.00012,True
,Lunar,78,0.006607929515418502,3.0,3.744,-0.246,-0.989,-0.519,0.0016,0.1431,0.359,0.5385,0.7436,2.112,-4.12,4e-05,True
populaire,Hunter,1652,0.1399525584547611,3.74,3.771,-0.218,-0.25,-0.141,0.0306,0.0466,0.1731,0.3432,0.6471,2.102,-4.51,1e-05,True
,Primal,147,0.012453405625211793,3.435,3.777,-0.213,-0.554,-0.202,0.0026,0.1002,0.2449,0.4218,0.7007,2.164,-3.09,0.00203,True
populaire,Rapidfire,5595,0.4739918671636733,3.781,3.789,-0.2,-0.209,-0.142,0.0949,0.0524,0.1555,0.3283,0.6529,2.069,-6.12,0.0,True
,Hunter,44,0.003727549983056591,2.955,3.827,-0.163,-1.035,-0.477,0.0006,0.1495,0.3409,0.4545,0.75,1.882,-3.64,0.00028,True
,Hunter,105,0.008895289732294137,3.467,3.828,-0.161,-0.523,-0.14,0.0014,0.0757,0.2,0.3714,0.6762,1.991,-2.68,0.00744,True
,Lunar,41,0.003473398847848187,2.927,3.832,-0.157,-1.063,-0.519,0.0005,0.1556,0.2439,0.5122,0.7561,1.772,-3.83,0.00013,True
,Sprykin,839,0.07107760081328364,3.815,3.853,-0.136,-0.174,-0.021,0.0097,0.0134,0.1895,0.3445,0.6138,2.194,-2.22,0.02618,True
,Vanguard,88,0.007455099966113182,3.511,3.86,-0.13,-0.478,-0.094,0.001,0.0813,0.1818,0.3182,0.6818,1.828,-2.44,0.01466,True
