group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Taric,1356,0.12676451341497616,3.19,3.299,-0.688,-0.797,-0.684,0.0872,0.1384,0.2478,0.469,0.7389,1.981,-13.81,0.0,True
pepite,Lux Base,906,0.08469664391885576,3.181,3.335,-0.652,-0.806,-0.667,0.0552,0.129,0.2605,0.4812,0.7296,2.042,-11.36,0.0,True
pepite,Gnar Small,1071,0.10012152940076657,3.231,3.357,-0.63,-0.756,-0.628,0.0631,0.1371,0.2446,0.4594,0.7376,2.028,-11.57,0.0,True
pepite,Ashe,923,0.08628587454426474,3.332,3.455,-0.532,-0.655,-0.517,0.0459,0.1167,0.234,0.4269,0.7172,2.047,-9.29,0.0,True
pepite,Aphelios,1781,0.16649527905020098,3.399,3.462,-0.525,-0.588,-0.485,0.0874,0.0991,0.2173,0.4138,0.6996,2.026,-11.22,0.0,True
populaire,Leona,2621,0.24502196877629243,3.425,3.468,-0.519,-0.562,-0.468,0.1272,0.0996,0.2526,0.4407,0.7001,2.184,-11.82,0.0,True
populaire,Kayle,2718,0.25408993175656724,3.444,3.483,-0.504,-0.543,-0.452,0.128,0.0985,0.2454,0.4334,0.699,2.175,-11.64,0.0,True
populaire,Amumu,2831,0.26465364120781526,3.458,3.495,-0.492,-0.529,-0.448,0.1302,0.1229,0.1558,0.3705,0.7234,1.908,-12.75,0.0,True
pepite,Ivern,924,0.08637935869870057,3.403,3.512,-0.475,-0.584,-0.442,0.041,0.1008,0.2338,0.4351,0.7013,2.109,-8.07,0.0,True
populaire,Lillia,4977,0.4652706366270917,3.496,3.516,-0.471,-0.491,-0.423,0.2191,0.1025,0.174,0.3677,0.703,1.943,-14.2,0.0,True
,Alune,697,0.06515845564176873,3.385,3.526,-0.461,-0.603,-0.441,0.03,0.0881,0.2439,0.439,0.6887,2.105,-7.31,0.0,True
populaire,Sejuani,2776,0.259512012713845,3.502,3.537,-0.45,-0.485,-0.393,0.1168,0.0871,0.2399,0.424,0.6877,2.197,-10.39,0.0,True
populaire,Ornn,5463,0.5107039356829017,3.546,3.562,-0.425,-0.441,-0.374,0.2169,0.0936,0.183,0.3758,0.6941,2.03,-12.78,0.0,True
populaire,Hecarim,4866,0.4548938954847153,3.63,3.646,-0.341,-0.357,-0.287,0.1553,0.0817,0.1576,0.3475,0.6823,1.995,-10.06,0.0,True
,Maokai,994,0.09292324950920819,3.634,3.696,-0.291,-0.353,-0.222,0.027,0.0564,0.164,0.3561,0.6569,2.013,-5.26,0.0,True
,Le Blanc,1518,0.1419089464335795,3.703,3.738,-0.249,-0.284,-0.165,0.0353,0.0536,0.2069,0.3841,0.6542,2.225,-4.67,0.0,True
populaire,Xayah,8519,0.7963915116387772,3.759,3.764,-0.223,-0.228,-0.168,0.1772,0.0492,0.1625,0.3369,0.6497,2.082,-7.42,0.0,True
populaire,Varus,3807,0.35589417593717865,3.76,3.772,-0.215,-0.227,-0.151,0.0763,0.0611,0.1395,0.3191,0.6617,2.016,-5.84,0.0,True
,Sivir,1229,0.11489202580162662,3.74,3.776,-0.211,-0.247,-0.122,0.0242,0.0317,0.1871,0.3442,0.6322,2.126,-3.86,0.00011,True
populaire,Tristana,5297,0.4951855660465551,3.794,3.801,-0.186,-0.193,-0.125,0.092,0.041,0.1431,0.3168,0.6415,2.023,-5.56,0.0,True
,Kennen,655,0.06123212115546415,3.875,3.902,-0.085,-0.112,0.0,0.0052,0.0178,0.1527,0.3527,0.6183,2.195,-1.27,0.20374,False
,Draven,466,0.04356361596709358,4.002,3.997,0.01,0.015,0.0,-0.0005,-0.0362,0.1738,0.324,0.5644,2.226,0.14,0.88558,False
,Rengar,172,0.016079274562961578,4.093,4.034,0.047,0.106,0.0,-0.0008,-0.0657,0.157,0.343,0.5349,2.28,0.61,0.54496,False
,Shen,1269,0.11863139197905954,4.069,4.057,0.07,0.082,0.0,-0.0084,-0.0064,0.1332,0.2687,0.5942,2.097,1.32,0.18746,False
,Rammus,1089,0.10180424418061139,4.075,4.061,0.074,0.088,0.0,-0.0075,-0.0285,0.1671,0.2883,0.5721,2.213,1.26,0.2088,False
,Sentinel,948,0.08862297840516033,4.081,4.064,0.077,0.094,0.0,-0.0068,-0.0098,0.1213,0.2584,0.5907,2.057,1.35,0.17831,False
,Vi,1546,0.14452650275778256,4.087,4.075,0.088,0.1,0.0,-0.0127,-0.0275,0.1417,0.273,0.5731,2.131,1.73,0.08419,True
,Alistar,973,0.0909600822660559,4.1,4.079,0.092,0.113,0.0,-0.0084,-0.0168,0.1244,0.2754,0.5838,2.122,1.58,0.11334,False
,Crimson Raptor,640,0.0598298588389268,4.114,4.082,0.095,0.127,0.0,-0.0057,-0.0068,0.1141,0.2641,0.5938,2.099,1.49,0.13749,False
,Ezreal,737,0.06889782181920165,4.119,4.09,0.103,0.132,0.0,-0.0071,-0.0266,0.1357,0.2877,0.5739,2.163,1.61,0.10796,False
,Cinderling,241,0.022529681219033374,4.183,4.091,0.104,0.196,0.0,-0.0023,-0.0445,0.0954,0.2531,0.556,2.041,1.47,0.14183,False
,Diana,1706,0.15948396746751425,4.179,4.158,0.171,0.192,0.082,-0.0273,-0.049,0.1319,0.2732,0.5516,2.158,3.42,0.00063,True
,Elder Dragon,153,0.014303075628680939,4.399,4.159,0.172,0.412,0.051,-0.0025,-0.0711,0.1307,0.2614,0.5294,2.259,2.24,0.02511,True
,Kobuko,548,0.05122931663083107,4.228,4.16,0.173,0.241,0.046,-0.0089,-0.0677,0.1624,0.2792,0.5328,2.278,2.42,0.01544,True
,Nidalee A P,302,0.028232214639618586,4.361,4.206,0.219,0.374,0.127,-0.0062,-0.0707,0.1126,0.2285,0.5298,2.156,2.97,0.00296,True
,Murkwolf,125,0.011685519304477891,4.624,4.222,0.235,0.637,0.273,-0.0027,-0.1285,0.04,0.216,0.472,2.066,3.43,0.00061,True
,Gromp A P,108,0.010096288679068898,4.731,4.237,0.25,0.744,0.363,-0.0025,-0.1098,0.037,0.1667,0.4907,2.012,3.82,0.00013,True
,Krug,126,0.011779003458913714,4.69,4.248,0.261,0.703,0.322,-0.0031,-0.1005,0.0635,0.2143,0.5,2.173,3.61,0.0003,True
,Zyra,268,0.025053753388800597,4.489,4.266,0.279,0.502,0.236,-0.007,-0.0893,0.097,0.2201,0.5112,2.191,3.7,0.00021,True
,Malphite,132,0.012339908385528653,4.72,4.267,0.28,0.733,0.356,-0.0034,-0.1536,0.0758,0.197,0.447,2.196,3.81,0.00014,True
,Elise,787,0.0735720295409928,4.374,4.291,0.304,0.387,0.224,-0.0224,-0.0923,0.1537,0.249,0.5083,2.25,4.66,0.0,True
,Teemo,281,0.026269047396466298,4.548,4.306,0.319,0.561,0.299,-0.0084,-0.0988,0.121,0.2171,0.5018,2.217,4.19,3e-05,True
,Sentry,169,0.01579882209965411,4.751,4.324,0.337,0.764,0.443,-0.0053,-0.1331,0.0592,0.1716,0.4675,2.117,4.66,0.0,True
,Sett,381,0.03561746284004861,4.543,4.343,0.356,0.556,0.338,-0.0127,-0.136,0.0945,0.2257,0.4646,2.134,5.0,0.0,True
,Soraka,331,0.030943255118257455,4.589,4.353,0.366,0.602,0.364,-0.0113,-0.1141,0.0876,0.2205,0.4864,2.177,4.96,0.0,True
,Kog Maw A D,272,0.02542769000654389,4.654,4.361,0.374,0.667,0.404,-0.0095,-0.0932,0.0846,0.1838,0.5074,2.191,4.96,0.0,True
,Warwick,111,0.010376741142376368,5.153,4.385,0.398,1.166,0.779,-0.0041,-0.2312,0.0631,0.1261,0.3694,2.072,5.9,0.0,True
,Scuttlecrab,511,0.04777040291670562,4.593,4.414,0.427,0.606,0.42,-0.0204,-0.1152,0.0705,0.184,0.4853,2.088,6.4,0.0,True
,Ahri,411,0.0384219874731233,4.64,4.416,0.429,0.653,0.442,-0.0165,-0.1626,0.0876,0.2214,0.438,2.137,6.08,0.0,True
,Brambleback,184,0.017201084416191455,4.94,4.428,0.441,0.953,0.643,-0.0076,-0.1658,0.0598,0.1413,0.4348,2.129,6.02,0.0,True
,Fiddlesticks,904,0.08450967560998411,4.543,4.437,0.45,0.556,0.408,-0.038,-0.1205,0.1007,0.2323,0.4801,2.186,7.35,0.0,True
,Morgana,365,0.03412171636907544,4.737,4.46,0.473,0.75,0.531,-0.0161,-0.1567,0.0904,0.1644,0.4438,2.099,6.7,0.0,True
,Rek Sai,129,0.012059455922221183,5.357,4.502,0.515,1.37,0.983,-0.0062,-0.275,0.0543,0.1473,0.3256,2.23,6.94,0.0,True
,Caitlyn,410,0.03832850331868748,4.793,4.516,0.529,0.806,0.594,-0.0203,-0.1566,0.0756,0.1707,0.4439,2.141,7.47,0.0,True
,Master Yi A D,302,0.028232214639618586,4.997,4.578,0.591,1.01,0.785,-0.0167,-0.233,0.0563,0.1358,0.3675,1.961,8.8,0.0,True
,Karma,358,0.03346732728802468,4.944,4.586,0.599,0.957,0.734,-0.0201,-0.1955,0.0642,0.1648,0.405,2.116,8.41,0.0,True
,Kha Zix,224,0.02094045059362438,5.17,4.592,0.605,1.183,0.911,-0.0127,-0.2345,0.0402,0.125,0.3661,2.05,8.53,0.0,True
,Veigar,313,0.02926054033841264,5.102,4.649,0.662,1.115,0.865,-0.0194,-0.2235,0.0895,0.1629,0.377,2.224,8.75,0.0,True
,Yunara,313,0.02926054033841264,5.105,4.651,0.664,1.118,0.889,-0.0194,-0.2587,0.0479,0.1597,0.3419,2.034,9.57,0.0,True
