group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Adaptive Helm + Protectors Vow + Warmogs Armor,95,0.03082414016872161,2.726,2.825,-0.152,-0.25,0.0,0.0047,0.0269,0.2737,0.5789,0.8316,1.707,-1.4,0.16018,False
populaire,Gargoyle Stoneplate + Protectors Vow + Warmogs Armor,156,0.050616482803374434,2.84,2.878,-0.098,-0.137,0.0,0.005,-0.0098,0.3013,0.5449,0.7949,1.845,-0.9,0.36601,False
populaire,Protectors Vow + Spirit Visage + Warmogs Armor,42,0.0136275146009085,2.833,2.918,-0.058,-0.143,0.0,0.0008,0.0525,0.2619,0.5,0.8571,1.495,-0.61,0.53911,False
populaire,Protectors Vow + Protectors Vow + Warmogs Armor,75,0.024334847501622323,2.973,2.975,-0.002,-0.003,0.0,0.0,0.0487,0.1867,0.4933,0.8533,1.665,-0.02,0.9878,False
populaire,Adaptive Helm + Gargoyle Stoneplate + Protectors Vow,47,0.015249837767683322,3.0,2.987,0.01,0.024,0.0,-0.0002,0.0038,0.234,0.4468,0.8085,1.676,0.1,0.92345,False
populaire,Gargoyle Stoneplate + Spirit Visage + Sunfire Cape,44,0.01427644386761843,3.045,3.005,0.029,0.069,0.0,-0.0004,0.059,0.1364,0.3864,0.8636,1.461,0.31,0.75601,False
populaire,Gargoyle Stoneplate + Spirit Visage + Warmogs Armor,151,0.04899415963659961,3.053,3.031,0.054,0.077,0.0,-0.0027,0.0033,0.1921,0.4636,0.8079,1.679,0.55,0.58462,False
populaire,Gargoyle Stoneplate + Sunfire Cape + Warmogs Armor,60,0.01946787800129786,3.167,3.07,0.094,0.19,0.0,-0.0018,-0.038,0.2,0.45,0.7667,1.809,0.81,0.41927,False
populaire,Gargoyle Stoneplate + Protectors Vow + Spirit Visage,62,0.020116807268007787,3.242,3.11,0.133,0.266,0.0,-0.0027,-0.0627,0.2258,0.4032,0.7419,1.82,1.14,0.25491,False
populaire,Gargoyle Stoneplate + Gargoyle Stoneplate + Warmogs Armor,57,0.018494484101232965,3.526,3.241,0.264,0.55,0.003,-0.0049,-0.138,0.193,0.4035,0.6667,2.095,1.97,0.04894,False
