group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Ionic Spark,154,0.0499675535366645,2.61,2.715,-0.261,-0.366,-0.122,0.0131,0.059,0.2922,0.5455,0.8636,1.496,-2.94,0.00333,True
populaire,Crownguard,272,0.0882543802725503,2.706,2.756,-0.22,-0.27,-0.064,0.0195,0.0446,0.3015,0.5441,0.8493,1.654,-2.57,0.01015,True
populaire,Steadfast Heart,353,0.1145360155743024,2.779,2.808,-0.168,-0.197,-0.006,0.0192,0.031,0.2946,0.5269,0.8357,1.732,-2.02,0.04299,False
populaire,Adaptive Helm,479,0.1554185593770279,2.797,2.818,-0.158,-0.179,-0.012,0.0246,0.02,0.2881,0.5261,0.8246,1.73,-2.1,0.03574,False
populaire,Protectors Vow,1150,0.373134328358209,2.877,2.882,-0.095,-0.1,0.0,0.0353,0.0066,0.2678,0.52,0.8113,1.773,-1.63,0.10263,False
populaire,Bramble Vest,293,0.09506813757300454,2.915,2.925,-0.051,-0.062,0.0,0.0048,0.0281,0.2253,0.5051,0.8328,1.684,-0.6,0.55094,False
pepite,Evenshroud,261,0.08468526930564568,2.946,2.952,-0.024,-0.03,0.0,0.0021,0.0153,0.272,0.4866,0.8199,1.793,-0.26,0.79526,False
populaire,Warmogs Armor,1369,0.44419208306294616,2.983,2.983,0.007,0.007,0.0,-0.0029,-0.0019,0.2454,0.4858,0.8028,1.783,0.12,0.90497,False
populaire,Dragons Claw,413,0.13400389357560025,2.988,2.986,0.01,0.012,0.0,-0.0014,-0.0056,0.2373,0.4576,0.799,1.698,0.13,0.89691,False
populaire,Sunfire Cape,451,0.1463335496430889,2.989,2.987,0.011,0.013,0.0,-0.0016,0.0268,0.2173,0.4479,0.8315,1.641,0.15,0.88011,False
populaire,Gargoyle Stoneplate,1559,0.5058403634003894,3.025,3.023,0.047,0.049,0.0,-0.0237,-0.0125,0.2373,0.4644,0.7922,1.775,0.89,0.3759,False
populaire,Spirit Visage,825,0.26768332251784555,3.079,3.072,0.095,0.102,0.0,-0.0255,-0.0168,0.2206,0.4461,0.7879,1.729,1.51,0.13198,False
,Moguls Mail,40,0.012978585334198572,3.9,3.34,0.364,0.924,0.333,-0.0047,-0.1047,0.125,0.25,0.7,1.895,3.07,0.00217,True
