group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Horizon Focus,958,0.005785024154589372,3.426,3.48,-0.016,-0.07,0.0,0.0001,0.0129,0.2119,0.3935,0.7171,2.018,-1.07,0.28383,False
populaire,Lightshield Crest,1803,0.01088768115942029,3.471,3.487,-0.009,-0.025,0.0,0.0001,0.0041,0.1775,0.371,0.7083,1.937,-0.55,0.58455,False
populaire,Forbidden Idol,1480,0.008937198067632851,3.509,3.5,0.004,0.013,0.0,-0.0,-0.0076,0.1959,0.3703,0.6966,1.992,0.26,0.79512,False
,Silvermere Dawn,105,0.0006340579710144927,3.924,3.509,0.013,0.428,0.036,-0.0,-0.0756,0.1524,0.2952,0.6286,2.046,2.14,0.03215,True
,Seekers Armguard,91,0.0005495169082125604,4.11,3.512,0.016,0.614,0.21,-0.0,-0.0888,0.0549,0.2418,0.6154,1.964,2.98,0.00287,True
,Infinity Force,77,0.000464975845410628,4.429,3.517,0.021,0.933,0.52,-0.0,-0.1717,0.013,0.1818,0.5325,1.848,4.43,1e-05,True
populaire,Artifact Talisman Of Ascension,147,0.0008876811594202899,4.163,3.524,0.028,0.667,0.345,-0.0,-0.1804,0.1361,0.2721,0.5238,1.993,4.06,5e-05,True
populaire,Hullcrusher,630,0.0038043478260869567,3.7,3.529,0.033,0.204,0.043,-0.0001,-0.0423,0.1619,0.3571,0.6619,2.053,2.49,0.01274,True
populaire,The Indomitable,2176,0.013140096618357487,3.61,3.541,0.045,0.114,0.029,-0.0006,-0.0319,0.1664,0.3585,0.6723,1.999,2.64,0.00827,True
populaire,Void Gauntlet,817,0.004933574879227053,3.723,3.541,0.045,0.227,0.092,-0.0002,-0.053,0.1506,0.3293,0.6512,1.97,3.29,0.001,True
populaire,Aegis Of Dawn,1252,0.007560386473429952,3.78,3.574,0.078,0.284,0.178,-0.0006,-0.0429,0.1358,0.2899,0.6613,1.907,5.24,0.0,True
populaire,Aegis Of Dusk,1212,0.0073188405797101445,3.787,3.574,0.078,0.291,0.178,-0.0006,-0.0573,0.1502,0.3144,0.6469,2.007,5.03,0.0,True
populaire,Moguls Mail,2525,0.015247584541062802,3.688,3.579,0.083,0.192,0.111,-0.0013,-0.0484,0.1758,0.3457,0.6558,2.05,4.67,0.0,True
