group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Ionic Spark,4108,0.049055432160684004,3.454,3.498,-0.109,-0.153,-0.093,0.0053,0.0281,0.1767,0.3768,0.712,1.923,-4.97,0.0,True
populaire,Adaptive Helm,11304,0.13498602851615676,3.493,3.507,-0.099,-0.114,-0.076,0.0134,0.021,0.1763,0.3735,0.7049,1.949,-5.84,0.0,True
populaire,Bramble Vest,9449,0.11283465883308257,3.514,3.528,-0.079,-0.093,-0.053,0.0089,0.0148,0.1634,0.3629,0.6987,1.906,-4.5,1e-05,True
populaire,Protectors Vow,30213,0.36078670201332663,3.537,3.541,-0.066,-0.07,-0.045,0.0239,0.0132,0.1642,0.3546,0.6971,1.922,-5.41,0.0,True
populaire,Steadfast Heart,10271,0.12265052184089227,3.537,3.547,-0.06,-0.07,-0.031,0.0074,0.0189,0.1624,0.3576,0.7028,1.925,-3.48,0.00051,True
pepite,Evenshroud,8173,0.09759738243653125,3.543,3.554,-0.053,-0.064,-0.02,0.0052,0.0144,0.1636,0.3482,0.6983,1.912,-2.88,0.00396,True
populaire,Crownguard,9974,0.11910391440376394,3.56,3.566,-0.04,-0.047,-0.007,0.0048,0.0178,0.1545,0.3487,0.7017,1.914,-2.33,0.01989,True
pepite,Morellonomicon,268,0.0032003057008430655,3.362,3.573,-0.034,-0.245,-0.026,0.0001,0.0474,0.1604,0.3918,0.7313,1.826,-2.19,0.02845,True
pepite,Tacticians Crown,81,0.0009672565737622698,3.099,3.583,-0.023,-0.508,-0.111,0.0,0.0939,0.2469,0.4321,0.7778,1.823,-2.51,0.01219,True
populaire,Sunfire Cape,14510,0.17327028253445106,3.584,3.586,-0.02,-0.023,0.0,0.0035,0.0091,0.1458,0.3399,0.693,1.893,-1.34,0.18181,False
pepite,Quicksilver,138,0.0016479186071505338,3.355,3.588,-0.019,-0.252,0.0,0.0,0.0697,0.1812,0.3623,0.7536,1.817,-1.63,0.10394,False
pepite,Red Buff,44,0.0005254233240190107,2.932,3.59,-0.017,-0.675,-0.15,0.0,0.0888,0.2955,0.5,0.7727,1.776,-2.52,0.01173,True
,Spear Of Shojin,86,0.001026963769673521,3.337,3.594,-0.013,-0.27,0.0,0.0,0.037,0.2209,0.4535,0.7209,2.116,-1.18,0.23767,False
,Hand Of Justice,118,0.0014090898235055288,3.483,3.599,-0.008,-0.124,0.0,0.0,0.0195,0.2288,0.3898,0.7034,2.045,-0.66,0.51117,False
populaire,Warmogs Armor,33331,0.3980201093835829,3.601,3.601,-0.006,-0.006,0.0,0.0023,0.0027,0.1564,0.342,0.6866,1.933,-0.49,0.6256,False
,Hextech Gunblade,50,0.0005970719591125122,3.54,3.605,-0.002,-0.067,0.0,0.0,0.0161,0.18,0.34,0.7,1.824,-0.26,0.79573,False
,Rabadons Deathcap,67,0.0008000764252107664,3.627,3.608,0.001,0.02,0.0,-0.0,0.0176,0.1493,0.3284,0.7015,1.946,0.08,0.93281,False
,Void Staff,63,0.0007523106684817655,3.651,3.608,0.002,0.044,0.0,-0.0,0.0304,0.1587,0.3333,0.7143,1.904,0.18,0.85457,False
,Blue Buff,157,0.0018748059516132884,3.669,3.612,0.005,0.062,0.0,-0.0,-0.0215,0.1465,0.3248,0.6624,1.9,0.41,0.68306,False
,Nashors Tooth,53,0.000632896276659263,3.906,3.616,0.009,0.299,0.0,-0.0,-0.0613,0.1321,0.3208,0.6226,2.148,1.01,0.31124,False
,Edge Of Night,106,0.001265792553318526,3.802,3.618,0.012,0.195,0.0,-0.0,-0.0424,0.1132,0.3302,0.6415,1.993,1.01,0.31377,False
,Jeweled Gauntlet,52,0.0006209548374770127,4.0,3.619,0.012,0.393,0.0,-0.0,-0.0301,0.0962,0.2885,0.6538,2.139,1.32,0.18519,False
,Titans Resolve,539,0.006436435719232882,3.664,3.621,0.014,0.057,0.0,-0.0001,-0.0271,0.1818,0.3284,0.6568,2.019,0.66,0.51056,False
,Component Sparring Gloves,40,0.0004776575672900098,4.25,3.622,0.015,0.643,0.0,-0.0,-0.1339,0.125,0.275,0.55,2.177,1.87,0.06168,False
,Component Needlessly Large Rod,71,0.0008478421819397674,4.042,3.625,0.018,0.435,0.0,-0.0,-0.0501,0.1268,0.2535,0.6338,2.079,1.76,0.0777,False
,Archangels Staff,125,0.0014926798977812805,3.904,3.627,0.021,0.297,0.0,-0.0,-0.0279,0.072,0.296,0.656,1.941,1.71,0.08714,False
populaire,Dragons Claw,12135,0.1449093644766067,3.65,3.645,0.038,0.043,0.006,-0.0055,-0.0068,0.1475,0.3342,0.677,1.937,2.3,0.02143,True
,Steraks Gage,1465,0.01749420840199661,3.696,3.648,0.041,0.089,0.0,-0.0007,-0.0218,0.1672,0.3461,0.6621,2.066,1.63,0.10273,False
populaire,Gargoyle Stoneplate,43855,0.5236918153375845,3.666,3.663,0.057,0.059,0.036,-0.0297,-0.0134,0.1526,0.3297,0.6705,1.948,5.13,0.0,True
,Component Tear Of The Goddess,298,0.003558548876310573,4.05,3.674,0.067,0.444,0.202,-0.0002,-0.0899,0.1409,0.2953,0.594,2.127,3.59,0.00033,True
populaire,Spirit Visage,26009,0.3105848916911466,3.692,3.687,0.08,0.086,0.059,-0.025,-0.0168,0.1427,0.3193,0.6671,1.927,6.25,0.0,True
,Bloodthirster,471,0.005624417854839865,4.138,3.723,0.117,0.531,0.344,-0.0007,-0.1085,0.1231,0.2569,0.5754,2.071,5.55,0.0,True
,Component Negatron Cloak,677,0.008084354326383415,4.199,3.777,0.171,0.593,0.433,-0.0014,-0.1137,0.1108,0.2644,0.5702,2.111,7.28,0.0,True
,Component Chain Vest,842,0.010054691791454707,4.247,3.821,0.214,0.64,0.497,-0.0022,-0.1352,0.0986,0.2553,0.5487,2.105,8.79,0.0,True
,Component Giants Belt,1264,0.01509397912636431,4.254,3.885,0.278,0.647,0.531,-0.0042,-0.1309,0.11,0.2484,0.553,2.097,10.9,0.0,True
