group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Juggernaut,1727,0.015694435609193105,3.194,3.411,-0.17,-0.387,-0.297,0.0027,0.0637,0.2229,0.4447,0.7516,1.885,-8.45,0.0,True
populaire,Emblem Brawler,1463,0.013295286216704987,3.184,3.422,-0.158,-0.397,-0.301,0.0021,0.0681,0.2228,0.4299,0.756,1.847,-8.15,0.0,True
pepite,Emblem Fae,154,0.0013995038122847354,3.214,3.557,-0.024,-0.366,-0.056,0.0,0.0719,0.2338,0.4481,0.7597,1.961,-2.32,0.02053,True
populaire,Emblem Sprykin,565,0.0051345432074082825,3.49,3.562,-0.018,-0.09,0.0,0.0001,0.0148,0.154,0.3788,0.7027,1.903,-1.12,0.26081,False
populaire,Emblem Flora Fatalis,227,0.002062904970056071,3.498,3.573,-0.008,-0.083,0.0,0.0,0.017,0.1894,0.3568,0.7048,1.927,-0.65,0.51821,False
,Emblem Inferno,79,0.0007179272803278838,3.696,3.585,0.004,0.116,0.0,-0.0,-0.055,0.1266,0.2911,0.6329,1.817,0.57,0.57153,False
populaire,Emblem Lunar,248,0.0022537463990039896,3.653,3.588,0.007,0.073,0.0,-0.0,-0.0145,0.1411,0.3468,0.6734,1.928,0.59,0.55308,False
,Emblem Blackthorn,157,0.0014267668735630096,3.79,3.594,0.014,0.209,0.0,-0.0,-0.0637,0.1465,0.3376,0.6242,2.093,1.25,0.21059,False
populaire,Emblem Defender,927,0.008424285934986687,3.635,3.597,0.016,0.055,0.0,-0.0001,-0.005,0.1629,0.3474,0.6828,1.991,0.84,0.4033,False
,Emblem Flora Fatalis Augment,55,0.0004998227901016912,4.218,3.596,0.016,0.638,0.158,-0.0,-0.106,0.0727,0.1818,0.5818,1.816,2.6,0.00923,True
,Emblem Primal,193,0.0017539236089022983,3.808,3.599,0.018,0.228,0.0,-0.0,-0.0557,0.1554,0.285,0.6321,1.997,1.58,0.11341,False
,Emblem Spellweaver,172,0.0015630821799543799,3.837,3.599,0.019,0.257,0.0,-0.0,-0.0658,0.1628,0.3198,0.6221,2.085,1.61,0.10656,False
populaire,Emblem Slayer,219,0.0019902034733140068,3.813,3.602,0.021,0.232,0.0,-0.0,-0.0532,0.1416,0.3014,0.6347,1.965,1.75,0.08049,False
populaire,Emblem Blossom,255,0.0023173602086532957,4.051,3.629,0.049,0.47,0.213,-0.0001,-0.0996,0.149,0.2745,0.5882,2.096,3.58,0.00034,True
populaire,Emblem Elderwood,543,0.004934614091367606,3.842,3.632,0.052,0.261,0.087,-0.0003,-0.0599,0.1602,0.3094,0.628,2.061,2.95,0.00322,True
populaire,Emblem Coven,559,0.005080017084851734,3.887,3.643,0.062,0.307,0.125,-0.0003,-0.0743,0.1878,0.3381,0.6136,2.189,3.31,0.00094,True
