group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Gargoyle Stoneplate Radiant,458,0.004776057145836592,3.247,3.427,-0.043,-0.223,-0.047,0.0002,0.0383,0.2336,0.4279,0.7511,1.918,-2.49,0.01287,True
populaire,Spirit Visage Radiant,287,0.002992856770425987,3.167,3.431,-0.039,-0.303,-0.096,0.0001,0.0468,0.2021,0.4425,0.7596,1.783,-2.87,0.00405,True
populaire,Warmogs Armor Radiant,539,0.005620731007873195,3.362,3.446,-0.024,-0.108,0.0,0.0001,0.0108,0.2059,0.4174,0.7236,1.982,-1.27,0.20518,False
populaire,Steadfast Heart Radiant,129,0.0013452213358360707,3.116,3.448,-0.022,-0.354,-0.015,0.0,0.0547,0.3023,0.4341,0.7674,1.963,-2.05,0.04075,False
populaire,Protectors Vow Radiant,402,0.004192085093070546,3.398,3.458,-0.013,-0.072,0.0,0.0001,0.0061,0.2264,0.398,0.7189,2.008,-0.72,0.47178,False
populaire,Dragons Claw Radiant,146,0.001522498566140049,3.315,3.459,-0.011,-0.155,0.0,0.0,-0.0005,0.2603,0.3904,0.7123,1.961,-0.96,0.33951,False
populaire,Ionic Spark Radiant,81,0.0008446738620366026,3.333,3.465,-0.006,-0.137,0.0,0.0,0.028,0.2099,0.3704,0.7407,1.866,-0.66,0.50933,False
populaire,Sunfire Cape Radiant,92,0.0009593826581156473,3.38,3.466,-0.004,-0.09,0.0,0.0,-0.0171,0.2826,0.3804,0.6957,2.09,-0.41,0.68042,False
pepite,Crownguard Radiant,63,0.000656968559361802,3.413,3.468,-0.002,-0.058,0.0,0.0,0.0015,0.2063,0.4127,0.7143,1.957,-0.23,0.81564,False
populaire,Adaptive Helm Radiant,119,0.0012409406121278482,3.504,3.472,0.002,0.034,0.0,-0.0,-0.0153,0.1765,0.3529,0.6975,1.983,0.19,0.85169,False
populaire,Bramble Vest Radiant,101,0.0010532353094530476,3.564,3.475,0.005,0.094,0.0,-0.0,-0.0692,0.2475,0.4059,0.6436,2.103,0.45,0.65294,False
