group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Adaptive Helm + Protectors Vow,7198,0.05175996836011937,3.371,3.422,-0.134,-0.186,-0.14,0.0069,0.0384,0.1955,0.3947,0.7308,1.918,-8.0,0.0,True
pepite,Bramble Vest + Protectors Vow,2679,0.019264372775320893,3.33,3.445,-0.111,-0.226,-0.155,0.0021,0.046,0.1878,0.3904,0.7383,1.85,-6.26,0.0,True
populaire,Protectors Vow + Warmogs Armor,16748,0.12043289109409269,3.451,3.466,-0.09,-0.105,-0.074,0.0109,0.0215,0.1792,0.3724,0.7138,1.913,-6.7,0.0,True
pepite,Evenshroud + Sunfire Cape,2196,0.01579117678783303,3.359,3.469,-0.087,-0.197,-0.119,0.0014,0.0417,0.1803,0.3862,0.7341,1.848,-4.96,0.0,True
pepite,Adaptive Helm + Warmogs Armor,4949,0.03558767482831769,3.433,3.477,-0.079,-0.124,-0.069,0.0028,0.0256,0.1918,0.3817,0.7179,1.946,-4.4,1e-05,True
pepite,Bramble Vest + Gargoyle Stoneplate,5152,0.037047423866537234,3.437,3.479,-0.078,-0.119,-0.067,0.0029,0.0243,0.171,0.3769,0.7166,1.892,-4.45,1e-05,True
pepite,Emblem Juggernaut + Protectors Vow,503,0.0036170136267213173,3.091,3.485,-0.071,-0.465,-0.306,0.0003,0.089,0.2286,0.4493,0.7813,1.81,-5.75,0.0,True
pepite,Protectors Vow + Steadfast Heart,3571,0.02567863948513285,3.434,3.487,-0.069,-0.123,-0.059,0.0018,0.0257,0.1756,0.3822,0.718,1.9,-3.81,0.00014,True
,Ionic Spark + Sunfire Cape,1210,0.008700967173623845,3.334,3.489,-0.067,-0.223,-0.119,0.0006,0.0548,0.1777,0.3835,0.7471,1.828,-4.21,3e-05,True
,Ionic Spark + Protectors Vow,1246,0.00895983892424406,3.353,3.494,-0.063,-0.203,-0.098,0.0006,0.026,0.1974,0.3989,0.7183,1.894,-3.77,0.00016,True
,Bramble Vest + Ionic Spark,535,0.0038471218494948406,3.168,3.494,-0.063,-0.388,-0.237,0.0002,0.0721,0.1963,0.4318,0.7645,1.775,-5.05,0.0,True
,Ionic Spark + Steadfast Heart,589,0.004235429475425161,3.221,3.498,-0.059,-0.336,-0.18,0.0002,0.0547,0.2326,0.438,0.747,1.924,-4.23,2e-05,True
,Emblem Juggernaut + Gargoyle Stoneplate,810,0.0058246143889548055,3.301,3.499,-0.058,-0.255,-0.124,0.0003,0.0361,0.2062,0.4173,0.7284,1.906,-3.8,0.00015,True
,Bramble Vest + Crownguard,887,0.0063783123000035954,3.32,3.499,-0.057,-0.236,-0.117,0.0004,0.0608,0.1623,0.389,0.7531,1.804,-3.89,0.0001,True
,Sunfire Cape + Warmogs Armor,5710,0.04105993600115054,3.473,3.5,-0.056,-0.084,-0.034,0.0023,0.0185,0.158,0.3664,0.7109,1.872,-3.31,0.00092,True
,Adaptive Helm + Steadfast Heart,1481,0.01064969618523712,3.414,3.507,-0.05,-0.142,-0.045,0.0005,0.0166,0.185,0.3856,0.709,1.911,-2.85,0.00432,True
,Emblem Juggernaut + Warmogs Armor,448,0.0032215151188293243,3.194,3.506,-0.05,-0.362,-0.177,0.0002,0.051,0.2455,0.471,0.7433,2.002,-3.82,0.00013,True
,Ionic Spark + Warmogs Armor,1544,0.011102721748822493,3.422,3.509,-0.048,-0.134,-0.039,0.0005,0.024,0.1891,0.3724,0.7163,1.905,-2.75,0.00595,True
,Adaptive Helm + Sunfire Cape,1661,0.011944054938338187,3.432,3.51,-0.047,-0.125,-0.033,0.0006,0.0313,0.1758,0.3763,0.7237,1.901,-2.66,0.00786,True
,Evenshroud + Ionic Spark,300,0.0021572645885017797,3.08,3.51,-0.046,-0.476,-0.266,0.0001,0.0977,0.2433,0.46,0.79,1.853,-4.45,1e-05,True
,Bramble Vest + Steadfast Heart,1069,0.007687052817028008,3.399,3.513,-0.044,-0.157,-0.045,0.0003,0.0504,0.1703,0.3732,0.7428,1.863,-2.74,0.00607,True
,Crownguard + Ionic Spark,464,0.003336569230216086,3.25,3.513,-0.044,-0.306,-0.14,0.0001,0.0555,0.194,0.4203,0.7478,1.825,-3.61,0.00031,True
,Evenshroud + Warmogs Armor,2707,0.019465717470247727,3.468,3.513,-0.043,-0.088,-0.016,0.0008,0.0147,0.1781,0.3657,0.7071,1.894,-2.39,0.01675,True
,Adaptive Helm + Evenshroud,1001,0.007198072843634272,3.395,3.514,-0.043,-0.162,-0.045,0.0003,0.0239,0.1788,0.3946,0.7163,1.886,-2.7,0.00684,True
