group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Riftbeast,5017,0.045592926144366996,2.283,2.679,-0.902,-1.297,-1.261,0.0411,0.2517,0.3235,0.6388,0.9396,1.254,-69.57,0.0,True
populaire,Alune Unique Trait,24482,0.2224847554049019,3.015,3.062,-0.519,-0.566,-0.54,0.1155,0.1027,0.2454,0.4738,0.7906,1.808,-43.65,0.0,True
pepite,Invoker,6632,0.060269540799171205,2.932,3.094,-0.487,-0.648,-0.605,0.0293,0.1218,0.2431,0.4866,0.8097,1.729,-29.45,0.0,True
populaire,Emerald,57993,0.527022237570316,3.103,3.12,-0.46,-0.478,-0.459,0.2425,0.0903,0.2268,0.4516,0.7781,1.824,-49.88,0.0,True
pepite,Lux Unique Trait,13768,0.12511927589309244,3.085,3.153,-0.427,-0.496,-0.461,0.0535,0.0746,0.2748,0.4802,0.7624,1.961,-27.99,0.0,True
pepite,Lunar,2683,0.024382264469869772,2.816,3.161,-0.42,-0.764,-0.699,0.0102,0.1411,0.2777,0.5162,0.8289,1.709,-22.81,0.0,True
pepite,Vanguard,3004,0.027299412026645098,2.869,3.17,-0.411,-0.711,-0.651,0.0112,0.138,0.2354,0.5023,0.8259,1.667,-22.96,0.0,True
pepite,Lunar,1229,0.01116876743699961,2.52,3.2,-0.38,-1.061,-0.974,0.0042,0.1909,0.3247,0.581,0.8788,1.542,-23.9,0.0,True
,Brawler,12438,0.11303265205972428,3.175,3.236,-0.344,-0.405,-0.371,0.0389,0.0744,0.2146,0.4379,0.7623,1.847,-23.06,0.0,True
,Greenfather,24349,0.2212760930215651,3.22,3.25,-0.33,-0.36,-0.333,0.0731,0.0544,0.2447,0.444,0.7423,1.964,-25.94,0.0,True
,Lunar,8230,0.07479166477339852,3.182,3.266,-0.314,-0.398,-0.358,0.0235,0.0809,0.1939,0.4225,0.7688,1.787,-19.38,0.0,True
,Adaptor,5067,0.0460473104990049,3.192,3.31,-0.271,-0.389,-0.34,0.0125,0.0954,0.167,0.4217,0.7833,1.737,-15.49,0.0,True
populaire,Caustic,31489,0.28616217886385736,3.317,3.334,-0.246,-0.264,-0.24,0.0705,0.0576,0.1771,0.4004,0.7455,1.842,-22.11,0.0,True
,Invoker,7540,0.06852116067939548,3.286,3.352,-0.228,-0.295,-0.25,0.0156,0.0536,0.2041,0.415,0.7415,1.886,-13.09,0.0,True
,Rival,3542,0.03218858768254892,3.211,3.353,-0.228,-0.369,-0.306,0.0073,0.071,0.2132,0.4373,0.7589,1.894,-11.4,0.0,True
populaire,Vanguard,41699,0.3789474640809168,3.349,3.361,-0.22,-0.231,-0.21,0.0832,0.0481,0.1859,0.3878,0.736,1.86,-21.34,0.0,True
,Primal,2691,0.024454965966611838,3.223,3.384,-0.197,-0.358,-0.288,0.0048,0.0747,0.188,0.4285,0.7625,1.83,-10.01,0.0,True
,Spellweaver,13711,0.12460127772880525,3.374,3.402,-0.178,-0.207,-0.172,0.0222,0.0227,0.2262,0.4106,0.7105,2.003,-11.44,0.0,True
,Apex Predator,23351,0.21220658130299258,3.395,3.411,-0.17,-0.186,-0.159,0.036,0.0291,0.1989,0.3905,0.717,1.926,-13.38,0.0,True
