group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Alune,6143,0.30751902282739285,2.808,2.846,-0.588,-0.627,-0.576,0.181,0.1146,0.2719,0.5206,0.8338,1.718,-24.28,0.0,True
pepite,Lux Base,2377,0.11899279134961954,2.833,2.92,-0.515,-0.602,-0.523,0.0613,0.0873,0.3113,0.5389,0.8065,1.846,-14.96,0.0,True
pepite,Ivern,3411,0.1707549058870645,2.9,2.956,-0.478,-0.534,-0.467,0.0817,0.0835,0.292,0.5142,0.8027,1.859,-15.43,0.0,True
populaire,Taric,11778,0.5896075290348418,2.963,2.978,-0.456,-0.472,-0.43,0.2691,0.0923,0.238,0.4795,0.8114,1.757,-22.29,0.0,True
pepite,Gnar Small,1539,0.07704245094112935,2.926,3.031,-0.404,-0.509,-0.413,0.0311,0.0768,0.2775,0.5159,0.796,1.844,-10.4,0.0,True
pepite,Elder Dragon,2661,0.13320985182218661,2.996,3.053,-0.381,-0.439,-0.364,0.0508,0.0719,0.2706,0.4818,0.7911,1.846,-11.45,0.0,True
pepite,Ashe,955,0.047807368842611137,3.001,3.129,-0.306,-0.434,-0.313,0.0146,0.0787,0.2702,0.4796,0.7979,1.861,-7.02,0.0,True
pepite,Rengar,351,0.017571085302362836,2.781,3.129,-0.306,-0.654,-0.473,0.0054,0.107,0.2707,0.5499,0.8262,1.715,-7.07,0.0,True
,Teemo,1307,0.06542851421706047,3.07,3.156,-0.279,-0.364,-0.265,0.0183,0.0804,0.215,0.4453,0.7995,1.763,-7.2,0.0,True
,Maokai,2290,0.11463756507809371,3.201,3.236,-0.199,-0.234,-0.148,0.0228,0.0324,0.2559,0.4555,0.7515,1.987,-5.35,0.0,True
populaire,Sentry,7674,0.38416099319183017,3.249,3.258,-0.176,-0.186,-0.136,0.0678,0.0395,0.2017,0.4158,0.7587,1.863,-7.35,0.0,True
,Cinderling,1577,0.0789447336804165,3.228,3.27,-0.165,-0.207,-0.114,0.013,0.0481,0.1877,0.4084,0.7673,1.801,-4.36,1e-05,True
,Murkwolf,2225,0.11138366039247097,3.282,3.305,-0.129,-0.153,-0.073,0.0144,0.0309,0.1883,0.3951,0.7501,1.802,-3.76,0.00017,True
,Ahri,760,0.03804565478574289,3.261,3.321,-0.114,-0.174,-0.026,0.0043,0.0098,0.2539,0.4539,0.7289,2.048,-2.31,0.02104,True
,Gromp A P,1848,0.09251101321585903,3.298,3.322,-0.112,-0.137,-0.05,0.0104,0.0287,0.1737,0.3956,0.7478,1.804,-3.1,0.00196,True
,Krug,3188,0.15959150981177414,3.326,3.338,-0.097,-0.109,-0.039,0.0154,0.0199,0.1882,0.394,0.739,1.854,-3.06,0.00219,True
populaire,Brambleback,10210,0.5111133360032039,3.338,3.342,-0.093,-0.097,-0.052,0.0476,0.0236,0.1769,0.3957,0.7428,1.858,-4.22,2e-05,True
populaire,Morgana,11068,0.5540648778534241,3.341,3.344,-0.091,-0.094,-0.05,0.0504,0.0172,0.2008,0.4022,0.7364,1.923,-4.13,4e-05,True
populaire,Kog Maw A D,8244,0.41269523428113736,3.351,3.355,-0.08,-0.084,-0.035,0.0331,0.024,0.1817,0.3923,0.7432,1.882,-3.39,0.00071,True
,Kayle,126,0.00630756908289948,3.119,3.359,-0.076,-0.316,-0.034,0.0005,0.0745,0.1667,0.4286,0.7937,1.607,-2.2,0.02807,True
,Kennen,1564,0.07829395274329196,3.371,3.384,-0.05,-0.063,0.0,0.0039,-0.0043,0.2366,0.4162,0.7148,2.041,-1.19,0.23534,False
,Rammus,349,0.017470965158189827,3.33,3.386,-0.049,-0.105,0.0,0.0009,0.0287,0.1461,0.4069,0.7479,1.821,-1.07,0.28461,False
populaire,Diana,12136,0.6075290348418102,3.388,3.389,-0.045,-0.047,-0.004,0.0276,0.0101,0.1827,0.3916,0.7292,1.912,-2.12,0.03365,True
,Kobuko,295,0.014767721265518622,3.336,3.393,-0.042,-0.099,0.0,0.0006,0.03,0.1627,0.4034,0.7492,1.843,-0.92,0.3589,False
,Scuttlecrab,4319,0.21620945134160993,3.404,3.407,-0.028,-0.031,0.0,0.0061,0.0171,0.1635,0.3693,0.7363,1.836,-0.99,0.32198,False
,Kha Zix,175,0.008760512615138166,3.366,3.414,-0.021,-0.069,0.0,0.0002,-0.022,0.2,0.4286,0.6971,1.955,-0.47,0.6414,False
,Lillia,612,0.03063676411694033,3.404,3.416,-0.019,-0.031,0.0,0.0006,0.0112,0.1781,0.3873,0.7304,1.926,-0.4,0.69273,False
,Veigar,207,0.010362434921906288,3.411,3.427,-0.008,-0.024,0.0,0.0001,0.0151,0.1449,0.3768,0.7343,1.831,-0.19,0.85009,False
,Le Blanc,261,0.013065678814577493,3.421,3.43,-0.005,-0.013,0.0,0.0001,-0.0333,0.2184,0.4406,0.6858,2.075,-0.1,0.91758,False
populaire,Aphelios,5375,0.26907288746495794,3.437,3.437,0.002,0.003,0.0,-0.0006,0.0081,0.1535,0.3747,0.7273,1.866,0.09,0.92898,False
populaire,Hecarim,9043,0.4526932318782539,3.437,3.437,0.002,0.002,0.0,-0.0008,0.0006,0.1726,0.3797,0.7198,1.913,0.07,0.94231,False
,Draven,1236,0.061874249098918706,3.438,3.437,0.002,0.003,0.0,-0.0001,-0.0258,0.2411,0.4037,0.6934,2.083,0.05,0.96221,False
,Leona,83,0.004154985983179816,3.47,3.441,0.006,0.035,0.0,-0.0,0.0158,0.1446,0.3614,0.7349,1.832,0.17,0.86194,False
,Fiddlesticks,975,0.04880857028434121,3.451,3.446,0.012,0.016,0.0,-0.0006,-0.0248,0.2092,0.4031,0.6944,2.026,0.25,0.80396,False
,Zyra,3571,0.17876451742090507,3.453,3.451,0.016,0.018,0.0,-0.0028,0.0081,0.1442,0.3638,0.7272,1.849,0.52,0.60048,False
,Sejuani,128,0.006407689227072487,3.516,3.454,0.02,0.081,0.0,-0.0001,-0.0239,0.1875,0.3984,0.6953,1.984,0.46,0.646,False
populaire,Crimson Raptor,6123,0.3065178213856628,3.456,3.455,0.02,0.021,0.0,-0.006,0.0029,0.1514,0.3662,0.722,1.856,0.77,0.4428,False
