group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Gargoyle Stoneplate + Ionic Spark + Warmogs Armor,1122,0.014212786440849726,3.102,3.24,-0.099,-0.237,-0.126,0.0014,0.0363,0.2656,0.4545,0.7611,1.884,-4.19,3e-05,True
pepite,Evenshroud + Spirit Visage + Sunfire Cape,262,0.0033188503097171377,2.683,3.246,-0.093,-0.656,-0.464,0.0003,0.1454,0.2748,0.542,0.8702,1.581,-6.7,0.0,True
pepite,Emblem Juggernaut + Gargoyle Stoneplate + Warmogs Armor,323,0.004091559732971891,2.817,3.25,-0.089,-0.522,-0.32,0.0004,0.0925,0.3096,0.5325,0.8173,1.841,-5.08,0.0,True
pepite,Evenshroud + Sunfire Cape + Warmogs Armor,212,0.002685481930000127,2.726,3.266,-0.073,-0.613,-0.396,0.0002,0.1431,0.25,0.5425,0.8679,1.608,-5.54,0.0,True
pepite,Evenshroud + Ionic Spark + Sunfire Cape,89,0.0011273957158962795,2.281,3.283,-0.056,-1.058,-0.784,0.0001,0.219,0.3258,0.6404,0.9438,1.315,-7.58,0.0,True
pepite,Bramble Vest + Evenshroud + Sunfire Cape,100,0.001266736759434022,2.52,3.29,-0.049,-0.819,-0.541,0.0001,0.1552,0.26,0.6,0.88,1.418,-5.77,0.0,True
,Spirit Visage + Sunfire Cape + Warmogs Armor,368,0.004661591274717201,3.087,3.291,-0.048,-0.252,-0.067,0.0002,0.0415,0.2418,0.4484,0.7663,1.807,-2.67,0.00762,True
,Evenshroud + Steadfast Heart + Sunfire Cape,93,0.0011780651862736405,2.591,3.297,-0.042,-0.748,-0.397,0.0,0.1247,0.3548,0.5914,0.8495,1.724,-4.18,3e-05,True
,Evenshroud + Spirit Visage + Warmogs Armor,102,0.0012920714946227025,2.657,3.298,-0.041,-0.682,-0.345,0.0001,0.0987,0.3039,0.5882,0.8235,1.735,-3.97,7e-05,True
,Evenshroud + Gargoyle Stoneplate + Warmogs Armor,511,0.006473024840707852,3.184,3.301,-0.038,-0.155,0.0,0.0002,0.0188,0.2446,0.4775,0.7436,1.959,-1.78,0.07456,False
,Evenshroud + Gargoyle Stoneplate + Sunfire Cape,388,0.0049149386266040054,3.144,3.301,-0.038,-0.195,-0.011,0.0002,0.0381,0.2474,0.4381,0.7629,1.844,-2.07,0.03818,False
,Bramble Vest + Gargoyle Stoneplate + Ionic Spark,165,0.0020901156530661364,2.976,3.305,-0.034,-0.363,-0.09,0.0001,0.057,0.2545,0.4909,0.7818,1.789,-2.61,0.00919,True
,Emblem Juggernaut + Gargoyle Stoneplate + Sunfire Cape,77,0.0009753873047641969,2.597,3.304,-0.034,-0.742,-0.376,0.0,0.1453,0.3506,0.5584,0.8701,1.638,-3.97,7e-05,True
