group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Ionic Spark,13693,0.10307578814248292,3.202,3.241,-0.2,-0.239,-0.204,0.0206,0.0382,0.2438,0.4472,0.7429,1.942,-13.66,0.0,True
pepite,Evenshroud,8348,0.06284062509409533,3.2,3.258,-0.183,-0.241,-0.199,0.0115,0.0454,0.2217,0.4471,0.7501,1.906,-11.17,0.0,True
pepite,Emblem Juggernaut,2304,0.017343651199903647,3.056,3.262,-0.179,-0.384,-0.306,0.0031,0.0653,0.2734,0.4653,0.77,1.897,-9.64,0.0,True
populaire,Bramble Vest,18308,0.13781578392701213,3.32,3.335,-0.105,-0.121,-0.091,0.0145,0.0269,0.2109,0.416,0.7315,1.935,-7.89,0.0,True
populaire,Steadfast Heart,16855,0.12687814278401735,3.354,3.366,-0.075,-0.086,-0.055,0.0095,0.0175,0.2062,0.4132,0.7222,1.96,-5.38,0.0,True
pepite,Steraks Gage,4336,0.03263978802204089,3.359,3.39,-0.051,-0.082,-0.022,0.0017,0.0165,0.217,0.4084,0.7212,1.977,-2.68,0.00725,True
populaire,Protectors Vow,16800,0.12646412333263077,3.388,3.395,-0.045,-0.053,-0.021,0.0058,0.0132,0.2037,0.4015,0.7179,1.962,-3.27,0.00106,True
populaire,Sunfire Cape,22272,0.16765529493240192,3.402,3.406,-0.035,-0.039,-0.011,0.0059,0.0142,0.1915,0.3966,0.7188,1.94,-2.77,0.00553,True
populaire,Warmogs Armor,55065,0.41450874710186386,3.409,3.411,-0.03,-0.031,-0.012,0.0124,0.0039,0.2091,0.4023,0.7086,1.988,-3.12,0.00181,True
pepite,Emblem Vanguard,1064,0.008009394477733281,3.365,3.419,-0.022,-0.076,0.0,0.0002,0.0105,0.2312,0.3994,0.7152,2.007,-1.23,0.21777,False
pepite,Adaptive Helm,6316,0.047544488271958084,3.417,3.424,-0.017,-0.024,0.0,0.0008,0.0042,0.205,0.4053,0.7088,2.006,-0.93,0.35137,False
pepite,Emblem Sprykin,261,0.001964710487489085,3.33,3.431,-0.01,-0.111,0.0,0.0,0.0271,0.1571,0.3716,0.7318,1.715,-1.05,0.29516,False
populaire,Crownguard,9275,0.06981873475655656,3.436,3.437,-0.004,-0.005,0.0,0.0003,-0.006,0.2096,0.4101,0.6987,2.034,-0.22,0.82308,False
,Spirit Visage Radiant,72,0.000541989099996989,3.389,3.439,-0.001,-0.052,0.0,0.0,-0.0658,0.2917,0.4167,0.6389,2.099,-0.21,0.83386,False
populaire,Dragons Claw,22893,0.17232995091987593,3.442,3.442,0.001,0.002,0.0,-0.0003,0.0014,0.1942,0.3902,0.7061,1.965,0.12,0.90811,False
,Warmogs Armor Radiant,217,0.0016334949263798139,3.452,3.442,0.001,0.011,0.0,-0.0,0.0096,0.1797,0.4101,0.7143,1.97,0.08,0.93548,False
,Artifact Talisman Of Ascension,62,0.00046671283610851824,3.565,3.444,0.003,0.124,0.0,-0.0,-0.0434,0.1452,0.3548,0.6613,1.846,0.53,0.59771,False
,Gargoyle Stoneplate Radiant,144,0.001083978199993978,3.514,3.445,0.004,0.073,0.0,-0.0,-0.0519,0.25,0.4167,0.6528,2.186,0.4,0.68828,False
,Emblem Spellweaver,112,0.0008430941555508717,3.598,3.447,0.006,0.157,0.0,-0.0,-0.044,0.125,0.3839,0.6607,1.906,0.87,0.38228,False
,Emblem Blackthorn,122,0.0009183704194393424,3.615,3.448,0.008,0.174,0.0,-0.0,-0.0653,0.2377,0.418,0.6393,2.252,0.85,0.39373,False
populaire,Gargoyle Stoneplate,79976,0.6020294480744331,3.453,3.452,0.011,0.012,0.0,-0.0069,-0.0056,0.2053,0.3946,0.699,2.004,1.32,0.18547,False
,Moguls Mail,1495,0.011253801451326368,3.474,3.453,0.012,0.033,0.0,-0.0001,-0.0177,0.2161,0.404,0.687,2.061,0.61,0.54041,False
,Hullcrusher,381,0.0028680256541507333,3.562,3.456,0.015,0.121,0.0,-0.0,-0.0249,0.189,0.3963,0.6798,2.063,1.14,0.25334,False
,Void Gauntlet,348,0.00261961398331878,3.58,3.457,0.016,0.14,0.0,-0.0,-0.0294,0.1494,0.3534,0.6753,1.908,1.36,0.17263,False
,Lightshield Crest,844,0.006353316672186926,3.55,3.467,0.026,0.109,0.0,-0.0002,-0.0127,0.1908,0.3815,0.6919,2.052,1.54,0.12402,False
populaire,Spirit Visage,33665,0.25341754238053654,3.474,3.472,0.031,0.033,0.01,-0.0079,-0.007,0.1909,0.3854,0.6977,1.974,2.78,0.00551,True
,The Indomitable,1145,0.008619132215229895,3.549,3.473,0.033,0.109,0.0,-0.0003,-0.0235,0.1843,0.3686,0.6812,1.98,1.85,0.06472,False
,Emblem Elderwood,478,0.003598205413868899,3.661,3.474,0.034,0.22,0.032,-0.0001,-0.0561,0.1841,0.3766,0.6485,2.095,2.3,0.02168,True
,Aegis Of Dusk,438,0.003297100358315016,3.79,3.49,0.049,0.349,0.157,-0.0002,-0.0677,0.1575,0.3311,0.637,2.048,3.56,0.00037,True
,Emblem Defender,696,0.00523922796663756,3.688,3.492,0.051,0.247,0.098,-0.0003,-0.0466,0.1681,0.3305,0.658,2.009,3.24,0.00119,True
,Aegis Of Dawn,507,0.0038165065791454637,3.826,3.503,0.062,0.386,0.208,-0.0002,-0.0893,0.146,0.3314,0.6154,2.042,4.24,2e-05,True
,Bloodthirster,775,0.0058339104513564785,3.914,3.548,0.107,0.473,0.328,-0.0006,-0.0944,0.1432,0.2942,0.6103,2.053,6.39,0.0,True
,Titans Resolve,966,0.007271687091626268,3.842,3.548,0.107,0.401,0.273,-0.0008,-0.0805,0.1491,0.2961,0.6242,2.013,6.17,0.0,True
,Component Chain Vest,626,0.004712294119418265,4.521,3.647,0.206,1.08,0.914,-0.001,-0.2159,0.0942,0.2141,0.4888,2.118,12.73,0.0,True
,Component Negatron Cloak,686,0.005163951702749089,4.497,3.658,0.217,1.056,0.888,-0.0011,-0.2076,0.1268,0.2493,0.4971,2.25,12.27,0.0,True
,Component Giants Belt,1116,0.008400831049953329,4.48,3.748,0.307,1.04,0.913,-0.0026,-0.2029,0.1057,0.224,0.5018,2.152,16.08,0.0,True
