group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Infinity Force,51,0.0014177693761814746,3.196,3.437,-0.017,-0.257,0.0,0.0,0.1201,0.1569,0.3725,0.8235,1.645,-1.12,0.26423,False
populaire,Silvermere Dawn,57,0.001584565773379295,3.719,3.473,0.02,0.266,0.0,-0.0,-0.0893,0.193,0.3684,0.614,2.084,0.96,0.33598,False
populaire,Hullcrusher,85,0.0023629489603024575,3.741,3.484,0.03,0.288,0.0,-0.0001,-0.0328,0.1294,0.3059,0.6706,1.923,1.38,0.16842,False
populaire,Moguls Mail,551,0.015317469142666518,3.525,3.484,0.031,0.071,0.0,-0.0005,-0.0174,0.2051,0.3739,0.686,2.013,0.82,0.41159,False
populaire,Artifact Talisman Of Ascension,71,0.0019737573668408763,4.0,3.503,0.049,0.546,0.074,-0.0001,-0.1118,0.1268,0.2676,0.5915,2.028,2.27,0.02331,True
populaire,Forbidden Idol,59,0.0016401645724452353,4.169,3.508,0.054,0.716,0.198,-0.0001,-0.178,0.1017,0.2542,0.5254,2.027,2.71,0.0067,True
populaire,The Indomitable,494,0.013732903369287223,3.593,3.51,0.057,0.14,0.0,-0.0008,-0.0273,0.2105,0.3826,0.6761,2.134,1.45,0.14842,False
populaire,Void Gauntlet,230,0.00639386189258312,3.7,3.513,0.06,0.246,0.0,-0.0004,-0.0599,0.1696,0.3652,0.6435,2.054,1.81,0.06964,False
populaire,Lightshield Crest,392,0.010897364616924275,3.735,3.553,0.099,0.281,0.074,-0.0011,-0.0554,0.1531,0.352,0.648,2.079,2.66,0.00772,True
populaire,Aegis Of Dusk,294,0.008173023462693206,3.837,3.565,0.111,0.383,0.156,-0.0009,-0.0571,0.1293,0.2959,0.6463,1.98,3.31,0.00095,True
populaire,Aegis Of Dawn,257,0.007144445679973312,3.938,3.581,0.127,0.484,0.223,-0.0009,-0.0847,0.1556,0.323,0.6187,2.131,3.63,0.00028,True
