group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Ionic Spark,19617,0.1386340829104889,3.225,3.25,-0.179,-0.205,-0.175,0.0248,0.0336,0.2455,0.444,0.7379,1.962,-13.65,0.0,True
populaire,Bramble Vest,23206,0.16399768201156167,3.323,3.334,-0.095,-0.107,-0.079,0.0156,0.021,0.2182,0.4245,0.7253,1.968,-7.62,0.0,True
pepite,Evenshroud,9119,0.06444431880821473,3.319,3.345,-0.084,-0.111,-0.069,0.0054,0.0218,0.212,0.4208,0.7261,1.955,-5.23,0.0,True
populaire,Steadfast Heart,19250,0.13604047999321564,3.361,3.37,-0.06,-0.068,-0.039,0.0081,0.0172,0.2102,0.4119,0.7214,1.975,-4.49,1e-05,True
populaire,Warmogs Armor,66382,0.46912411131998133,3.386,3.388,-0.041,-0.043,-0.025,0.0193,0.0067,0.2179,0.4093,0.711,2.0,-4.56,1e-05,True
populaire,Protectors Vow,19384,0.13698746307472687,3.409,3.411,-0.018,-0.021,0.0,0.0025,0.0068,0.2079,0.4007,0.7111,1.988,-1.36,0.17478,False
pepite,Steraks Gage,5530,0.03908071970714195,3.415,3.42,-0.01,-0.015,0.0,0.0004,0.0024,0.2165,0.4033,0.7067,2.022,-0.53,0.59658,False
pepite,Rabadons Deathcap,49,0.0003462848581645489,3.02,3.422,-0.007,-0.409,0.0,0.0,0.0917,0.2653,0.4694,0.7959,1.857,-1.54,0.12331,False
pepite,Tacticians Crown,74,0.0005229608062076862,3.162,3.423,-0.007,-0.267,0.0,0.0,0.066,0.2162,0.4324,0.7703,1.816,-1.27,0.20585,False
pepite,Krakens Fury,46,0.00032508374439937243,3.217,3.426,-0.003,-0.212,0.0,0.0,0.0566,0.1304,0.4783,0.7609,1.805,-0.8,0.42588,False
pepite,Component Recurve Bow,47,0.00033215078232109795,3.298,3.427,-0.002,-0.131,0.0,0.0,0.1043,0.1915,0.383,0.8085,1.967,-0.46,0.6469,False
,Red Buff,49,0.0003462848581645489,3.286,3.427,-0.002,-0.144,0.0,0.0,-0.0104,0.2245,0.4082,0.6939,1.959,-0.51,0.60789,False
populaire,Gargoyle Stoneplate,92700,0.6551144153439528,3.43,3.43,0.001,0.001,0.0,-0.0007,-0.0026,0.2129,0.4018,0.7017,2.015,0.12,0.90353,False
,Blue Buff,63,0.00044522338906870576,3.635,3.434,0.004,0.206,0.0,-0.0,-0.0376,0.127,0.3968,0.6667,1.986,0.82,0.41145,False
,Last Whisper,65,0.0004593574649121567,3.692,3.435,0.006,0.263,0.0,-0.0,0.0342,0.1231,0.2308,0.7385,1.762,1.2,0.22903,False
,Infinity Edge,115,0.0008127093609984311,3.617,3.437,0.007,0.188,0.0,-0.0,0.0001,0.1565,0.3478,0.7043,2.016,1.0,0.31718,False
