group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Juggernaut,781,0.021711331035249637,2.935,3.183,-0.27,-0.519,-0.381,0.0059,0.0789,0.3099,0.5211,0.7823,1.939,-7.39,0.0,True
populaire,Emblem Vanguard,382,0.010619370621594574,3.372,3.425,-0.028,-0.082,0.0,0.0003,0.0244,0.1937,0.4084,0.7277,1.94,-0.82,0.41231,False
populaire,Emblem Primal,62,0.0017235627710441455,3.161,3.43,-0.023,-0.292,0.0,0.0,0.0869,0.2419,0.4032,0.7903,1.944,-1.18,0.23701,False
populaire,Emblem Sprykin,238,0.006616257088846881,3.382,3.436,-0.018,-0.071,0.0,0.0001,0.0361,0.1891,0.3739,0.7395,1.838,-0.6,0.55172,False
populaire,Emblem Flora Fatalis,59,0.0016401645724452353,3.559,3.462,0.008,0.106,0.0,-0.0,-0.0593,0.2373,0.4237,0.6441,2.157,0.38,0.70664,False
populaire,Emblem Slayer,55,0.001528966974313355,3.636,3.467,0.013,0.183,0.0,-0.0,-0.0125,0.1273,0.3818,0.6909,2.003,0.68,0.49887,False
populaire,Emblem Defender,311,0.008645613254753697,3.543,3.481,0.027,0.09,0.0,-0.0002,-0.0153,0.2026,0.3537,0.6881,2.014,0.78,0.43326,False
,Emblem Fae,49,0.0013621705771155344,3.898,3.482,0.028,0.444,0.0,-0.0,-0.0911,0.1837,0.3265,0.6122,2.234,1.39,0.16395,False
populaire,Emblem Spellweaver,96,0.0026687423551651286,3.719,3.485,0.031,0.265,0.0,-0.0001,-0.0367,0.1771,0.3229,0.6667,1.919,1.35,0.17627,False
populaire,Emblem Blackthorn,150,0.004169909929945513,3.807,3.514,0.061,0.353,0.023,-0.0003,-0.0634,0.1533,0.3133,0.64,2.058,2.1,0.03598,False
populaire,Emblem Elderwood,253,0.007033248081841432,3.743,3.529,0.075,0.29,0.033,-0.0005,-0.0552,0.1818,0.332,0.6482,2.074,2.21,0.02688,False
