group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Evenshroud Radiant,56,0.0004261147466139096,2.857,3.392,-0.011,-0.546,-0.091,0.0,0.1623,0.3036,0.4821,0.875,1.736,-2.35,0.01871,True
populaire,Sunfire Cape Radiant,96,0.0007304824227667021,3.25,3.398,-0.005,-0.153,0.0,0.0,0.0581,0.1667,0.3958,0.7708,1.803,-0.83,0.40618,False
populaire,Steadfast Heart Radiant,90,0.0006848272713437833,3.389,3.402,-0.0,-0.014,0.0,0.0,0.0095,0.2333,0.4444,0.7222,2.085,-0.06,0.9492,False
populaire,Bramble Vest Radiant,122,0.0009283214122660173,3.533,3.409,0.006,0.13,0.0,-0.0,-0.0242,0.2049,0.3689,0.6885,2.073,0.69,0.48912,False
populaire,Spirit Visage Radiant,287,0.002183838076396287,3.463,3.409,0.006,0.061,0.0,-0.0,-0.0054,0.2125,0.3589,0.7073,1.961,0.52,0.60147,False
populaire,Ionic Spark Radiant,49,0.0003728504032871709,3.776,3.41,0.007,0.373,0.0,-0.0,-0.08,0.2041,0.2857,0.6327,2.033,1.28,0.19959,False
populaire,Protectors Vow Radiant,117,0.0008902754527469182,3.556,3.409,0.007,0.153,0.0,-0.0,-0.0546,0.2051,0.3761,0.6581,2.027,0.81,0.41557,False
populaire,Warmogs Armor Radiant,510,0.003880687870948105,3.5,3.419,0.016,0.097,0.0,-0.0001,-0.0225,0.1902,0.3745,0.6902,1.989,1.1,0.27114,False
populaire,Dragons Claw Radiant,169,0.0012859534317455487,3.728,3.423,0.02,0.325,0.012,-0.0,-0.0441,0.1775,0.3314,0.6686,2.075,2.03,0.04189,False
populaire,Gargoyle Stoneplate Radiant,517,0.003933952214274844,3.648,3.443,0.04,0.245,0.07,-0.0002,-0.0473,0.1915,0.3385,0.6654,2.022,2.75,0.00595,True
