group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Spirit Visage + Warmogs Armor,112,0.10135746606334842,2.232,2.314,-0.307,-0.39,-0.134,0.0311,0.0893,0.375,0.625,0.9554,1.282,-2.99,0.00283,True
pepite,Steadfast Heart + Warmogs Armor,52,0.047058823529411764,2.192,2.349,-0.272,-0.429,-0.071,0.0128,0.0955,0.3654,0.6346,0.9615,1.272,-2.35,0.01889,False
pepite,Bramble Vest + Warmogs Armor,60,0.05429864253393665,2.217,2.352,-0.27,-0.405,-0.101,0.0147,0.1006,0.3167,0.65,0.9667,1.142,-2.61,0.00905,True
populaire,Dragons Claw + Warmogs Armor,98,0.08868778280542987,2.418,2.466,-0.156,-0.203,0.0,0.0138,0.0625,0.2959,0.551,0.9286,1.245,-1.51,0.13145,False
pepite,Protectors Vow + Warmogs Armor,42,0.03800904977375565,2.357,2.467,-0.154,-0.265,0.0,0.0059,0.0149,0.3333,0.6429,0.881,1.377,-1.21,0.22482,False
populaire,Gargoyle Stoneplate + Spirit Visage,205,0.18552036199095023,2.498,2.513,-0.108,-0.124,0.0,0.0201,0.0169,0.3415,0.6,0.8829,1.61,-1.01,0.31078,False
pepite,Bramble Vest + Gargoyle Stoneplate,45,0.04072398190045249,2.467,2.529,-0.093,-0.155,0.0,0.0038,0.0006,0.3556,0.6222,0.8667,1.614,-0.63,0.52756,False
populaire,Gargoyle Stoneplate + Warmogs Armor,346,0.31312217194570136,2.529,2.536,-0.085,-0.093,0.0,0.0267,0.0125,0.3353,0.5578,0.8786,1.558,-0.96,0.33793,False
populaire,Bramble Vest + Dragons Claw,63,0.05701357466063348,2.587,2.598,-0.023,-0.034,0.0,0.0013,0.007,0.3016,0.5556,0.873,1.57,-0.17,0.86581,False
populaire,Gargoyle Stoneplate + Protectors Vow,64,0.0579185520361991,2.594,2.603,-0.019,-0.028,0.0,0.0011,-0.0536,0.3594,0.625,0.8125,1.756,-0.12,0.90101,False
populaire,Gargoyle Stoneplate + Steadfast Heart,95,0.08597285067873303,2.6,2.605,-0.017,-0.022,0.0,0.0014,-0.0029,0.3368,0.5684,0.8632,1.638,-0.12,0.90118,False
populaire,Gargoyle Stoneplate + Ionic Spark,72,0.06515837104072399,2.653,2.644,0.022,0.031,0.0,-0.0014,-0.0188,0.2917,0.5139,0.8472,1.483,0.17,0.86405,False
,Dragons Claw + Spirit Visage,54,0.048868778280542986,2.685,2.663,0.041,0.063,0.0,-0.002,0.0228,0.2593,0.5185,0.8889,1.537,0.3,0.76764,False
,Spirit Visage + Sunfire Cape,49,0.044343891402714934,2.714,2.679,0.057,0.093,0.0,-0.0025,-0.0293,0.3469,0.5306,0.8367,1.796,0.35,0.72294,False
,Ionic Spark + Warmogs Armor,46,0.0416289592760181,2.761,2.706,0.084,0.139,0.0,-0.0035,0.0035,0.2826,0.4783,0.8696,1.591,0.58,0.56123,False
populaire,Gargoyle Stoneplate + Sunfire Cape,111,0.10045248868778281,2.748,2.721,0.099,0.126,0.0,-0.01,-0.0553,0.2613,0.5766,0.8108,1.657,0.77,0.44404,False
,Sunfire Cape + Warmogs Armor,59,0.05339366515837104,2.78,2.726,0.105,0.158,0.0,-0.0056,-0.0356,0.2034,0.5424,0.8305,1.53,0.77,0.44115,False
populaire,Dragons Claw + Gargoyle Stoneplate,92,0.0832579185520362,2.783,2.743,0.121,0.161,0.0,-0.0101,-0.0291,0.2935,0.5217,0.837,1.693,0.88,0.37948,False
,Dragons Claw + Sunfire Cape,47,0.04253393665158371,2.851,2.762,0.14,0.229,0.0,-0.006,-0.0576,0.2128,0.5106,0.8085,1.584,0.97,0.33144,False
