group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Executioner,8335,0.11152292006743557,2.55,2.717,-0.929,-1.096,-1.058,0.1036,0.2125,0.3182,0.5987,0.8728,1.608,-57.1,0.0,True
pepite,Lux Unique Trait,12007,0.16065455323931602,2.968,3.043,-0.603,-0.678,-0.64,0.0969,0.117,0.3058,0.5143,0.7773,1.952,-35.01,0.0,True
pepite,Blossom,4653,0.062257486151623,2.851,3.044,-0.601,-0.795,-0.741,0.0374,0.1471,0.2977,0.5175,0.8074,1.787,-29.12,0.0,True
pepite,Blossom,432,0.005780192137868286,1.292,3.118,-0.528,-2.354,-2.272,0.0031,0.3188,0.8542,0.9167,0.9792,0.854,-56.32,0.0,True
pepite,Blackthorn,3585,0.04796756669967085,2.984,3.179,-0.467,-0.662,-0.593,0.0224,0.1073,0.318,0.5331,0.7676,2.045,-18.92,0.0,True
populaire,Elderwood,14268,0.19090690144237202,3.134,3.183,-0.463,-0.511,-0.477,0.0884,0.1043,0.2403,0.4684,0.7646,1.924,-28.71,0.0,True
pepite,Inferno,7464,0.09986887527094651,3.183,3.261,-0.385,-0.462,-0.415,0.0385,0.0816,0.2617,0.4609,0.742,1.989,-19.07,0.0,True
,Greenfather,11017,0.14740827959003452,3.233,3.283,-0.363,-0.413,-0.372,0.0536,0.0701,0.2641,0.4564,0.7304,2.031,-19.84,0.0,True
populaire,Alune Unique Trait,14189,0.18984987556530813,3.302,3.335,-0.311,-0.344,-0.308,0.059,0.0643,0.2327,0.425,0.7246,1.979,-18.8,0.0,True
,Emerald,11102,0.14854558591345768,3.299,3.34,-0.306,-0.347,-0.307,0.0454,0.0596,0.245,0.4345,0.72,2.016,-16.84,0.0,True
,Brawler,3625,0.0485027696753994,3.26,3.373,-0.273,-0.385,-0.322,0.0132,0.0911,0.2069,0.4268,0.7514,1.895,-11.9,0.0,True
,Hunter,12031,0.16097567502475313,3.349,3.382,-0.264,-0.297,-0.259,0.0425,0.059,0.2218,0.4197,0.7193,1.988,-15.12,0.0,True
populaire,Brawler,52764,0.7059862452835238,3.378,3.385,-0.261,-0.268,-0.245,0.184,0.0523,0.2215,0.4173,0.7126,2.02,-23.04,0.0,True
populaire,Maokai Unique Trait,14726,0.19703497551446386,3.36,3.386,-0.26,-0.286,-0.25,0.0512,0.052,0.2321,0.4148,0.7123,2.008,-15.71,0.0,True
populaire,Blossom,28602,0.38269688779469613,3.385,3.398,-0.248,-0.261,-0.233,0.095,0.0505,0.2198,0.4216,0.7109,2.037,-18.32,0.0,True
,Sprykin,6078,0.08132409216195242,3.351,3.409,-0.237,-0.295,-0.244,0.0193,0.0613,0.209,0.4133,0.7216,1.951,-11.29,0.0,True
,Spellweaver,1458,0.019508148465305467,3.234,3.442,-0.203,-0.412,-0.309,0.004,0.0811,0.2387,0.4444,0.7414,1.977,-7.87,0.0,True
,Battlemage,6409,0.08575289678610613,3.414,3.458,-0.188,-0.232,-0.178,0.0161,0.0376,0.2372,0.428,0.6979,2.114,-8.44,0.0,True
,Executioner,5297,0.07087425406085258,3.429,3.477,-0.169,-0.216,-0.16,0.012,0.0433,0.2131,0.4023,0.7036,2.013,-7.54,0.0,True
,Elderwood,1309,0.017514517380716636,3.302,3.485,-0.161,-0.344,-0.236,0.0028,0.0723,0.2193,0.4225,0.7326,1.968,-6.27,0.0,True
,Adaptor,748,0.010008295646123792,3.18,3.491,-0.155,-0.465,-0.334,0.0016,0.1124,0.1992,0.4225,0.7727,1.817,-6.96,0.0,True
,Lunar,334,0.004468944847333351,2.811,3.493,-0.152,-0.835,-0.646,0.0007,0.1331,0.3024,0.5419,0.7934,1.752,-8.68,0.0,True
,Lunar,6714,0.08983381947603629,3.471,3.503,-0.143,-0.175,-0.124,0.0129,0.0302,0.2124,0.3971,0.6905,2.032,-6.75,0.0,True
