group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Base,562,0.2087667161961367,2.384,2.442,-0.606,-0.664,-0.516,0.1264,0.1041,0.3754,0.6388,0.8879,1.571,-8.81,0.0,True
populaire,Gnar Small,1287,0.47808320950965827,2.506,2.528,-0.52,-0.542,-0.431,0.2488,0.0981,0.3434,0.5913,0.8819,1.581,-9.55,0.0,True
pepite,Sentry,128,0.0475482912332838,2.445,2.624,-0.424,-0.603,-0.306,0.0202,0.0756,0.375,0.6406,0.8594,1.662,-3.99,7e-05,True
pepite,Ivern,388,0.14413075780089152,2.616,2.669,-0.379,-0.432,-0.236,0.0547,0.059,0.3763,0.5851,0.8428,1.836,-4.33,2e-05,True
pepite,Kog Maw A D,217,0.08060921248142645,2.622,2.707,-0.341,-0.426,-0.201,0.0275,0.0779,0.2995,0.5622,0.8618,1.608,-3.71,0.00021,True
pepite,Taric,403,0.14970282317979197,2.663,2.708,-0.34,-0.385,-0.2,0.0509,0.0499,0.33,0.5732,0.8337,1.756,-4.08,5e-05,True
pepite,Alune,378,0.14041604754829123,2.69,2.735,-0.313,-0.357,-0.172,0.0439,0.068,0.2937,0.5608,0.8519,1.702,-3.78,0.00016,True
,Sentinel,250,0.09286775631500743,2.676,2.742,-0.306,-0.372,-0.137,0.0284,0.0402,0.344,0.592,0.824,1.812,-3.1,0.00195,True
populaire,Ashe,1541,0.5724368499257058,2.747,2.757,-0.291,-0.301,-0.191,0.1665,0.0598,0.2933,0.5282,0.8436,1.704,-5.35,0.0,True
,Morgana,184,0.06835066864784546,2.674,2.759,-0.289,-0.374,-0.097,0.0198,0.0151,0.3587,0.5978,0.7989,1.854,-2.65,0.00812,True
,Kennen,387,0.1437592867756315,2.734,2.772,-0.276,-0.314,-0.127,0.0396,0.0405,0.3049,0.5607,0.8243,1.746,-3.28,0.00103,True
