group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Fae + Last Whisper + Red Buff,361,0.010028613495569076,2.255,3.013,-0.38,-1.138,-0.986,0.0038,0.1956,0.4238,0.6565,0.9141,1.465,-14.64,0.0,True
pepite,Emblem Fae + Infinity Edge + Spear Of Shojin,245,0.006806122732449927,2.465,3.158,-0.236,-0.928,-0.72,0.0016,0.1305,0.3837,0.6327,0.849,1.652,-8.75,0.0,True
pepite,Emblem Fae + Infinity Edge + Last Whisper,243,0.006750562546878907,2.469,3.16,-0.233,-0.924,-0.711,0.0016,0.1498,0.3827,0.6296,0.8683,1.686,-8.51,0.0,True
pepite,Emblem Fae + Last Whisper + Spear Of Shojin,219,0.006083840320026669,2.507,3.186,-0.207,-0.886,-0.676,0.0013,0.1445,0.3288,0.5936,0.863,1.577,-8.28,0.0,True
populaire,Infinity Edge + Last Whisper + Red Buff,453,0.012584382031835987,2.929,3.214,-0.179,-0.464,-0.292,0.0023,0.0762,0.2936,0.4967,0.7947,1.854,-5.29,0.0,True
pepite,Emblem Fae + Red Buff + Spear Of Shojin,135,0.003750312526043837,2.289,3.219,-0.174,-1.104,-0.862,0.0007,0.1926,0.3704,0.6519,0.9111,1.434,-8.92,0.0,True
pepite,Emblem Fae + Infinity Edge + Red Buff,100,0.0027780092785509906,2.04,3.228,-0.165,-1.353,-1.098,0.0005,0.2115,0.47,0.72,0.93,1.296,-10.41,0.0,True
,Emblem Fae + Giant Slayer + Last Whisper,79,0.0021946273300552824,1.987,3.254,-0.139,-1.406,-1.096,0.0003,0.1802,0.5316,0.7468,0.8987,1.401,-8.9,0.0,True
,Deathblade + Last Whisper + Red Buff,220,0.0061116204128121784,2.855,3.267,-0.126,-0.539,-0.308,0.0008,0.1133,0.2773,0.5,0.8318,1.739,-4.58,0.0,True
,Giant Slayer + Last Whisper + Red Buff,130,0.0036114120621162874,2.577,3.268,-0.125,-0.816,-0.54,0.0005,0.1584,0.3154,0.5615,0.8769,1.602,-5.79,0.0,True
,Emblem Fae + Infinity Edge + Strikers Flail,96,0.0026668889074089506,2.51,3.289,-0.104,-0.883,-0.535,0.0003,0.1357,0.4062,0.6146,0.8542,1.738,-4.97,0.0,True
,Emblem Fae + Giant Slayer + Infinity Edge,56,0.0015556851959885546,2.0,3.293,-0.101,-1.393,-1.061,0.0002,0.2101,0.4821,0.7321,0.9286,1.268,-8.21,0.0,True
,Emblem Fae + Deathblade + Last Whisper,84,0.002333527793982832,2.488,3.299,-0.095,-0.905,-0.519,0.0002,0.1267,0.381,0.6667,0.8452,1.803,-4.6,0.0,True
,Emblem Fae + Deathblade + Red Buff,63,0.001750145845487124,2.302,3.305,-0.088,-1.092,-0.74,0.0002,0.2021,0.381,0.6508,0.9206,1.421,-6.09,0.0,True
,Last Whisper + Red Buff + Spear Of Shojin,401,0.011139817206989472,3.165,3.311,-0.082,-0.229,-0.039,0.0009,0.0271,0.2444,0.4539,0.7456,1.931,-2.36,0.0184,True
,Emblem Fae + Last Whisper + Strikers Flail,62,0.001722365752701614,2.419,3.316,-0.077,-0.974,-0.557,0.0001,0.1847,0.4677,0.6129,0.9032,1.671,-4.58,0.0,True
,Emblem Fae + Deathblade + Spear Of Shojin,77,0.0021390671444842624,2.649,3.321,-0.072,-0.744,-0.38,0.0002,0.1516,0.2727,0.5714,0.8701,1.626,-4.01,6e-05,True
,Krakens Fury + Last Whisper + Red Buff,75,0.002083506958913243,2.627,3.321,-0.072,-0.767,-0.384,0.0002,0.1482,0.3333,0.56,0.8667,1.687,-3.93,9e-05,True
,Hextech Gunblade + Last Whisper + Red Buff,42,0.001166763896991416,2.286,3.332,-0.061,-1.107,-0.639,0.0001,0.1863,0.381,0.7381,0.9048,1.547,-4.63,0.0,True
,Emblem Fae + Guinsoos Rageblade + Last Whisper,91,0.002527988443481401,2.857,3.333,-0.06,-0.536,-0.134,0.0002,0.1057,0.3626,0.5055,0.8242,1.953,-2.61,0.00893,True
,Infinity Edge + Red Buff + Strikers Flail,152,0.004222574103397506,3.066,3.336,-0.057,-0.327,-0.018,0.0002,0.0315,0.2763,0.4934,0.75,1.942,-2.07,0.03809,False
,Deathblade + Giant Slayer + Red Buff,67,0.0018612662166291635,2.731,3.337,-0.056,-0.662,-0.279,0.0001,0.1621,0.2687,0.4925,0.8806,1.598,-3.38,0.00071,True
,Emblem Fae + Giant Slayer + Spear Of Shojin,49,0.0013612245464899853,2.531,3.338,-0.055,-0.863,-0.47,0.0001,0.1386,0.2857,0.5714,0.8571,1.401,-4.3,2e-05,True
,Emblem Fae + Giant Slayer + Red Buff,44,0.0012223240825624357,2.455,3.339,-0.054,-0.939,-0.444,0.0001,0.1679,0.3636,0.6136,0.8864,1.671,-3.72,0.0002,True
,Emblem Fae + Blue Buff + Last Whisper,45,0.0012501041753479457,2.489,3.34,-0.053,-0.904,-0.483,0.0001,0.1704,0.3333,0.6,0.8889,1.439,-4.21,3e-05,True
,Last Whisper + Morellonomicon + Spear Of Shojin,40,0.0011112037114203962,2.4,3.341,-0.052,-0.993,-0.471,0.0001,0.1565,0.475,0.6,0.875,1.685,-3.72,0.0002,True
