group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Fae,5544,0.06353280924113588,2.671,2.84,-0.537,-0.706,-0.657,0.0341,0.119,0.3411,0.5738,0.8391,1.781,-28.42,0.0,True
pepite,Hextech Gunblade,2997,0.034344846554055605,3.118,3.214,-0.163,-0.258,-0.19,0.0056,0.0513,0.2249,0.4618,0.7714,1.866,-7.44,0.0,True
populaire,Red Buff,16201,0.18565927895303797,3.199,3.217,-0.16,-0.178,-0.145,0.0298,0.0349,0.225,0.446,0.755,1.912,-10.81,0.0,True
populaire,Last Whisper,29468,0.3376956750933969,3.237,3.245,-0.132,-0.14,-0.115,0.0447,0.0289,0.2199,0.4373,0.749,1.927,-10.74,0.0,True
pepite,Morellonomicon,839,0.009614723476427311,2.987,3.25,-0.127,-0.39,-0.266,0.0012,0.0689,0.2527,0.4911,0.789,1.823,-6.16,0.0,True
populaire,Blue Buff,12304,0.14100066466503175,3.25,3.266,-0.111,-0.126,-0.09,0.0156,0.0241,0.2234,0.431,0.7441,1.925,-6.8,0.0,True
pepite,Quicksilver,1201,0.013763150053860787,3.131,3.277,-0.1,-0.246,-0.143,0.0014,0.0443,0.2256,0.4421,0.7644,1.818,-4.66,0.0,True
populaire,Giant Slayer,12462,0.14281130388943641,3.276,3.288,-0.088,-0.101,-0.065,0.0126,0.0216,0.2086,0.4216,0.7417,1.907,-5.5,0.0,True
populaire,Strikers Flail,10172,0.11656849487749536,3.276,3.291,-0.086,-0.101,-0.061,0.0101,0.0245,0.2151,0.4243,0.7446,1.93,-4.99,0.0,True
populaire,Deathblade,23721,0.27183653824115883,3.316,3.32,-0.057,-0.061,-0.034,0.0155,0.0135,0.2056,0.417,0.7336,1.925,-4.34,1e-05,True
pepite,Adaptive Helm,548,0.006279938575783273,3.288,3.356,-0.021,-0.089,0.0,0.0001,0.0208,0.2117,0.3796,0.7409,1.847,-1.12,0.2632,False
pepite,Emblem Rapidfire,397,0.00454951754486489,3.275,3.358,-0.019,-0.102,0.0,0.0001,0.0154,0.2267,0.4232,0.7355,1.909,-1.07,0.28671,False
populaire,Infinity Edge,40780,0.46732827576722974,3.358,3.359,-0.018,-0.019,0.0,0.0084,0.005,0.2068,0.4091,0.7251,1.955,-1.59,0.11238,False
,Edge Of Night,145,0.0016616625793587129,3.221,3.365,-0.012,-0.156,0.0,0.0,0.0454,0.2069,0.3862,0.7655,1.74,-1.08,0.28019,False
,Infinity Edge Radiant,135,0.0015470651600925948,3.244,3.367,-0.01,-0.132,0.0,0.0,0.0132,0.2,0.4519,0.7333,1.864,-0.82,0.40939,False
,Strikers Flail Radiant,90,0.0010313767733950631,3.222,3.369,-0.008,-0.155,0.0,0.0,-0.009,0.2444,0.4111,0.7111,1.855,-0.79,0.42911,False
,Spear Of Shojin Radiant,63,0.0007219637413765442,3.333,3.375,-0.002,-0.044,0.0,0.0,0.0259,0.1746,0.3651,0.746,1.791,-0.19,0.84698,False
,Void Staff,151,0.0017304210309183837,3.391,3.378,0.001,0.014,0.0,-0.0,-0.0314,0.2318,0.4238,0.6887,2.013,0.08,0.93273,False
,Hand Of Justice,1140,0.013064105796337466,3.383,3.379,0.003,0.006,0.0,-0.0,0.0062,0.1816,0.3939,0.7263,1.912,0.11,0.91002,False
,Emblem Invoker,85,0.0009740780637620041,3.435,3.38,0.003,0.058,0.0,-0.0,-0.0024,0.2353,0.3765,0.7176,1.925,0.28,0.77977,False
,Emblem Sprykin,263,0.0030139121266989067,3.411,3.381,0.004,0.034,0.0,-0.0,-0.0015,0.1939,0.3916,0.7186,1.971,0.28,0.78151,False
,Nashors Tooth,474,0.005431917673213999,3.403,3.382,0.006,0.026,0.0,-0.0,0.0056,0.211,0.3882,0.7257,1.986,0.28,0.77568,False
,Gamblers Blade,90,0.0010313767733950631,3.5,3.383,0.006,0.123,0.0,-0.0,-0.0312,0.2,0.3889,0.6889,2.078,0.56,0.57419,False
,Deathblade Radiant,157,0.0017991794824780546,3.459,3.384,0.007,0.082,0.0,-0.0,0.006,0.1592,0.3694,0.7261,1.89,0.54,0.58843,False
,Emblem Flora Fatalis,44,0.0005042286447709197,3.659,3.384,0.007,0.282,0.0,-0.0,-0.061,0.1591,0.2727,0.6591,1.87,1.0,0.31698,False
,Emblem Lunar,44,0.0005042286447709197,3.705,3.385,0.008,0.328,0.0,-0.0,-0.0156,0.0682,0.25,0.7045,1.546,1.41,0.15993,False
,Manazane,136,0.0015585249020192064,3.507,3.386,0.009,0.13,0.0,-0.0,0.0005,0.1618,0.3603,0.7206,1.944,0.78,0.43421,False
,Gold Collector,426,0.004881850060736632,3.444,3.39,0.013,0.067,0.0,-0.0001,-0.0229,0.2324,0.4225,0.6972,2.107,0.65,0.51393,False
,Blue Buff Radiant,58,0.0006646650317434852,3.776,3.39,0.013,0.399,0.0,-0.0,-0.1166,0.1897,0.431,0.6034,2.252,1.35,0.17732,False
,Emblem Inferno,269,0.0030826705782585778,3.498,3.393,0.016,0.121,0.0,-0.0,-0.0324,0.2193,0.3717,0.6877,2.031,0.98,0.32811,False
,Dawncore,176,0.002016914579083679,3.58,3.395,0.019,0.203,0.0,-0.0,-0.0496,0.1591,0.3466,0.6705,1.884,1.43,0.15408,False
,Rapid Fire Cannon,46,0.0005271481286241434,4.348,3.402,0.025,0.971,0.428,-0.0,-0.1549,0.0652,0.1957,0.5652,1.879,3.5,0.00046,True
,Tacticians Crown,261,0.002990992642845683,3.64,3.411,0.034,0.263,0.031,-0.0001,-0.0228,0.1494,0.3065,0.6973,1.906,2.23,0.02606,True
,Silvermere Dawn,147,0.0016845820632119366,3.898,3.417,0.04,0.521,0.186,-0.0001,-0.1147,0.1497,0.2993,0.6054,2.073,3.05,0.00232,True
,Fishbones,235,0.0026930393527537758,3.779,3.425,0.048,0.402,0.132,-0.0001,-0.0946,0.1702,0.3319,0.6255,2.106,2.92,0.00349,True
,Emblem Executioner,419,0.0048016318672503494,3.659,3.431,0.055,0.282,0.084,-0.0003,-0.0733,0.1718,0.3699,0.6468,2.057,2.8,0.00513,True
populaire,Krakens Fury,5948,0.06816254497948707,3.465,3.445,0.068,0.088,0.036,-0.0046,-0.0155,0.1831,0.387,0.7046,1.957,3.34,0.00083,True
populaire,Spear Of Shojin,25471,0.2918910866127295,3.453,3.448,0.071,0.076,0.048,-0.0207,-0.0121,0.1948,0.39,0.708,1.981,5.38,0.0,True
,Emblem Blossom,2916,0.03341660745800005,3.517,3.464,0.088,0.14,0.061,-0.0029,-0.0431,0.2455,0.3975,0.677,2.14,3.48,0.0005,True
,Navori Flickerblade,270,0.0030941303201851896,4.156,3.481,0.104,0.779,0.524,-0.0003,-0.1497,0.1296,0.2778,0.5704,2.134,5.99,0.0,True
,Component Tear Of The Goddess,227,0.0026013614173408814,4.339,3.488,0.111,0.962,0.671,-0.0003,-0.1738,0.141,0.2379,0.5463,2.236,6.48,0.0,True
,Component Sparring Gloves,319,0.003655657674589168,4.179,3.501,0.124,0.802,0.572,-0.0005,-0.1402,0.1003,0.2539,0.5799,2.093,6.83,0.0,True
populaire,Guinsoos Rageblade,14562,0.16687676193532122,3.592,3.569,0.192,0.215,0.18,-0.0321,-0.0407,0.1737,0.3611,0.6794,1.999,12.07,0.0,True
,Component Recurve Bow,517,0.005924686576058307,4.311,3.59,0.214,0.935,0.755,-0.0013,-0.1862,0.1044,0.2244,0.5338,2.078,10.2,0.0,True
,Component B F Sword,788,0.009030276638170109,4.235,3.644,0.267,0.858,0.711,-0.0024,-0.1693,0.1282,0.2538,0.5508,2.097,11.44,0.0,True
