group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
,Wits End,70,0.0009788019464175848,3.6,3.381,0.011,0.23,0.0,-0.0,-0.0794,0.1857,0.3714,0.6429,2.003,0.96,0.33718,False
,Artifact Talisman Of Ascension,43,0.0006012640527993736,4.023,3.389,0.019,0.653,0.104,-0.0,-0.1408,0.1163,0.2326,0.5814,1.836,2.33,0.01972,True
,Ludens Tempest,49,0.0006851613624923094,4.122,3.395,0.025,0.752,0.205,-0.0,-0.1508,0.1429,0.2041,0.5714,1.955,2.69,0.00708,True
populaire,Infinity Force,219,0.0030622518037921585,3.621,3.403,0.033,0.251,0.0,-0.0001,-0.019,0.1416,0.3105,0.7032,1.899,1.95,0.05093,True
populaire,Gamblers Blade,299,0.00418088259969797,3.572,3.405,0.035,0.202,0.0,-0.0001,-0.0266,0.1605,0.3612,0.6957,1.977,1.76,0.07829,True
,Titanic Hydra,76,0.0010626992561105207,4.132,3.409,0.038,0.761,0.281,-0.0,-0.2091,0.1711,0.3026,0.5132,2.136,3.11,0.00189,True
,Statikk Shiv,101,0.0014122713798310868,4.109,3.419,0.049,0.739,0.335,-0.0001,-0.1381,0.1188,0.2574,0.5842,2.068,3.59,0.00033,True
populaire,Silvermere Dawn,175,0.0024470048660439623,3.943,3.433,0.062,0.573,0.259,-0.0002,-0.1394,0.1714,0.2971,0.5829,2.116,3.58,0.00035,True
populaire,Dawncore,328,0.004586386263213826,3.707,3.433,0.063,0.337,0.124,-0.0003,-0.0454,0.128,0.3262,0.6768,1.966,3.1,0.00194,True
populaire,Gold Collector,606,0.00847362827898652,3.591,3.436,0.066,0.221,0.052,-0.0006,-0.0424,0.2046,0.3861,0.6799,2.106,2.57,0.01017,True
populaire,Manazane,296,0.004138933944851502,3.767,3.438,0.068,0.397,0.169,-0.0003,-0.0668,0.1453,0.2905,0.6554,1.992,3.42,0.00063,True
populaire,Fishbones,420,0.005872811678505509,3.757,3.458,0.088,0.387,0.19,-0.0005,-0.0722,0.1643,0.3262,0.65,2.058,3.84,0.00012,True
populaire,Rapid Fire Cannon,220,0.003076234688740981,4.123,3.47,0.1,0.753,0.482,-0.0003,-0.154,0.1045,0.2818,0.5682,2.045,5.45,0.0,True
populaire,Mittens,152,0.0021253985122210413,4.447,3.474,0.103,1.077,0.738,-0.0002,-0.1828,0.0855,0.2105,0.5395,2.13,6.23,0.0,True
populaire,Navori Flickerblade,499,0.006977459589462498,4.08,3.554,0.184,0.71,0.526,-0.0013,-0.1491,0.1343,0.2846,0.5731,2.091,7.56,0.0,True
