group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Red Buff,8477,0.17957082636049737,3.063,3.098,-0.308,-0.342,-0.299,0.0553,0.0647,0.2473,0.4749,0.7796,1.867,-15.44,0.0,True
pepite,Morellonomicon,800,0.01694663926959985,2.829,3.141,-0.264,-0.577,-0.454,0.0045,0.1113,0.2875,0.5225,0.8263,1.754,-9.2,0.0,True
pepite,Hextech Gunblade,2156,0.04567119283157159,3.155,3.231,-0.174,-0.25,-0.169,0.008,0.0508,0.2222,0.4578,0.7658,1.879,-6.04,0.0,True
populaire,Last Whisper,15946,0.33778888724129896,3.249,3.258,-0.147,-0.156,-0.121,0.0498,0.0262,0.2249,0.43,0.7412,1.927,-8.82,0.0,True
pepite,Quicksilver,1158,0.024530260342745778,3.204,3.294,-0.111,-0.202,-0.092,0.0027,0.0432,0.2245,0.4318,0.7582,1.883,-3.6,0.00032,True
pepite,Edge Of Night,368,0.00779545406401593,3.092,3.318,-0.088,-0.313,-0.129,0.0007,0.0785,0.2038,0.4592,0.7935,1.794,-3.33,0.00087,True
pepite,Tacticians Crown,366,0.007753087465841931,3.32,3.381,-0.024,-0.086,0.0,0.0002,0.0419,0.1776,0.4126,0.7568,1.854,-0.88,0.37875,False
pepite,Adaptive Helm,487,0.010316266655368908,3.37,3.393,-0.012,-0.036,0.0,0.0001,0.0304,0.1889,0.384,0.7454,1.883,-0.42,0.6773,False
populaire,Strikers Flail,7745,0.16406465142881352,3.392,3.393,-0.012,-0.013,0.0,0.002,0.0023,0.1912,0.3929,0.7172,1.915,-0.57,0.5674,False
populaire,Giant Slayer,8714,0.18459126824411634,3.396,3.397,-0.008,-0.009,0.0,0.0015,0.0062,0.1889,0.3911,0.7211,1.915,-0.41,0.68184,False
,Titans Resolve,197,0.004173109920138963,3.36,3.398,-0.008,-0.045,0.0,0.0,-0.0043,0.2284,0.401,0.7107,1.953,-0.32,0.74736,False
,Rabadons Deathcap,72,0.0015251975342639862,3.486,3.411,0.006,0.081,0.0,-0.0,-0.0205,0.1806,0.3194,0.6944,1.716,0.4,0.6898,False
,Archangels Staff,78,0.001652297328785985,3.641,3.423,0.018,0.236,0.0,-0.0,0.003,0.141,0.3205,0.7179,1.993,1.04,0.29674,False
,Steraks Gage,115,0.0024360793950049782,3.6,3.426,0.021,0.195,0.0,-0.0001,-0.0454,0.1652,0.3739,0.6696,1.982,1.05,0.29267,False
,Nashors Tooth,660,0.013980977397419873,3.465,3.43,0.025,0.06,0.0,-0.0003,0.0032,0.1909,0.3697,0.7182,1.967,0.78,0.43772,False
populaire,Blue Buff,4218,0.0893511555489652,3.437,3.431,0.026,0.031,0.0,-0.0023,0.0024,0.1795,0.3807,0.7174,1.919,1.02,0.30945,False
populaire,Deathblade,12559,0.2660410532336306,3.438,3.435,0.03,0.032,0.0,-0.008,-0.0021,0.1816,0.3825,0.7129,1.92,1.67,0.09405,False
populaire,Spear Of Shojin,15717,0.332937911750376,3.438,3.436,0.031,0.033,0.0,-0.0103,-0.0064,0.1928,0.3877,0.7085,1.952,1.82,0.0689,False
,Hand Of Justice,1200,0.02541995890439977,3.469,3.441,0.036,0.064,0.0,-0.0009,-0.0066,0.1875,0.3792,0.7083,1.938,1.13,0.25979,False
,Void Staff,215,0.004554409303704959,3.614,3.444,0.039,0.209,0.0,-0.0002,-0.0312,0.1488,0.3256,0.6837,1.908,1.6,0.10976,False
,Bloodthirster,203,0.004300209714660962,3.685,3.455,0.049,0.279,0.008,-0.0002,-0.0204,0.1429,0.335,0.6946,1.967,2.02,0.04348,True
,Jeweled Gauntlet,244,0.0051687249772279535,3.742,3.474,0.069,0.336,0.083,-0.0004,-0.051,0.1516,0.3238,0.6639,2.015,2.6,0.00926,True
,Component Needlessly Large Rod,124,0.0026267290867879765,4.008,3.475,0.07,0.603,0.267,-0.0002,-0.0779,0.0887,0.2177,0.6371,1.907,3.51,0.00044,True
populaire,Infinity Edge,24518,0.5193721270150613,3.479,3.477,0.071,0.074,0.044,-0.0371,-0.0147,0.1866,0.375,0.7003,1.95,4.83,0.0,True
populaire,Krakens Fury,4894,0.10367106573177706,3.514,3.496,0.091,0.108,0.051,-0.0094,-0.0225,0.1784,0.369,0.6925,1.951,3.7,0.00022,True
,Component Tear Of The Goddess,259,0.005486474463532951,3.938,3.52,0.115,0.533,0.278,-0.0006,-0.0895,0.1429,0.3012,0.6255,2.09,4.09,4e-05,True
,Component Sparring Gloves,386,0.008176753447581927,4.104,3.608,0.203,0.698,0.495,-0.0017,-0.1424,0.1347,0.2565,0.5725,2.032,6.73,0.0,True
,Component Recurve Bow,523,0.0110788654225009,4.054,3.636,0.231,0.648,0.468,-0.0026,-0.1184,0.13,0.2811,0.5966,2.091,7.06,0.0,True
,Component B F Sword,618,0.013091278835765881,4.071,3.669,0.263,0.666,0.494,-0.0034,-0.1405,0.144,0.2961,0.5744,2.17,7.59,0.0,True
populaire,Guinsoos Rageblade,11909,0.2522719088270807,3.709,3.686,0.281,0.303,0.264,-0.0709,-0.0597,0.154,0.33,0.6553,1.977,15.01,0.0,True
