group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Fae,6618,0.10166991842440816,2.667,2.791,-0.63,-0.754,-0.708,0.064,0.1278,0.3391,0.5752,0.8388,1.769,-32.66,0.0,True
populaire,Emblem Sprykin,872,0.013396217719263208,3.162,3.317,-0.104,-0.259,-0.131,0.0014,0.0367,0.2477,0.4495,0.7477,1.923,-3.95,8e-05,True
populaire,Emblem Rapidfire,946,0.014533052709200682,3.211,3.333,-0.088,-0.209,-0.089,0.0013,0.0353,0.2167,0.4334,0.7463,1.868,-3.42,0.00063,True
pepite,Emblem Brawler,55,0.0008449449249535281,3.091,3.407,-0.013,-0.33,0.0,0.0,0.0527,0.2364,0.4727,0.7636,1.947,-1.26,0.20912,False
pepite,Emblem Elderwood,100,0.0015362634999155054,3.33,3.414,-0.006,-0.091,0.0,0.0,0.019,0.22,0.44,0.73,2.055,-0.44,0.65865,False
pepite,Emblem Juggernaut,46,0.0007066812099611325,3.326,3.418,-0.003,-0.095,0.0,0.0,-0.0588,0.2609,0.4783,0.6522,2.075,-0.31,0.75691,False
populaire,Emblem Flora Fatalis,313,0.004808504754735533,3.435,3.423,0.003,0.014,0.0,-0.0,0.0047,0.2204,0.4121,0.7157,2.065,0.12,0.90693,False
,Emblem Defender,69,0.0010600218149416987,3.638,3.432,0.011,0.217,0.0,-0.0,-0.0443,0.1594,0.4058,0.6667,2.057,0.88,0.38141,False
,Emblem Flora Fatalis Augment,87,0.0013365492449264897,3.655,3.436,0.015,0.234,0.0,-0.0,-0.0328,0.1609,0.3448,0.6782,2.039,1.07,0.28399,False
,Emblem Spellweaver,90,0.001382637149923955,3.744,3.442,0.021,0.324,0.0,-0.0,-0.0776,0.1444,0.3333,0.6333,1.93,1.59,0.11187,False
populaire,Emblem Invoker,401,0.006160416634661177,3.589,3.46,0.039,0.168,0.0,-0.0002,-0.0476,0.1621,0.3541,0.6633,1.889,1.77,0.07644,False
,Emblem Blackthorn,119,0.0018281535648994515,3.924,3.463,0.042,0.504,0.157,-0.0001,-0.0639,0.1176,0.2773,0.6471,1.928,2.85,0.00442,True
populaire,Emblem Lunar,333,0.005115757454718634,3.637,3.465,0.044,0.216,0.009,-0.0002,-0.0353,0.1321,0.3483,0.6757,1.918,2.05,0.04059,True
populaire,Emblem Executioner,941,0.014456239534204907,3.545,3.473,0.052,0.124,0.0,-0.0008,-0.0415,0.2136,0.3985,0.6695,2.089,1.81,0.06961,False
populaire,Emblem Slayer,241,0.0037023950347963683,3.788,3.478,0.057,0.368,0.136,-0.0002,-0.072,0.112,0.2946,0.639,1.834,3.11,0.0019,True
populaire,Emblem Inferno,768,0.011798503679351082,3.577,3.479,0.058,0.156,0.016,-0.0007,-0.0248,0.1693,0.3607,0.6862,1.964,2.19,0.02868,True
populaire,Emblem Blossom,1606,0.02467239180864302,3.559,3.497,0.076,0.138,0.034,-0.0019,-0.0366,0.2173,0.3829,0.6743,2.093,2.61,0.0091,True
