group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Red Buff Radiant,130,0.0018332064190427842,3.277,3.427,-0.014,-0.164,0.0,0.0,0.0489,0.1769,0.3615,0.7538,1.728,-1.08,0.28051,False
populaire,Last Whisper Radiant,128,0.001805003243365203,3.414,3.438,-0.002,-0.027,0.0,0.0,-0.0253,0.2188,0.3984,0.6797,2.01,-0.15,0.88115,False
populaire,Giant Slayer Radiant,225,0.0031728572637278957,3.484,3.447,0.006,0.044,0.0,-0.0,-0.0205,0.1956,0.3689,0.6844,1.948,0.34,0.7364,False
populaire,Blue Buff Radiant,127,0.0017909016555264124,3.528,3.448,0.007,0.087,0.0,-0.0,-0.0199,0.1575,0.3386,0.685,1.822,0.54,0.59129,False
populaire,Infinity Edge Radiant,468,0.006599543108554023,3.468,3.447,0.007,0.027,0.0,-0.0,0.0237,0.156,0.359,0.7286,1.834,0.32,0.74839,False
populaire,Krakens Fury Radiant,74,0.0010435175000705079,3.716,3.454,0.014,0.276,0.0,-0.0,-0.0158,0.1216,0.3243,0.6892,1.9,1.25,0.21233,False
populaire,Spear Of Shojin Radiant,192,0.0027075048650478046,3.562,3.455,0.015,0.122,0.0,-0.0,-0.007,0.1667,0.3594,0.6979,1.968,0.86,0.39146,False
populaire,Strikers Flail Radiant,205,0.002890825506952083,3.712,3.475,0.034,0.272,0.0,-0.0001,-0.0757,0.1902,0.3659,0.6293,2.118,1.83,0.06681,False
populaire,Deathblade Radiant,391,0.005513720844967144,3.619,3.479,0.039,0.178,0.0,-0.0002,-0.0195,0.1637,0.3453,0.6854,1.965,1.79,0.07367,False
populaire,Guinsoos Rageblade Radiant,152,0.0021434413514961784,4.237,3.518,0.077,0.796,0.46,-0.0002,-0.1523,0.1053,0.2763,0.5526,2.111,4.65,0.0,True
