group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Fae + Last Whisper,1295,0.035975220157235324,2.412,2.762,-0.631,-0.982,-0.891,0.0227,0.1595,0.3977,0.6332,0.878,1.627,-21.18,0.0,True
pepite,Emblem Fae + Red Buff,835,0.02319637747590077,2.286,2.799,-0.594,-1.107,-1.005,0.0138,0.1917,0.4024,0.6551,0.9102,1.473,-21.3,0.0,True
pepite,Emblem Fae + Infinity Edge,1063,0.02953023863099703,2.571,2.903,-0.49,-0.822,-0.717,0.0145,0.1338,0.3565,0.5964,0.8523,1.716,-15.34,0.0,True
pepite,Emblem Fae + Spear Of Shojin,860,0.023890879795538517,2.5,2.907,-0.486,-0.893,-0.784,0.0116,0.1478,0.3453,0.6023,0.8663,1.603,-16.07,0.0,True
populaire,Last Whisper + Red Buff,2116,0.05878267633413896,2.836,2.978,-0.415,-0.557,-0.478,0.0244,0.0995,0.2916,0.5203,0.8181,1.783,-13.89,0.0,True
pepite,Emblem Fae + Giant Slayer,317,0.00880628941300664,2.334,3.069,-0.324,-1.059,-0.891,0.0029,0.1648,0.4006,0.6309,0.8833,1.516,-12.35,0.0,True
pepite,Emblem Fae + Deathblade,440,0.012223240825624357,2.616,3.098,-0.295,-0.777,-0.613,0.0036,0.1338,0.3364,0.5977,0.8523,1.741,-9.29,0.0,True
,Emblem Fae + Strikers Flail,245,0.006806122732449927,2.461,3.157,-0.237,-0.932,-0.718,0.0016,0.159,0.4122,0.6245,0.8776,1.701,-8.54,0.0,True
,Emblem Fae + Blue Buff,213,0.005917159763313609,2.521,3.194,-0.199,-0.872,-0.664,0.0012,0.1641,0.3427,0.5915,0.8826,1.54,-8.23,0.0,True
,Giant Slayer + Red Buff,678,0.018834902908575715,3.012,3.208,-0.185,-0.381,-0.242,0.0035,0.0794,0.2463,0.4735,0.7979,1.827,-5.38,0.0,True
,Giant Slayer + Last Whisper,1359,0.03775314609550796,3.13,3.221,-0.172,-0.263,-0.163,0.0065,0.0453,0.2296,0.4518,0.7638,1.849,-5.14,0.0,True
,Emblem Fae + Guinsoos Rageblade,426,0.011834319526627219,2.939,3.224,-0.169,-0.454,-0.282,0.002,0.1031,0.2723,0.4718,0.8216,1.803,-5.17,0.0,True
,Infinity Edge + Red Buff,2021,0.05614356751951551,3.166,3.226,-0.167,-0.227,-0.14,0.0094,0.0341,0.241,0.4577,0.7526,1.929,-5.15,0.0,True
,Deathblade + Red Buff,1044,0.02900241686807234,3.121,3.232,-0.161,-0.272,-0.161,0.0047,0.0736,0.2241,0.4339,0.7921,1.809,-4.79,0.0,True
,Last Whisper + Morellonomicon,163,0.004528155124038115,2.693,3.264,-0.129,-0.7,-0.439,0.0006,0.1281,0.3497,0.5399,0.8466,1.696,-5.25,0.0,True
,Krakens Fury + Red Buff,351,0.009750812567713976,3.003,3.265,-0.128,-0.39,-0.206,0.0012,0.0906,0.2393,0.4501,0.8091,1.752,-4.15,3e-05,True
,Red Buff + Spear Of Shojin,1658,0.04605939383837542,3.213,3.267,-0.126,-0.18,-0.086,0.0058,0.036,0.2201,0.4457,0.7545,1.922,-3.73,0.00019,True
,Hextech Gunblade + Last Whisper,355,0.009861932938856016,3.028,3.273,-0.121,-0.365,-0.172,0.0012,0.0702,0.2338,0.5042,0.7887,1.848,-3.7,0.00021,True
,Hextech Gunblade + Red Buff,191,0.005305997722032392,2.848,3.279,-0.114,-0.545,-0.296,0.0006,0.1244,0.267,0.5236,0.8429,1.752,-4.28,2e-05,True
,Emblem Fae + Krakens Fury,153,0.004250354196183016,2.745,3.28,-0.114,-0.648,-0.386,0.0005,0.1442,0.2745,0.5359,0.8627,1.651,-4.84,0.0,True
,Red Buff + Strikers Flail,384,0.010667555629635802,3.078,3.284,-0.11,-0.315,-0.125,0.0012,0.0523,0.2396,0.487,0.7708,1.889,-3.25,0.00115,True
,Emblem Fae + Hextech Gunblade,81,0.0022501875156263024,2.457,3.298,-0.095,-0.936,-0.566,0.0002,0.1704,0.3827,0.6296,0.8889,1.7,-4.95,0.0,True
,Last Whisper + Quicksilver,177,0.004917076423035253,2.915,3.299,-0.094,-0.478,-0.225,0.0005,0.0894,0.2599,0.4633,0.8079,1.71,-3.71,0.00021,True
,Hextech Gunblade + Spear Of Shojin,343,0.009528571825429898,3.108,3.301,-0.092,-0.285,-0.087,0.0009,0.0687,0.2362,0.4577,0.7872,1.86,-2.83,0.00472,True
,Krakens Fury + Last Whisper,704,0.01955718532099897,3.222,3.308,-0.085,-0.172,-0.031,0.0017,0.0443,0.2173,0.4219,0.7628,1.882,-2.39,0.01665,True
,Last Whisper + Strikers Flail,1007,0.027974553435008473,3.264,3.318,-0.075,-0.129,-0.012,0.0021,0.0243,0.2006,0.4161,0.7428,1.873,-2.15,0.03126,True
,Quicksilver + Red Buff,77,0.0021390671444842624,2.662,3.323,-0.071,-0.731,-0.347,0.0002,0.1646,0.3247,0.5325,0.8831,1.718,-3.73,0.00019,True
,Emblem Rapidfire + Last Whisper,110,0.0030558102064060892,2.864,3.323,-0.07,-0.53,-0.178,0.0002,0.0542,0.3273,0.5182,0.7727,1.88,-2.95,0.00319,True
populaire,Last Whisper + Spear Of Shojin,3422,0.0950634775120149,3.312,3.326,-0.067,-0.081,-0.014,0.0064,0.0056,0.2142,0.4091,0.7241,1.914,-2.37,0.01801,True
,Emblem Sprykin + Spear Of Shojin,90,0.0025002083506958915,2.833,3.331,-0.062,-0.56,-0.223,0.0002,0.1259,0.3111,0.4222,0.8444,1.628,-3.26,0.00113,True
,Emblem Sprykin + Infinity Edge,154,0.004278134288968525,3.052,3.333,-0.06,-0.341,-0.047,0.0003,0.0542,0.2792,0.4481,0.7727,1.858,-2.27,0.02297,True
