group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Fae,10871,0.3019973886712782,2.668,2.713,-0.68,-0.725,-0.688,0.2053,0.1357,0.3005,0.5518,0.8542,1.64,-38.67,0.0,True
populaire,Sprykin,10331,0.2869961385671028,2.762,2.803,-0.59,-0.631,-0.593,0.1694,0.1201,0.2812,0.5302,0.8386,1.681,-32.5,0.0,True
populaire,Brawler,8575,0.23821429563574742,2.885,2.924,-0.469,-0.508,-0.465,0.1117,0.0841,0.2872,0.5107,0.8026,1.806,-23.09,0.0,True
pepite,Emerald,7351,0.2042114620662833,2.96,2.999,-0.394,-0.433,-0.386,0.0805,0.0734,0.2756,0.5025,0.7919,1.861,-18.06,0.0,True
pepite,Sprykin,1116,0.031002583548629052,2.753,3.004,-0.389,-0.64,-0.537,0.0121,0.105,0.3163,0.5341,0.8235,1.739,-12.08,0.0,True
pepite,Lux Unique Trait,4104,0.11400950079173264,2.955,3.021,-0.373,-0.438,-0.378,0.0425,0.0729,0.2702,0.5083,0.7914,1.851,-14.3,0.0,True
pepite,Rival,1341,0.037253104425368784,2.826,3.024,-0.369,-0.567,-0.468,0.0137,0.1033,0.2998,0.5317,0.8218,1.806,-11.26,0.0,True
pepite,Elderwood,1591,0.044198127621746255,2.859,3.026,-0.368,-0.534,-0.445,0.0162,0.0892,0.2747,0.5141,0.8077,1.767,-11.75,0.0,True
populaire,Defender,16217,0.4505097647026141,3.013,3.029,-0.364,-0.38,-0.346,0.1639,0.0721,0.2475,0.4759,0.7906,1.808,-21.74,0.0,True
pepite,Greenfather,5237,0.14548434591771536,3.067,3.107,-0.286,-0.326,-0.27,0.0417,0.047,0.2692,0.4758,0.7655,1.906,-11.53,0.0,True
,Hunter,2412,0.06700558379864989,3.028,3.112,-0.281,-0.365,-0.291,0.0188,0.0775,0.2388,0.4619,0.796,1.78,-9.7,0.0,True
populaire,Hunter,8154,0.22651887657304776,3.114,3.136,-0.257,-0.279,-0.234,0.0581,0.0487,0.2374,0.4572,0.7672,1.862,-12.14,0.0,True
populaire,Vanguard,9403,0.2612162124621496,3.153,3.171,-0.223,-0.24,-0.196,0.0582,0.0408,0.2448,0.4578,0.7593,1.927,-10.73,0.0,True
,Rapidfire,1344,0.03733644470372531,3.069,3.182,-0.211,-0.324,-0.227,0.0079,0.0776,0.2173,0.4568,0.7961,1.784,-6.52,0.0,True
