group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Gnar Small,7148,0.32286914494782964,2.834,2.866,-0.524,-0.556,-0.507,0.169,0.0947,0.2945,0.532,0.8151,1.803,-22.18,0.0,True
pepite,Rengar,541,0.02443651474773025,2.438,2.866,-0.523,-0.952,-0.808,0.0128,0.1521,0.3919,0.6396,0.8725,1.68,-12.96,0.0,True
pepite,Taric,3760,0.16983603595465016,2.838,2.896,-0.494,-0.552,-0.488,0.0838,0.0959,0.2899,0.5324,0.8162,1.804,-17.11,0.0,True
pepite,Lux Base,2694,0.1216857129951669,2.837,2.915,-0.474,-0.552,-0.477,0.0577,0.0956,0.3066,0.5397,0.8159,1.862,-14.45,0.0,True
populaire,Ashe,10875,0.4912145986720267,2.927,2.945,-0.444,-0.463,-0.42,0.2183,0.0873,0.2693,0.4979,0.8076,1.805,-21.27,0.0,True
pepite,Rammus,4187,0.18912326663354262,2.905,2.952,-0.438,-0.484,-0.424,0.0828,0.0843,0.2759,0.513,0.8046,1.814,-15.64,0.0,True
pepite,Ivern,2434,0.10994173178553683,2.942,3.011,-0.379,-0.448,-0.367,0.0416,0.0656,0.2921,0.5205,0.7859,1.916,-10.92,0.0,True
pepite,Kobuko,2571,0.11612990649984191,2.951,3.016,-0.374,-0.438,-0.365,0.0434,0.0786,0.2563,0.4951,0.7989,1.788,-11.64,0.0,True
,Sejuani,2470,0.11156782149148561,2.989,3.05,-0.34,-0.401,-0.331,0.0379,0.106,0.1842,0.4644,0.8263,1.643,-11.27,0.0,True
populaire,Rakan,8030,0.36270834274357466,3.035,3.054,-0.336,-0.355,-0.308,0.1219,0.0736,0.2309,0.4731,0.7939,1.8,-14.76,0.0,True
,Maokai,3767,0.1701522200641402,3.021,3.06,-0.33,-0.369,-0.303,0.0561,0.0649,0.2668,0.489,0.7852,1.894,-10.99,0.0,True
populaire,Lillia,5912,0.26704006504358824,3.079,3.101,-0.289,-0.311,-0.256,0.0772,0.0534,0.2519,0.4711,0.7737,1.88,-11.19,0.0,True
populaire,Tristana,9280,0.4191697908667962,3.125,3.137,-0.252,-0.264,-0.219,0.1058,0.0561,0.2203,0.4544,0.7764,1.84,-11.4,0.0,True
,Caitlyn,3822,0.17263652378156194,3.149,3.174,-0.216,-0.241,-0.179,0.0372,0.0698,0.1727,0.4396,0.7902,1.754,-7.69,0.0,True
,Xayah,2173,0.0981525814174082,3.131,3.175,-0.215,-0.259,-0.179,0.0211,0.0537,0.2177,0.4399,0.774,1.797,-6.35,0.0,True
,Scuttlecrab,3333,0.1505488052757577,3.15,3.178,-0.212,-0.24,-0.176,0.0319,0.0757,0.1692,0.4299,0.796,1.724,-7.35,0.0,True
,Alune,854,0.0385744613577849,3.076,3.183,-0.206,-0.314,-0.185,0.008,0.049,0.2494,0.4731,0.7693,1.882,-4.77,0.0,True
,Teemo,394,0.017796648448439405,2.952,3.183,-0.206,-0.438,-0.257,0.0037,0.0868,0.2411,0.5178,0.8071,1.815,-4.74,0.0,True
,Kennen,1851,0.08360811238086635,3.169,3.212,-0.178,-0.221,-0.129,0.0149,0.0382,0.2442,0.4527,0.7585,1.934,-4.71,0.0,True
,Elder Dragon,394,0.017796648448439405,3.066,3.237,-0.152,-0.324,-0.132,0.0027,0.0411,0.297,0.4797,0.7614,1.926,-3.3,0.00095,True
,Draven,651,0.02940512218257374,3.25,3.307,-0.083,-0.139,0.0,0.0024,0.0186,0.2396,0.4286,0.7389,1.944,-1.8,0.07163,True
populaire,Vi,19403,0.8764171823478929,3.357,3.357,-0.032,-0.033,0.0,0.0282,0.005,0.2074,0.4095,0.7254,1.956,-1.71,0.08726,True
,Aphelios,446,0.02014544469036542,3.379,3.384,-0.005,-0.011,0.0,0.0001,0.0174,0.1839,0.3857,0.7377,1.856,-0.12,0.90373,False
,Amumu,5065,0.22878178779529337,3.43,3.427,0.037,0.04,0.0,-0.0085,-0.0096,0.198,0.3941,0.7108,1.97,1.32,0.1883,False
,Kha Zix,102,0.004607254166854872,3.667,3.442,0.052,0.277,0.0,-0.0002,-0.034,0.1667,0.3235,0.6863,1.962,1.42,0.15487,False
,Le Blanc,102,0.004607254166854872,3.735,3.454,0.065,0.346,0.0,-0.0003,-0.1223,0.1373,0.3137,0.598,1.904,1.83,0.06745,True
,Zyra,5010,0.22629748407787162,3.467,3.46,0.071,0.077,0.016,-0.016,-0.0239,0.2056,0.394,0.6964,2.012,2.46,0.014,True
,Hecarim,1278,0.05772618456118162,3.496,3.469,0.079,0.106,0.0,-0.0046,-0.0051,0.1643,0.3584,0.7152,1.9,1.94,0.05192,True
,Veigar,295,0.013324901757080265,3.597,3.472,0.083,0.207,0.0,-0.0011,-0.039,0.1458,0.3322,0.6814,1.833,1.92,0.05428,True
,Cinderling,2089,0.09435837210352771,3.496,3.478,0.088,0.107,0.024,-0.0083,-0.0114,0.1379,0.3542,0.709,1.826,2.54,0.01116,True
,Sentinel,3801,0.17168797145309184,3.488,3.478,0.088,0.099,0.033,-0.0152,-0.0105,0.1692,0.3667,0.7098,1.914,2.92,0.00345,True
,Sentry,281,0.012692533538100185,3.619,3.479,0.089,0.23,0.025,-0.0011,-0.0157,0.0854,0.306,0.7046,1.737,2.2,0.02802,True
,Leona,117,0.005284791544333529,3.838,3.483,0.094,0.448,0.109,-0.0005,-0.1135,0.1026,0.2906,0.6068,1.867,2.59,0.00967,True
,Crimson Raptor,249,0.011247120466145715,3.695,3.499,0.11,0.305,0.065,-0.0012,-0.0416,0.1165,0.3293,0.6787,1.921,2.49,0.01271,True
,Varus,190,0.008582140114729662,3.763,3.502,0.112,0.373,0.1,-0.001,-0.0782,0.1421,0.3,0.6421,1.917,2.67,0.00751,True
,Ornn,325,0.014679976512037582,3.662,3.505,0.115,0.272,0.044,-0.0017,-0.0619,0.1846,0.3631,0.6585,2.086,2.33,0.0196,True
,Gromp A P,282,0.012737702696598763,3.699,3.51,0.12,0.309,0.115,-0.0015,-0.0075,0.0674,0.2589,0.7128,1.647,3.12,0.0018,True
,Murkwolf,196,0.008853155065721126,3.801,3.516,0.126,0.411,0.154,-0.0011,-0.0468,0.0612,0.2755,0.6735,1.828,3.13,0.00173,True
populaire,Sett,9061,0.4092777451556078,3.536,3.529,0.139,0.146,0.097,-0.0571,-0.0378,0.2035,0.3815,0.6825,2.048,5.8,0.0,True
,Warwick,115,0.0051944532273363745,4.087,3.533,0.144,0.697,0.352,-0.0007,-0.1638,0.113,0.2261,0.5565,1.882,3.96,7e-05,True
,Kog Maw A D,1646,0.07434843488865803,3.583,3.542,0.153,0.194,0.1,-0.0113,-0.0107,0.1318,0.3299,0.7096,1.86,4.06,5e-05,True
populaire,Karma,6605,0.29834229188310224,3.559,3.548,0.159,0.169,0.114,-0.0474,-0.0432,0.2035,0.3759,0.6771,2.056,5.94,0.0,True
populaire,Ahri,7764,0.35069334658295315,3.558,3.549,0.16,0.169,0.116,-0.056,-0.0427,0.2009,0.3749,0.6776,2.046,6.32,0.0,True
populaire,Yorick,8183,0.369619223993857,3.559,3.55,0.161,0.169,0.118,-0.0594,-0.0427,0.2022,0.377,0.6776,2.053,6.46,0.0,True
,Elise,1156,0.05221554722435521,3.629,3.563,0.173,0.239,0.122,-0.009,-0.0239,0.1471,0.3538,0.6964,1.991,3.98,7e-05,True
,Ezreal,322,0.014544469036541849,3.804,3.564,0.175,0.415,0.185,-0.0025,-0.0619,0.1584,0.3075,0.6584,2.086,3.55,0.00039,True
,Nidalee A P,3283,0.14829034735082885,3.618,3.591,0.201,0.228,0.158,-0.0298,-0.0243,0.1429,0.332,0.696,1.906,6.37,0.0,True
,Soraka,389,0.01757080265594652,3.835,3.598,0.208,0.446,0.24,-0.0037,-0.0725,0.1388,0.3162,0.6478,2.052,4.25,2e-05,True
,Rek Sai,1128,0.05095081078639505,3.696,3.61,0.22,0.306,0.192,-0.0112,-0.0483,0.1303,0.3147,0.672,1.901,5.27,0.0,True
,Morgana,1006,0.04544017344956863,3.712,3.613,0.224,0.322,0.195,-0.0102,-0.0464,0.1471,0.334,0.674,2.013,4.97,0.0,True
,Fiddlesticks,916,0.04137494918469669,3.738,3.624,0.235,0.348,0.217,-0.0097,-0.0718,0.155,0.3264,0.6485,1.984,5.21,0.0,True
,Diana,1167,0.05271240796783956,3.724,3.632,0.242,0.334,0.218,-0.0128,-0.0536,0.1517,0.3171,0.6667,1.975,5.64,0.0,True
,Shen,1508,0.06811509101585438,3.724,3.648,0.259,0.334,0.23,-0.0176,-0.0691,0.1618,0.3276,0.6512,2.005,6.28,0.0,True
,Akali A D,389,0.01757080265594652,3.959,3.656,0.266,0.569,0.371,-0.0047,-0.1085,0.1183,0.2776,0.6118,1.975,5.64,0.0,True
,Azir,319,0.014408961561046117,4.063,3.672,0.282,0.673,0.444,-0.0041,-0.1278,0.1442,0.2665,0.5925,2.07,5.77,0.0,True
,Krug,1895,0.08559555535480375,3.738,3.672,0.283,0.349,0.257,-0.0242,-0.0644,0.1361,0.3182,0.6559,1.958,7.44,0.0,True
,Brambleback,478,0.02159085776231989,3.99,3.701,0.311,0.6,0.421,-0.0067,-0.1094,0.1025,0.2657,0.6109,1.973,6.58,0.0,True
,Malphite,1634,0.0738064049866751,3.824,3.732,0.342,0.435,0.335,-0.0252,-0.0734,0.134,0.2968,0.6469,1.977,8.58,0.0,True
,Alistar,611,0.02759835584263065,4.029,3.761,0.371,0.64,0.474,-0.0102,-0.1262,0.1358,0.2782,0.5941,2.071,7.54,0.0,True
,Cassiopeia,249,0.011247120466145715,4.659,3.846,0.457,1.269,1.012,-0.0051,-0.2384,0.0602,0.1847,0.4819,2.059,9.67,0.0,True
,Camille,282,0.012737702696598763,4.645,3.878,0.489,1.256,1.014,-0.0062,-0.2203,0.0638,0.1773,0.5,2.06,10.18,0.0,True
,Master Yi A D,2003,0.09047382447265008,4.069,3.946,0.557,0.68,0.585,-0.0504,-0.1317,0.1463,0.2601,0.5886,2.077,14.09,0.0,True
,Yunara,1430,0.06459189665296536,4.227,4.029,0.639,0.837,0.722,-0.0413,-0.1888,0.1531,0.2615,0.5315,2.169,14.22,0.0,True
