group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Dawncore + Rabadons Deathcap + Spear Of Shojin,258,0.0033372138145129995,2.76,3.593,-0.139,-0.972,-0.742,0.0005,0.1647,0.3372,0.5504,0.8178,1.877,-8.3,0.0,True
populaire,Archangels Staff + Rabadons Deathcap + Spear Of Shojin,1273,0.016466175139050576,3.474,3.615,-0.116,-0.257,-0.144,0.0019,0.0602,0.2082,0.3881,0.7133,2.038,-4.46,1e-05,True
populaire,Nashors Tooth + Rabadons Deathcap + Spear Of Shojin,2409,0.031160263872720216,3.582,3.64,-0.091,-0.15,-0.068,0.0028,0.0347,0.181,0.3587,0.6878,1.999,-3.61,0.0003,True
pepite,Adaptive Helm + Rabadons Deathcap + Spear Of Shojin,396,0.005122235157159488,3.361,3.656,-0.076,-0.37,-0.176,0.0004,0.0716,0.1944,0.4192,0.7247,1.973,-3.73,0.00019,True
pepite,Rabadons Deathcap + Rabadons Deathcap + Spear Of Shojin,338,0.00437200879575734,3.373,3.667,-0.064,-0.359,-0.145,0.0003,0.0629,0.2071,0.4231,0.716,1.998,-3.29,0.00099,True
pepite,Dawncore + Nashors Tooth + Rabadons Deathcap,164,0.002121329711550899,3.085,3.67,-0.062,-0.646,-0.371,0.0001,0.1091,0.2073,0.4634,0.7622,1.796,-4.6,0.0,True
populaire,Rabadons Deathcap + Spear Of Shojin + Strikers Flail,1338,0.017306946061311602,3.602,3.672,-0.06,-0.129,-0.021,0.001,0.0091,0.1741,0.3677,0.6622,2.007,-2.33,0.01965,True
pepite,Emblem Spellweaver + Rabadons Deathcap + Spear Of Shojin,157,0.002030785150692019,3.076,3.671,-0.06,-0.655,-0.353,0.0001,0.1176,0.242,0.5032,0.7707,1.93,-4.25,2e-05,True
populaire,Rabadons Deathcap + Spear Of Shojin + Void Staff,923,0.011938947096106585,3.577,3.674,-0.058,-0.154,-0.023,0.0007,0.0273,0.1907,0.3597,0.6804,2.021,-2.3,0.02136,False
pepite,Archangels Staff + Hextech Gunblade + Spear Of Shojin,152,0.0019661104643642477,3.118,3.677,-0.055,-0.613,-0.327,0.0001,0.1495,0.1974,0.4211,0.8026,1.795,-4.21,3e-05,True
