group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Spellweaver,1969,0.025468891475876342,3.321,3.502,-0.23,-0.411,-0.323,0.0059,0.0767,0.2194,0.4139,0.7298,1.963,-9.16,0.0,True
pepite,Dawncore,1519,0.019648169706376926,3.29,3.513,-0.219,-0.442,-0.342,0.0043,0.079,0.2172,0.4332,0.7321,1.964,-8.68,0.0,True
populaire,Archangels Staff,10348,0.13385073082395552,3.514,3.543,-0.189,-0.217,-0.176,0.0253,0.0461,0.1838,0.3707,0.6992,1.978,-10.46,0.0,True
pepite,Emblem Elderwood,694,0.008976846462294658,3.272,3.589,-0.142,-0.459,-0.307,0.0013,0.0674,0.2767,0.4323,0.7205,2.038,-5.91,0.0,True
populaire,Rabadons Deathcap,25003,0.3234122364506532,3.614,3.621,-0.111,-0.117,-0.089,0.0358,0.025,0.1704,0.3535,0.6781,2.0,-8.04,0.0,True
pepite,Hextech Gunblade,5158,0.06671840641572889,3.602,3.632,-0.1,-0.13,-0.073,0.0066,0.0322,0.1615,0.3618,0.6853,1.995,-4.51,1e-05,True
pepite,Lich Bane,548,0.0070883456215237355,3.418,3.649,-0.082,-0.314,-0.145,0.0006,0.0531,0.208,0.4124,0.7062,2.006,-3.65,0.00027,True
populaire,Void Staff,10703,0.13844263355322728,3.651,3.661,-0.071,-0.081,-0.04,0.0098,0.0162,0.1689,0.3519,0.6693,2.019,-3.88,0.0001,True
populaire,Adaptive Helm,9314,0.1204760056913724,3.654,3.665,-0.067,-0.078,-0.035,0.0081,0.0221,0.1526,0.3447,0.6752,1.98,-3.58,0.00034,True
populaire,Spear Of Shojin,27564,0.3565386107877377,3.677,3.68,-0.051,-0.054,-0.026,0.0183,0.0088,0.1701,0.3477,0.6619,2.039,-3.8,0.00015,True
populaire,Giant Slayer,7540,0.09752942698227914,3.67,3.681,-0.051,-0.061,-0.013,0.0049,0.0118,0.1615,0.345,0.6649,2.012,-2.51,0.01194,True
populaire,Blue Buff,8559,0.11071012805587893,3.672,3.681,-0.05,-0.059,-0.015,0.0055,0.0163,0.1559,0.3365,0.6694,1.986,-2.61,0.00913,True
pepite,Eternal Pact,402,0.0051998447807528134,3.587,3.702,-0.03,-0.144,0.0,0.0002,0.0285,0.1667,0.3607,0.6816,1.978,-1.46,0.14433,False
,Morellonomicon,3768,0.04873884361660846,3.697,3.707,-0.024,-0.034,0.0,0.0012,0.0128,0.1529,0.3373,0.6659,2.003,-1.03,0.30459,False
populaire,Strikers Flail,12806,0.16564480662268788,3.711,3.713,-0.018,-0.021,0.0,0.003,0.0024,0.1617,0.338,0.6555,2.027,-1.06,0.28702,False
,Hand Of Justice,198,0.002561117578579744,3.657,3.723,-0.009,-0.075,0.0,0.0,0.0641,0.1313,0.3182,0.7172,1.96,-0.54,0.59106,False
,Tacticians Crown,47,0.0006079420514810503,3.511,3.725,-0.007,-0.221,0.0,0.0,0.1129,0.1064,0.3404,0.766,1.699,-0.89,0.37314,False
,Rabadons Deathcap Radiant,218,0.0028198163238908293,3.734,3.732,0.0,0.002,0.0,-0.0,-0.0155,0.156,0.344,0.6376,2.017,0.02,0.98579,False
,Red Buff,2323,0.03004785926788255,3.74,3.736,0.005,0.008,0.0,-0.0001,0.0064,0.1511,0.3332,0.6595,2.029,0.19,0.85055,False
populaire,Nashors Tooth,24559,0.31766912430474714,3.739,3.739,0.007,0.008,0.0,-0.0024,0.0028,0.154,0.329,0.6559,2.019,0.54,0.59219,False
,Emblem Invoker,256,0.003311343939981891,3.789,3.74,0.008,0.058,0.0,-0.0,0.0032,0.1758,0.3203,0.6562,2.088,0.44,0.65977,False
,Emblem Lunar,114,0.001474582848273186,3.939,3.746,0.014,0.207,0.0,-0.0,-0.0654,0.2105,0.2807,0.5877,2.178,1.01,0.31023,False
,Blighting Jewel,85,0.0010994696675721122,4.118,3.752,0.02,0.386,0.0,-0.0,-0.1119,0.1412,0.2588,0.5412,2.026,1.76,0.07902,False
,Component Tear Of The Goddess,53,0.0006855516750743759,4.472,3.756,0.025,0.74,0.161,-0.0,-0.1059,0.1509,0.1698,0.5472,2.151,2.5,0.01226,True
,Component Recurve Bow,55,0.0007114215496054844,4.509,3.758,0.027,0.778,0.237,-0.0,-0.1804,0.1273,0.1636,0.4727,2.044,2.82,0.00479,True
,Ludens Tempest,268,0.003466563187168542,3.996,3.771,0.039,0.265,0.022,-0.0001,-0.0785,0.1269,0.2948,0.5746,2.021,2.14,0.03231,True
,Component Sparring Gloves,95,0.001228819040227655,4.463,3.774,0.042,0.732,0.309,-0.0001,-0.1268,0.0842,0.2421,0.5263,2.102,3.39,0.0007,True
,Nashors Tooth Radiant,164,0.002121329711550899,4.189,3.775,0.044,0.458,0.163,-0.0001,-0.0921,0.1037,0.2134,0.561,1.924,3.04,0.00235,True
,Emblem Blackthorn,307,0.003971025740525158,4.013,3.778,0.047,0.282,0.044,-0.0002,-0.0798,0.1466,0.2834,0.5733,2.117,2.33,0.02003,True
,Emblem Blossom,239,0.003091450006467469,4.205,3.795,0.063,0.474,0.198,-0.0002,-0.1259,0.1548,0.2678,0.5272,2.173,3.36,0.00077,True
,Manazane,436,0.0056396326477816585,4.044,3.8,0.069,0.312,0.118,-0.0004,-0.0659,0.1376,0.2752,0.5872,2.066,3.15,0.00165,True
,Emblem Inferno,320,0.004139179924977364,4.209,3.813,0.082,0.478,0.247,-0.0003,-0.1093,0.1094,0.2656,0.5437,2.1,4.06,5e-05,True
,Guinsoos Rageblade,1828,0.023645065321433192,3.984,3.868,0.137,0.253,0.158,-0.0032,-0.0492,0.1291,0.2856,0.6039,2.042,5.23,0.0,True
populaire,Jeweled Gauntlet,21287,0.27534600957185357,3.915,3.903,0.172,0.184,0.153,-0.0472,-0.0361,0.1388,0.2988,0.617,2.048,11.63,0.0,True
,Component Needlessly Large Rod,264,0.003414823438106325,5.072,3.927,0.195,1.34,1.088,-0.0007,-0.2705,0.0644,0.1288,0.3826,2.089,10.41,0.0,True
