group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Dawncore,1205,0.026864939581754135,3.402,3.528,-0.168,-0.294,-0.177,0.0045,0.0518,0.2091,0.4133,0.712,2.036,-4.94,0.0,True
populaire,Lich Bane,611,0.013621973514067865,3.506,3.619,-0.077,-0.19,-0.026,0.0011,0.0468,0.1899,0.3928,0.707,2.058,-2.27,0.02311,True
populaire,Eternal Pact,478,0.010656797610023631,3.655,3.682,-0.014,-0.041,0.0,0.0002,-0.0013,0.1464,0.3494,0.659,1.966,-0.46,0.64781,False
populaire,Wits End,55,0.001226200561822803,3.909,3.708,0.012,0.213,0.0,-0.0,-0.1512,0.2,0.3091,0.5091,2.091,0.75,0.45038,False
,Gamblers Blade,49,0.0010924332278057698,4.061,3.715,0.019,0.365,0.0,-0.0,-0.1296,0.1224,0.2653,0.5306,1.994,1.28,0.20019,False
populaire,Zhonyas Paradox,79,0.001761269897890935,4.177,3.735,0.039,0.481,0.018,-0.0001,-0.0527,0.1013,0.2278,0.6076,2.097,2.04,0.04164,True
populaire,Statikk Shiv,98,0.0021848664556115395,4.194,3.745,0.049,0.498,0.127,-0.0001,-0.0786,0.0816,0.1837,0.5816,1.872,2.63,0.00856,True
,Navori Flickerblade,49,0.0010924332278057698,4.673,3.747,0.051,0.977,0.436,-0.0001,-0.1909,0.0408,0.1633,0.4694,1.931,3.54,0.0004,True
populaire,Manazane,544,0.012128238284210996,3.853,3.755,0.059,0.157,0.0,-0.0007,-0.0334,0.1379,0.2886,0.6268,1.987,1.83,0.06738,True
populaire,Seekers Armguard,78,0.0017389753422214296,4.449,3.756,0.06,0.753,0.285,-0.0001,-0.1346,0.0897,0.2308,0.5256,2.104,3.16,0.0016,True
populaire,Blighting Jewel,254,0.005662817140054398,4.051,3.774,0.078,0.355,0.093,-0.0004,-0.1012,0.1654,0.2874,0.5591,2.124,2.66,0.00789,True
populaire,Ludens Tempest,334,0.007446381593614839,4.003,3.779,0.083,0.307,0.093,-0.0006,-0.0644,0.1198,0.2754,0.5958,1.989,2.81,0.00497,True
